,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,,,,1.0,,,0.0,,1.0,,,,,,,,,,,0.0,,,,,,,,1.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,,0.0,0.0,
1,,,,1.0,,1.0,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,0.0,,,,1.0,,,0.0,,,,,0.0,,,,0.0,,,,
2,,,,,,,0.0,,1.0,,,,,0.0,,,,,,,,,,,0.0,,,,,0.0,0.0,1.0,0.0,,,,,,,,,,1.0,,,,1.0,,,
3,,,1.0,,,,0.0,0.0,,,,,,,1.0,0.0,,,,,,0.0,,1.0,,,,,1.0,,,,,1.0,0.0,,,,,,,,,,,,,,,
4,,,,,,,,1.0,,,,,0.0,,,,,,,,1.0,,,,,0.0,,,,,,1.0,,1.0,,0.0,,,,,1.0,,1.0,1.0,,,,,,
6,,,,,1.0,,,,,0.0,1.0,,,0.0,1.0,,,0.0,,,,,,,,,0.0,,,,0.0,,,1.0,,,,,,,,0.0,,,,,,,,
7,,1.0,,1.0,,1.0,0.0,,1.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,
8,,,,,,,,,1.0,,,,,,1.0,,,,,0.0,,,0.0,,,,,1.0,1.0,,,,,1.0,,0.0,,,,,,,,,,0.0,,,,0.0
10,,,1.0,,,,,,,0.0,,,,,,,1.0,0.0,,,,,,1.0,,,,,,,,1.0,,,0.0,,,,,,,,1.0,1.0,,,,,,0.0
11,,1.0,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,1.0,,0.0,,,,,0.0,1.0,,,,,,,,1.0,,,,,,,1.0,,,
13,,1.0,,,,,,,,,1.0,,0.0,,,,,,,0.0,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,1.0,,,,,,0.0,0.0
14,0.0,,1.0,,,,,,1.0,0.0,,,0.0,0.0,,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,0.0,,,,,
15,0.0,,1.0,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,0.0,
17,0.0,,,,,,,,,,1.0,,0.0,,,0.0,,,,,,,,,,,0.0,,,0.0,0.0,1.0,,,,,,,,,,,,,0.0,,1.0,,,
18,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,1.0,,,0.0,,,1.0,,,0.0,,,,1.0,0.0,0.0,,,,,,,
19,,,,,1.0,1.0,0.0,,1.0,,1.0,,,,1.0,,,,1.0,,,,,,0.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,
20,,,1.0,,,,,0.0,,,,0.0,,,,,1.0,,1.0,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,0.0,
21,,1.0,1.0,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,1.0,,0.0,,0.0,,
22,,,,,,,0.0,,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,1.0,1.0,,,1.0,,,,,1.0,0.0,,
23,,1.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,1.0,0.0,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,
24,0.0,,1.0,1.0,,1.0,0.0,,,,1.0,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
25,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,1.0,,,,,,,,1.0,,,0.0,,0.0,,1.0,,1.0,,1.0,,,,1.0,,,
28,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,1.0,,,,1.0,,,1.0,,,,,,,,,1.0,,,,0.0,,
29,0.0,,,,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,
30,,,,1.0,,,,0.0,1.0,,,0.0,,,,,1.0,,,,,,,1.0,,,,,,,,,0.0,,,,,1.0,,1.0,,,,,0.0,,,,,
31,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,1.0,,0.0,1.0,,,0.0,,,,
32,,,,1.0,,,0.0,,,,,0.0,,,,,,,1.0,,,,,,0.0,,,,,,,1.0,0.0,,,,,,,1.0,,,,,0.0,,,,,0.0
