,Dataset,Datatype,Train Set,Train Sparsity,Evaluation Set,Evaluation Sparsity,Embedding Method,Prediction Method,Task,Accuracy,RMSE
0,Smartvote,Original,Train,10,Train,10,IDEAL,IRT,Fit,0.8292691904227322,0.26792502665841683
1,Smartvote,Original,Train,10,Train,10,IDEAL,IRT,Impute,0.8142725030826141,0.27784222710983425
2,Smartvote,Original,Train,10,Train,10,IDEAL,IRT,Overall,0.8276695437731195,0.2689828613732347
3,Smartvote,Binary,Train,10,Train,10,IDEAL,IRT,Fit,0.8292691904227322,0.3427212384271913
4,Smartvote,Binary,Train,10,Train,10,IDEAL,IRT,Impute,0.8142725030826141,0.35573503495990244
5,Smartvote,Binary,Train,10,Train,10,IDEAL,IRT,Overall,0.8276695437731195,0.3441093767240138
6,Smartvote,Original,Train,10,Test,10,IDEAL,IRT,Fit,0.8382398353062275,0.2635546373342734
7,Smartvote,Original,Train,10,Test,10,IDEAL,IRT,Impute,0.8211206896551724,0.27382385417361355
8,Smartvote,Original,Train,10,Test,10,IDEAL,IRT,Overall,0.8364137931034482,0.26465002046380304
9,Smartvote,Binary,Train,10,Test,10,IDEAL,IRT,Fit,0.8382398353062275,0.33920566134192237
10,Smartvote,Binary,Train,10,Test,10,IDEAL,IRT,Impute,0.8211206896551724,0.35440841267665385
11,Smartvote,Binary,Train,10,Test,10,IDEAL,IRT,Overall,0.8364137931034482,0.3408272881509604
12,Smartvote,Original,Train,70,Train,70,IDEAL,IRT,Fit,0.8408835039939956,0.26295030376064293
13,Smartvote,Original,Train,70,Train,70,IDEAL,IRT,Impute,0.804337000853647,0.29189723842089604
14,Smartvote,Original,Train,70,Train,70,IDEAL,IRT,Overall,0.8155445951500206,0.2830201784584184
15,Smartvote,Binary,Train,70,Train,70,IDEAL,IRT,Fit,0.8408835039939956,0.33189633295312976
16,Smartvote,Binary,Train,70,Train,70,IDEAL,IRT,Impute,0.804337000853647,0.36692245015346064
17,Smartvote,Binary,Train,70,Train,70,IDEAL,IRT,Overall,0.8155445951500206,0.3561811075453592
18,Smartvote,Original,Train,70,Test,70,IDEAL,IRT,Fit,0.8490254872563718,0.25961629454826435
19,Smartvote,Original,Train,70,Test,70,IDEAL,IRT,Impute,0.8052387267904509,0.2885309462364757
20,Smartvote,Original,Train,70,Test,70,IDEAL,IRT,Overall,0.8186666666666667,0.2796637863854242
21,Smartvote,Binary,Train,70,Test,70,IDEAL,IRT,Fit,0.8490254872563718,0.33360146937944857
22,Smartvote,Binary,Train,70,Test,70,IDEAL,IRT,Impute,0.8052387267904509,0.3664690701932588
23,Smartvote,Binary,Train,70,Test,70,IDEAL,IRT,Overall,0.8186666666666667,0.35638967261035703
24,Smartvote,Original,Train,60,Train,60,IDEAL,IRT,Fit,0.8382244143033293,0.26267790867967655
25,Smartvote,Original,Train,60,Train,60,IDEAL,IRT,Impute,0.8077681874229347,0.2884877189101428
26,Smartvote,Original,Train,60,Train,60,IDEAL,IRT,Overall,0.8199506781750925,0.2781637948179563
27,Smartvote,Binary,Train,60,Train,60,IDEAL,IRT,Fit,0.8382244143033293,0.3336448558288448
28,Smartvote,Binary,Train,60,Train,60,IDEAL,IRT,Impute,0.8077681874229347,0.3647751011311818
29,Smartvote,Binary,Train,60,Train,60,IDEAL,IRT,Overall,0.8199506781750925,0.352323003010247
30,Smartvote,Original,Train,60,Test,60,IDEAL,IRT,Fit,0.8475862068965517,0.25804433538445426
31,Smartvote,Original,Train,60,Test,60,IDEAL,IRT,Impute,0.8074329501915709,0.2869101180641768
32,Smartvote,Original,Train,60,Test,60,IDEAL,IRT,Overall,0.8234942528735631,0.2753638049922878
33,Smartvote,Binary,Train,60,Test,60,IDEAL,IRT,Fit,0.8475862068965517,0.33154006791602375
34,Smartvote,Binary,Train,60,Test,60,IDEAL,IRT,Impute,0.8074329501915709,0.3636985617754941
35,Smartvote,Binary,Train,60,Test,60,IDEAL,IRT,Overall,0.8234942528735631,0.3508351642317059
36,Smartvote,Original,Train,50,Train,50,IDEAL,IRT,Fit,0.8332555736994701,0.2652236121712826
37,Smartvote,Original,Train,50,Train,50,IDEAL,IRT,Impute,0.8123823739373094,0.2836680609455404
38,Smartvote,Original,Train,50,Train,50,IDEAL,IRT,Overall,0.8226798191533087,0.27456879955023994
39,Smartvote,Binary,Train,50,Train,50,IDEAL,IRT,Fit,0.8332555736994701,0.3372598802989889
40,Smartvote,Binary,Train,50,Train,50,IDEAL,IRT,Impute,0.8123823739373094,0.36042506982782424
41,Smartvote,Binary,Train,50,Train,50,IDEAL,IRT,Overall,0.8226798191533087,0.3489969096602655
42,Smartvote,Original,Train,50,Test,50,IDEAL,IRT,Fit,0.8452003727865797,0.2600188056360381
43,Smartvote,Original,Train,50,Test,50,IDEAL,IRT,Impute,0.8148820326678766,0.2805149102027609
44,Smartvote,Original,Train,50,Test,50,IDEAL,IRT,Overall,0.8298390804597702,0.270403498616511
45,Smartvote,Binary,Train,50,Test,50,IDEAL,IRT,Fit,0.8452003727865797,0.3337927571776909
46,Smartvote,Binary,Train,50,Test,50,IDEAL,IRT,Impute,0.8148820326678766,0.35885117432413877
47,Smartvote,Binary,Train,50,Test,50,IDEAL,IRT,Overall,0.8298390804597702,0.34648902186522446
48,Smartvote,Original,Train,90,Train,90,IDEAL,IRT,Fit,0.8775761846045447,0.2505669106867757
49,Smartvote,Original,Train,90,Train,90,IDEAL,IRT,Impute,0.7631736418365127,0.3439932634149411
