,Dataset,Datatype,Train Set,Train Sparsity,Evaluation Set,Evaluation Sparsity,Embedding Method,Prediction Method,Task,Accuracy,RMSE
0,Synthetic_60_50,Original,Train,10,Train,10,IDEAL,IRT,Fit,0.9962037037037037,0.20641049923059931
1,Synthetic_60_50,Original,Train,10,Train,10,IDEAL,IRT,Impute,0.9733333333333334,0.20605005609738666
2,Synthetic_60_50,Original,Train,10,Train,10,IDEAL,IRT,Overall,0.9939166666666668,0.20637445491727804
3,Synthetic_60_50,Binary,Train,10,Train,10,IDEAL,IRT,Fit,0.9962037037037037,0.06875359653762916
4,Synthetic_60_50,Binary,Train,10,Train,10,IDEAL,IRT,Impute,0.9733333333333334,0.1342904170431668
5,Synthetic_60_50,Binary,Train,10,Train,10,IDEAL,IRT,Overall,0.9939166666666668,0.07530727858818292
6,Synthetic_60_50,Original,Train,10,Test,10,IDEAL,IRT,Fit,0.9940740740740741,0.1973215404676504
7,Synthetic_60_50,Original,Train,10,Test,10,IDEAL,IRT,Impute,0.98,0.2019039166591436
8,Synthetic_60_50,Original,Train,10,Test,10,IDEAL,IRT,Overall,0.9926666666666667,0.19777977808679972
9,Synthetic_60_50,Binary,Train,10,Test,10,IDEAL,IRT,Fit,0.9940740740740741,0.08299795092898005
10,Synthetic_60_50,Binary,Train,10,Test,10,IDEAL,IRT,Impute,0.98,0.13974116466374564
11,Synthetic_60_50,Binary,Train,10,Test,10,IDEAL,IRT,Overall,0.9926666666666667,0.08867227230245661
12,Synthetic_60_50,Original,Train,70,Train,70,IDEAL,IRT,Fit,0.9983333333333333,0.20767905087380883
13,Synthetic_60_50,Original,Train,70,Train,70,IDEAL,IRT,Impute,0.9389285714285714,0.23762020558579683
14,Synthetic_60_50,Original,Train,70,Train,70,IDEAL,IRT,Overall,0.95675,0.22863785917220042
15,Synthetic_60_50,Binary,Train,70,Train,70,IDEAL,IRT,Fit,0.9983333333333333,0.052868500874572226
16,Synthetic_60_50,Binary,Train,70,Train,70,IDEAL,IRT,Impute,0.9389285714285714,0.22129623363716158
17,Synthetic_60_50,Binary,Train,70,Train,70,IDEAL,IRT,Overall,0.95675,0.17076791380838477
18,Synthetic_60_50,Original,Train,70,Test,70,IDEAL,IRT,Fit,0.9955555555555555,0.19960420377367735
19,Synthetic_60_50,Original,Train,70,Test,70,IDEAL,IRT,Impute,0.9147619047619048,0.2507095070744992
20,Synthetic_60_50,Original,Train,70,Test,70,IDEAL,IRT,Overall,0.9390000000000001,0.23537791608425263
21,Synthetic_60_50,Binary,Train,70,Test,70,IDEAL,IRT,Fit,0.9955555555555555,0.08894646405281093
22,Synthetic_60_50,Binary,Train,70,Test,70,IDEAL,IRT,Impute,0.9147619047619048,0.2592720721301927
23,Synthetic_60_50,Binary,Train,70,Test,70,IDEAL,IRT,Overall,0.9390000000000001,0.20817438970697816
24,Synthetic_60_50,Original,Train,60,Train,60,IDEAL,IRT,Fit,0.9979166666666667,0.20977151711787093
25,Synthetic_60_50,Original,Train,60,Train,60,IDEAL,IRT,Impute,0.9529166666666666,0.22477966246392295
26,Synthetic_60_50,Original,Train,60,Train,60,IDEAL,IRT,Overall,0.9709166666666667,0.21877640432550213
27,Synthetic_60_50,Binary,Train,60,Train,60,IDEAL,IRT,Fit,0.9979166666666667,0.06066616790314753
28,Synthetic_60_50,Binary,Train,60,Train,60,IDEAL,IRT,Impute,0.9529166666666666,0.19177379140418982
29,Synthetic_60_50,Binary,Train,60,Train,60,IDEAL,IRT,Overall,0.9709166666666667,0.1393307420037729
30,Synthetic_60_50,Original,Train,60,Test,60,IDEAL,IRT,Fit,0.9958333333333333,0.1957407646198464
31,Synthetic_60_50,Original,Train,60,Test,60,IDEAL,IRT,Impute,0.9377777777777778,0.22728211353240527
32,Synthetic_60_50,Original,Train,60,Test,60,IDEAL,IRT,Overall,0.9610000000000001,0.21466557396738173
33,Synthetic_60_50,Binary,Train,60,Test,60,IDEAL,IRT,Fit,0.9958333333333333,0.0791687445063654
34,Synthetic_60_50,Binary,Train,60,Test,60,IDEAL,IRT,Impute,0.9377777777777778,0.21850036742897144
35,Synthetic_60_50,Binary,Train,60,Test,60,IDEAL,IRT,Overall,0.9610000000000001,0.16276771825992903
36,Synthetic_60_50,Original,Train,50,Train,50,IDEAL,IRT,Fit,0.9963333333333333,0.20910190719336919
37,Synthetic_60_50,Original,Train,50,Train,50,IDEAL,IRT,Impute,0.9641666666666666,0.21548197745549535
38,Synthetic_60_50,Original,Train,50,Train,50,IDEAL,IRT,Overall,0.98025,0.21229194232443227
39,Synthetic_60_50,Binary,Train,50,Train,50,IDEAL,IRT,Fit,0.9963333333333333,0.06333139947230611
