"","Discrimination D1","Discrimination D2","Difficulty"
"Vote 1",-3.11304919060477,-5.88066894648178,6.6510808308941
"Vote 2",-7.9150344837426,4.68744464507884,-3.85309473975445
"Vote 3",-7.39441709742012,-3.60838181535955,-5.06974224527779
"Vote 4",-12.5995119049059,-1.49276158290217,-1.4098664451658
"Vote 5",7.53695950536534,11.2043412822438,1.63281326432764
"Vote 6",-14.1673946462313,-6.25487661684702,-3.86066097587348
"Vote 7",6.58475118959046,4.05763812812104,4.53221242515596
"Vote 8",-6.35417213124891,4.26365088050776,9.82774674668367
"Vote 9",-7.06394579942784,3.86253250677725,-3.16420976908273
"Vote 10",11.7024961985678,-1.22351120121694,-5.87830431952448
"Vote 11",-5.71395770048709,5.44923145909371,6.42039875251843
"Vote 12",5.66573316376083,-3.82677666795741,6.99167084541573
"Vote 13",-4.0098886796295,-6.82407366244088,1.90310282822675
"Vote 14",-2.59313561225554,-7.1129388009189,3.35210934351306
"Vote 15",-4.64961173614259,-5.25451783498778,-6.36588143221549
"Vote 16",8.32719931013633,3.23481238391015,-0.987944901463618
"Vote 17",-10.0624924515506,2.16903554001235,-4.65671708956492
"Vote 18",8.5999576958901,-6.58003860450655,-1.44312950954553
"Vote 19",4.28483911026611,4.46385044678221,-5.65163142179209
"Vote 20",14.6196295163544,3.24536223053148,1.93470513114961
"Vote 21",-3.36831534134138,-8.1040028879471,-3.37435482082361
"Vote 22",1.12638609269976,-8.13821375811,2.23344098021883
"Vote 23",2.21871035426726,-1.59197837199713,5.85046906454923
"Vote 24",-7.78500226023165,1.14085778081318,1.27351004874893
"Vote 25",-1.2710364078079,-8.65551283703367,8.33274225360888
"Vote 26",1.16470188968669,-10.7871402238806,0.0679414934083953
"Vote 27",6.07529126245326,1.0041067118394,-0.624622639339912
"Vote 28",-1.05211348222049,7.22303366519855,-3.5634541339276
"Vote 29",-10.4094522917396,-2.34176732440293,-2.49596328559596
"Vote 30",3.66487952857646,3.25257891385044,4.39495682379448
"Vote 31",2.49287698882905,-8.26815684372527,-4.97897774339824
"Vote 32",3.4339565481496,3.98198306484757,-7.02906528928573
"Vote 33",5.47073130804263,3.81981764771261,4.41900454585235
"Vote 34",-5.46111846994207,4.41136251221662,5.26502880631272
"Vote 35",4.6204567070539,7.2374678719669,6.33334599122773
"Vote 36",-3.53449823876712,-7.42793117794314,7.72079281171484
"Vote 37",8.42812342152185,5.74286798123074,5.54655168801838
"Vote 38",-1.91059331615637,5.88779151762311,-2.54598379688444
"Vote 39",-9.32552951746172,1.24011342518404,-0.736467629067307
"Vote 40",-5.28500903616011,6.47838870880565,0.862243917001052
"Vote 41",-9.36213858031005,0.673228806616003,0.799665233576747
"Vote 42",-2.56776827545569,-11.7765821488008,2.01688061817529
"Vote 43",-6.65030554776548,-1.24722408884691,3.60480975824478
"Vote 44",-7.97574285647322,4.6334140738481,-3.48128396310444
"Vote 45",3.06329349659825,-5.78370507786154,-3.83433740075852
"Vote 46",0.189430346309996,-11.9055620273481,-1.1098690166741
"Vote 47",-11.3548585960011,-7.84200361949426,1.78183755423851
"Vote 48",1.95129715261865,-9.56295791409779,-2.561517689732
"Vote 49",-1.78167308489728,-6.5289772762544,4.76326389951409
"Vote 50",9.96480574816382,0.109601523016598,-0.597106627280689
