"","D1","D2"
"Legislator 1",0.862144029192263,-0.753436735491386
"Legislator 2",0.323297009816571,-0.871205414813873
"Legislator 3",1.02939109728578,-0.676631112913794
"Legislator 4",0.516882030857828,-0.58326455630339
"Legislator 5",0.54099858514264,-0.465091777312262
"Legislator 6",0.00951696274693663,-1.18474104005248
"Legislator 7",0.800568284711028,-0.860503939566676
"Legislator 8",1.04567241674821,-0.695072608516521
"Legislator 9",-0.0711784754618729,-0.993525120541495
"Legislator 10",1.90521682063227,0.211488935732198
"Legislator 11",0.917894888271974,-0.395294546978142
"Legislator 12",0.613405886276231,-0.902471796334688
"Legislator 13",1.05976225451992,-0.764028269117675
"Legislator 14",0.895944974533076,-1.26251954120497
"Legislator 15",-0.0554522753355925,-1.23840358366262
"Legislator 16",0.907476180440055,-1.20338512760246
"Legislator 17",0.514098275625247,-0.701759740875863
"Legislator 18",0.286473715343822,-0.969201528169728
"Legislator 19",1.53514163080788,-0.242152252144571
"Legislator 20",0.78940186153557,-0.438616331022938
"Legislator 21",1.52280748107525,-0.562731816231246
"Legislator 22",0.729314980807583,-0.750423530164396
"Legislator 23",0.692743201090316,-1.10117151725097
"Legislator 24",0.278660955789449,-0.941170608507248
"Legislator 25",0.784119452547697,-0.590602592290543
"Legislator 26",0.71689927996676,-1.458420749244
"Legislator 27",0.616865861631544,-0.597817689319814
"Legislator 28",0.628593661161077,-0.334985528212304
"Legislator 29",0.679907032623037,-0.1139974482876
"Legislator 30",0.784233987218089,-0.68013981799462
"Legislator 31",0.928128175578361,-0.392814322344162
"Legislator 32",1.33236222860769,-0.779464353353041
"Legislator 33",0.55560808984631,-1.71563671905541
"Legislator 34",1.17894615236626,-0.614913400666154
"Legislator 35",0.765036108309634,-0.685109080171761
"Legislator 36",0.788378330511536,-0.534222173078415
"Legislator 37",0.49290762971946,-0.88049442964714
"Legislator 38",0.220221575647726,-0.85563283802157
"Legislator 39",0.259665595730544,-1.20386208756012
"Legislator 40",0.682117499198392,-0.934616521384048
"Legislator 41",0.609877513467656,-0.827165331101063
"Legislator 42",0.657416590034113,-0.741052643318582
"Legislator 43",0.92428409138234,-1.1914901913269
"Legislator 44",-0.177389788931643,0.13446980118559
"Legislator 45",0.585402983206626,-0.693149493615573
"Legislator 46",0.677458091743525,-1.56830762285056
"Legislator 47",1.36163067445442,-0.50734594938069
"Legislator 48",0.531143841964275,-1.12961304870914
"Legislator 49",0.348723620025089,-0.813992609277369
"Legislator 50",0.141471986424581,-0.76716677796462
"Legislator 51",-1.14388003668775,-0.582169242660072
"Legislator 52",-1.36479578760802,0.114080802936348
"Legislator 53",-1.27473319867685,-0.150910663243604
"Legislator 54",-1.54927479517752,-0.309325681017559
"Legislator 55",-0.757377096241646,-0.816466053066741
"Legislator 56",-1.06244065384189,-0.79150884634175
"Legislator 57",-1.32319030759003,-0.662190302840822
"Legislator 58",0.270441823879023,-1.12685422766732
"Legislator 59",-0.735042795586419,-1.59584535044836
"Legislator 60",-1.0534290739023,-0.875012488539296
"Legislator 61",-1.49022616367503,-0.57024610732082
"Legislator 62",0.0128010610109654,-0.503201792123
"Legislator 63",-0.61413858028533,-0.510035017226162
"Legislator 64",-0.893057746946741,0.0157438319251024
"Legislator 65",-0.709674133706452,-1.07347374674764
"Legislator 66",-1.2615922931054,-0.869130570626146
"Legislator 67",-1.37635225324511,-0.221070414959594
"Legislator 68",-1.11049688050525,-0.976036689190324
"Legislator 69",-0.9253534862701,-1.22747797573694
"Legislator 70",-1.5022171252151,-0.383864233215482
"Legislator 71",-1.289203784564,-0.269554814697604
"Legislator 72",-1.13667288241151,-0.742155117187581
"Legislator 73",-0.944236225603792,-0.770499624877791
"Legislator 74",-1.24875789296158,-0.126728396279547
"Legislator 75",-0.746694212807815,-1.36296212427513
"Legislator 76",-1.26888310565768,-0.521650844298917
"Legislator 77",-0.940252011163755,-1.682029187127
"Legislator 78",-1.00703455870471,0.337315723109233
"Legislator 79",-1.32197789114144,-0.0610873755835867
"Legislator 80",-0.58828098498092,-1.02366977310655
"Legislator 81",-0.82431154967274,-1.56756725060588
"Legislator 82",-1.12525728806476,-0.956512950921206
"Legislator 83",-0.89493760174991,-0.426617456777363
"Legislator 84",-0.867732835944611,-0.812884734141833
"Legislator 85",-0.243367954748525,-0.470887681097943
"Legislator 86",-0.846707038540233,-1.26827482843262
"Legislator 87",-1.46372225961539,-0.367425960283831
"Legislator 88",-0.69800019370454,-0.831899857592557
"Legislator 89",-0.834774308087544,-0.882583281004545
"Legislator 90",-0.984257707981022,-0.444974981852742
"Legislator 91",-0.453153024397467,-1.07846666217729
"Legislator 92",-1.2898138929616,0.187708629827593
"Legislator 93",-1.33368939455326,-0.671212893282999
"Legislator 94",-1.4931588285681,-0.821138857108506
"Legislator 95",0.91239895037065,1.17852092178427
"Legislator 96",0.461494414239059,-0.779151914387253
"Legislator 97",0.935039624364689,0.429875783989344
"Legislator 98",0.291869167999532,0.883635763552386
"Legislator 99",0.686286606610339,1.03467179875977
"Legislator 100",0.960950165114165,1.02023840994696
"Legislator 101",0.839045269672029,1.17273462502198
"Legislator 102",1.41104865619799,0.319702432369571
"Legislator 103",1.33782924361326,0.632916292293902
"Legislator 104",1.24890254111732,0.571524290750548
"Legislator 105",0.879773933426629,-0.0465209261335778
"Legislator 106",0.577547133915686,1.44649211574944
"Legislator 107",0.510976759852224,0.85558959754501
"Legislator 108",0.739765736895374,1.12716633262381
"Legislator 109",0.945462792620637,1.32371381668697
"Legislator 110",0.445408610972258,1.20895576572291
"Legislator 111",0.801356777434926,0.658016325721722
"Legislator 112",1.18092427868937,0.876539176779863
"Legislator 113",1.3519642991991,0.78102500560785
"Legislator 114",1.59503118157704,-0.132976945647205
"Legislator 115",0.770104687559743,-0.0735619354683049
"Legislator 116",1.12358181019318,0.824682589724627
"Legislator 117",0.409471391887158,0.942881302785401
"Legislator 118",0.903342071788557,0.927012696619527
"Legislator 119",0.39651604540437,1.38548460878858
"Legislator 120",1.29812445111992,1.17645297375873
"Legislator 121",1.30053008548512,0.754451556384728
"Legislator 122",1.13205462688396,1.18302453090427
"Legislator 123",0.744925894905556,0.41485219705205
"Legislator 124",-0.0268712961036309,0.11561491365311
"Legislator 125",1.78478692551928,0.389000758331031
"Legislator 126",0.890734310024068,-0.0675255070294895
"Legislator 127",0.373880727412681,0.444085050295713
"Legislator 128",0.373018326974875,1.06869687656974
"Legislator 129",1.27664178164315,0.597888924105699
"Legislator 130",1.7290321789668,-0.307630679739133
"Legislator 131",0.613059641025052,0.269534432978932
"Legislator 132",0.958442246346261,1.21243785904149
"Legislator 133",1.33717415251966,0.648174169604544
"Legislator 134",0.572766649084296,0.93394376282867
"Legislator 135",0.715413417280745,1.13495861193313
"Legislator 136",1.37281703773809,0.193650799552465
"Legislator 137",0.508515025919774,1.23704197191056
"Legislator 138",0.840704994571119,-0.132539065394025
"Legislator 139",0.745454363835855,1.09742529033455
"Legislator 140",0.0411512284897414,0.889791069532506
"Legislator 141",0.938021555621182,1.10953742648637
"Legislator 142",-0.309162511367572,0.786531155556778
"Legislator 143",-0.711413590162716,-0.0971753971451244
"Legislator 144",-0.812367233002297,0.124675719273939
"Legislator 145",-0.12233464092226,-0.00746029948173156
"Legislator 146",-0.41692485794959,0.884113929992797
"Legislator 147",0.458516488323448,-0.332491153110501
"Legislator 148",-0.751495919976577,-0.381702176627271
"Legislator 149",0.186512982221986,0.643660160326933
"Legislator 150",-0.681755989342853,0.790125066725935
"Legislator 151",0.108781054465648,1.68477133107966
"Legislator 152",-1.78497558970841,1.06687674497932
"Legislator 153",-0.678428368436022,1.06046237567098
"Legislator 154",-1.0927993368161,0.688008985516467
"Legislator 155",-1.36850159916271,-0.031376331679448
"Legislator 156",-0.848394686843634,1.19837531952892
"Legislator 157",-1.2196197361295,0.130391248759669
"Legislator 158",-0.988551240517937,0.218126469373772
"Legislator 159",-1.1666368569142,0.377101304540268
"Legislator 160",0.855215100191916,1.12018781500635
"Legislator 161",0.58517202839149,1.0076098307703
"Legislator 162",0.477006687257751,1.27171569141956
"Legislator 163",-0.560803075076862,1.09441321965639
"Legislator 164",-1.03759764044357,0.239862155181046
"Legislator 165",-1.15415805522031,-0.501225449550653
"Legislator 166",-0.815095617756672,0.969724956799136
"Legislator 167",-0.446377646528929,1.19878968391617
"Legislator 168",-0.781160096856573,-0.0382650200632281
"Legislator 169",-1.57273062392906,0.614006986051921
"Legislator 170",0.264299899911345,1.38269501268679
"Legislator 171",0.052792496623234,1.48616331077619
"Legislator 172",-0.323959788850672,1.37935316221741
"Legislator 173",-0.784488934950166,1.10118821973119
"Legislator 174",-0.800627054141641,1.66006014055033
"Legislator 175",-0.407124865271295,0.806103880200844
"Legislator 176",-0.104007450051727,1.46219684193043
"Legislator 177",-1.12757353358601,-0.316030330823825
"Legislator 178",-1.28772299060107,0.564511177822223
"Legislator 179",-1.12737390759099,0.587616680721355
"Legislator 180",-0.899440401711028,0.477013442166432
"Legislator 181",-0.214504326928957,1.49125225619155
"Legislator 182",-0.667341068209424,1.10803799569785
"Legislator 183",-1.01771531345201,0.632452460307104
"Legislator 184",-1.05422446386789,0.0788314250477147
"Legislator 185",-0.13695531534315,1.19333824316832
"Legislator 186",-1.58003157713831,0.779178566302569
"Legislator 187",-0.902331201772479,-0.0826267760915818
"Legislator 188",-1.3685740332856,0.563516251578052
"Legislator 189",-0.456358998563112,0.515919680490327
"Legislator 190",-1.40223965651092,0.267003776125652
"Legislator 191",-0.950641651731527,0.894607100970649
"Legislator 192",-0.812646509927048,0.389840041195508
"Legislator 193",-0.617641417712112,-0.180337257472519
"Legislator 194",0.897818936884346,0.32066010075972
"Legislator 195",-0.511025903296808,1.06213460007012
"Legislator 196",-0.518390557519842,0.380149792733524
"Legislator 197",-0.259841370692387,-0.465818356529839
"Legislator 198",-0.973179934546021,0.249986512167528
"Legislator 199",0.933599709780238,0.803746318435872
"Legislator 200",0.471646223773743,-0.878562750920365
"Legislator 201",0.295930288362344,-0.296934732290112
"Legislator 202",-0.00647467200271186,-0.423764180209953
"Legislator 203",-0.783733617729039,0.825708368940174
"Legislator 204",-1.2586395664899,-0.0940109952299998
"Legislator 205",0.946805985380609,0.723460261326051
"Legislator 206",-0.134053873373257,-0.331681228484193
"Legislator 207",-0.669332286197221,0.168098128528
"Legislator 208",-0.483077577348209,-0.493314013069275
"Legislator 209",0.161715354822055,0.501831845626236
"Legislator 210",-0.115718701441979,0.0135869187342932
"Legislator 211",-0.581909238811107,-0.353321947533383
"Legislator 212",0.424379441048872,-0.771124398295685
"Legislator 213",-0.123997071587453,-0.0996155520534909
"Legislator 214",0.867030475249553,0.242787062401394
"Legislator 215",0.544262077456971,0.188165025053136
"Legislator 216",0.594908127798937,-0.870535003781497
"Legislator 217",-0.926601232186803,0.615460192976339
"Legislator 218",0.410858041258218,-1.00081670679829
"Legislator 219",0.322101356322698,-0.321232285630901
"Legislator 220",0.321839405054809,0.0726025987320032
"Legislator 221",-0.600853908590834,-0.440785448951784
"Legislator 222",0.403150579769264,-0.301003700474386
"Legislator 223",-0.349753828798098,0.709008538041583
"Legislator 224",1.08420587417448,-0.354524149290267
"Legislator 225",-0.429702865797263,-0.452425025457794
"Legislator 226",-0.416472189225794,0.546287992872541
"Legislator 227",-0.0122245880766949,0.91466724688792
"Legislator 228",0.298520341771115,-0.315131532367894
"Legislator 229",0.187600658729186,-0.134633370796628
"Legislator 230",-0.0315568248820227,1.04802058003021
"Legislator 231",-0.40500779082033,0.670587658514804
"Legislator 232",0.444001974352371,-0.0705062572033085
"Legislator 233",-0.0571393323150714,-0.537886381791872
"Legislator 234",-1.07524771433988,-0.385597206042405
"Legislator 235",0.561858958396819,-0.594198093717414
"Legislator 236",0.224349183671488,-0.71540269939919
"Legislator 237",0.306517489658285,-0.845698504396412
"Legislator 238",-0.137452231002604,1.14620053205397
"Legislator 239",0.812269996338086,-0.60145405145365
"Legislator 240",0.511541542692053,0.181760689697179
