,Dataset,Datatype,Train Set,Train Sparsity,Evaluation Set,Evaluation Sparsity,Embedding Method,Prediction Method,Task,Accuracy,RMSE
0,Smartvote,Original,Train,10,Train,10,NOMINATE,IRT,Fit,0.8314684285109594,0.2684847119433281
1,Smartvote,Original,Train,10,Train,10,NOMINATE,IRT,Impute,0.813810110974106,0.27885437868715063
2,Smartvote,Original,Train,10,Train,10,NOMINATE,IRT,Overall,0.8295848746403617,0.26959080972933586
3,Smartvote,Binary,Train,10,Train,10,NOMINATE,IRT,Fit,0.8314684285109594,0.3524616006001041
4,Smartvote,Binary,Train,10,Train,10,NOMINATE,IRT,Impute,0.813810110974106,0.3654223490060963
5,Smartvote,Binary,Train,10,Train,10,NOMINATE,IRT,Overall,0.8295848746403617,0.35384408043007665
6,Smartvote,Original,Train,10,Test,10,NOMINATE,IRT,Fit,0.8320123520329388,0.26622119874911715
7,Smartvote,Original,Train,10,Test,10,NOMINATE,IRT,Impute,0.8163793103448276,0.27460723258582775
8,Smartvote,Original,Train,10,Test,10,NOMINATE,IRT,Overall,0.8303448275862069,0.26711570902503295
9,Smartvote,Binary,Train,10,Test,10,NOMINATE,IRT,Fit,0.8320123520329388,0.348838312840829
10,Smartvote,Binary,Train,10,Test,10,NOMINATE,IRT,Impute,0.8163793103448276,0.3619840618392919
11,Smartvote,Binary,Train,10,Test,10,NOMINATE,IRT,Overall,0.8303448275862069,0.35024052606733175
12,Smartvote,Original,Train,60,Train,60,NOMINATE,IRT,Fit,0.8436087135224003,0.26350393579951803
13,Smartvote,Original,Train,60,Train,60,NOMINATE,IRT,Impute,0.8048088779284833,0.2854532374422359
14,Smartvote,Original,Train,60,Train,60,NOMINATE,IRT,Overall,0.8203288121660501,0.27667351678514873
15,Smartvote,Binary,Train,60,Train,60,NOMINATE,IRT,Fit,0.8436087135224003,0.3500161355437082
16,Smartvote,Binary,Train,60,Train,60,NOMINATE,IRT,Impute,0.8048088779284833,0.375147441129991
17,Smartvote,Binary,Train,60,Train,60,NOMINATE,IRT,Overall,0.8203288121660501,0.36509491889547785
18,Smartvote,Original,Train,60,Test,60,NOMINATE,IRT,Fit,0.8347126436781609,0.26416831285299913
19,Smartvote,Original,Train,60,Test,60,NOMINATE,IRT,Impute,0.7982375478927203,0.29249208673623206
20,Smartvote,Original,Train,60,Test,60,NOMINATE,IRT,Overall,0.8128275862068965,0.2811625771829389
21,Smartvote,Binary,Train,60,Test,60,NOMINATE,IRT,Fit,0.8347126436781609,0.3475814587393982
22,Smartvote,Binary,Train,60,Test,60,NOMINATE,IRT,Impute,0.7982375478927203,0.3772211900368446
23,Smartvote,Binary,Train,60,Test,60,NOMINATE,IRT,Overall,0.8128275862068965,0.36536529751786606
24,Smartvote,Original,Train,70,Train,70,NOMINATE,IRT,Fit,0.8468342893904466,0.2624611881323883
25,Smartvote,Original,Train,70,Train,70,NOMINATE,IRT,Impute,0.8029853931518542,0.2888688596921338
26,Smartvote,Original,Train,70,Train,70,NOMINATE,IRT,Overall,0.8164323879983559,0.2807705070804785
27,Smartvote,Binary,Train,70,Train,70,NOMINATE,IRT,Fit,0.8468342893904466,0.34673150312872575
28,Smartvote,Binary,Train,70,Train,70,NOMINATE,IRT,Impute,0.8029853931518542,0.377279724355211
29,Smartvote,Binary,Train,70,Train,70,NOMINATE,IRT,Overall,0.8164323879983559,0.3679116031790889
30,Smartvote,Original,Train,70,Test,70,NOMINATE,IRT,Fit,0.8401799100449775,0.2642666173981103
31,Smartvote,Original,Train,70,Test,70,NOMINATE,IRT,Impute,0.7964854111405836,0.2951979882244938
32,Smartvote,Original,Train,70,Test,70,NOMINATE,IRT,Overall,0.8098850574712644,0.2857123678377362
33,Smartvote,Binary,Train,70,Test,70,NOMINATE,IRT,Fit,0.8401799100449775,0.3450269141743402
34,Smartvote,Binary,Train,70,Test,70,NOMINATE,IRT,Impute,0.7964854111405836,0.38125527188878133
35,Smartvote,Binary,Train,70,Test,70,NOMINATE,IRT,Overall,0.8098850574712644,0.37014524218968603
36,Smartvote,Original,Train,40,Train,40,NOMINATE,IRT,Fit,0.8341553637484587,0.2688496310989271
37,Smartvote,Original,Train,40,Train,40,NOMINATE,IRT,Impute,0.8127209206740649,0.2797610948258841
38,Smartvote,Original,Train,40,Train,40,NOMINATE,IRT,Overall,0.8255815865187012,0.2732142165897099
39,Smartvote,Binary,Train,40,Train,40,NOMINATE,IRT,Fit,0.8341553637484587,0.35506862816619394
40,Smartvote,Binary,Train,40,Train,40,NOMINATE,IRT,Impute,0.8127209206740649,0.36940645070359013
41,Smartvote,Binary,Train,40,Train,40,NOMINATE,IRT,Overall,0.8255815865187012,0.36080375718115243
42,Smartvote,Original,Train,40,Test,40,NOMINATE,IRT,Fit,0.8291954022988506,0.2701560286343742
43,Smartvote,Original,Train,40,Test,40,NOMINATE,IRT,Impute,0.8114942528735632,0.2844816824034317
44,Smartvote,Original,Train,40,Test,40,NOMINATE,IRT,Overall,0.8221149425287356,0.27588629014199717
45,Smartvote,Binary,Train,40,Test,40,NOMINATE,IRT,Fit,0.8291954022988506,0.35426814670370615
46,Smartvote,Binary,Train,40,Test,40,NOMINATE,IRT,Impute,0.8114942528735632,0.36959583411988445
47,Smartvote,Binary,Train,40,Test,40,NOMINATE,IRT,Overall,0.8221149425287356,0.36039922167017746
48,Smartvote,Original,Train,80,Train,80,NOMINATE,IRT,Fit,0.8575832305795315,0.2590256102685986
49,Smartvote,Original,Train,80,Train,80,NOMINATE,IRT,Impute,0.7894471845458282,0.29770703626618805
50,Smartvote,Original,Train,80,Train,80,NOMINATE,IRT,Overall,0.8030743937525688,0.2899707510666702
51,Smartvote,Binary,Train,80,Train,80,NOMINATE,IRT,Fit,0.8575832305795315,0.34115822241683913
52,Smartvote,Binary,Train,80,Train,80,NOMINATE,IRT,Impute,0.7894471845458282,0.3860859105495419
53,Smartvote,Binary,Train,80,Train,80,NOMINATE,IRT,Overall,0.8030743937525688,0.37710037292300136
54,Smartvote,Original,Train,80,Test,80,NOMINATE,IRT,Fit,0.8358620689655172,0.26274264991212504
55,Smartvote,Original,Train,80,Test,80,NOMINATE,IRT,Impute,0.781264367816092,0.30775299460828875
56,Smartvote,Original,Train,80,Test,80,NOMINATE,IRT,Overall,0.792183908045977,0.29875092566905603
57,Smartvote,Binary,Train,80,Test,80,NOMINATE,IRT,Fit,0.8358620689655172,0.34188186164722745
58,Smartvote,Binary,Train,80,Test,80,NOMINATE,IRT,Impute,0.781264367816092,0.3928016619518397
59,Smartvote,Binary,Train,80,Test,80,NOMINATE,IRT,Overall,0.792183908045977,0.38261770189091726
60,Smartvote,Original,Train,50,Train,50,NOMINATE,IRT,Fit,0.838337721198387,0.26570803483572103
61,Smartvote,Original,Train,50,Train,50,NOMINATE,IRT,Impute,0.8105328055032773,0.28259994480961187
62,Smartvote,Original,Train,50,Train,50,NOMINATE,IRT,Overall,0.8242498972461981,0.2742666025558257
63,Smartvote,Binary,Train,50,Train,50,NOMINATE,IRT,Fit,0.838337721198387,0.3496729506048625
64,Smartvote,Binary,Train,50,Train,50,NOMINATE,IRT,Impute,0.8105328055032773,0.36958900794724325
65,Smartvote,Binary,Train,50,Train,50,NOMINATE,IRT,Overall,0.8242498972461981,0.35976375299166874
66,Smartvote,Original,Train,50,Test,50,NOMINATE,IRT,Fit,0.8383038210624417,0.26677314898478593
67,Smartvote,Original,Train,50,Test,50,NOMINATE,IRT,Impute,0.805989110707804,0.28476803848729293
68,Smartvote,Original,Train,50,Test,50,NOMINATE,IRT,Overall,0.8219310344827586,0.27589055966605613
69,Smartvote,Binary,Train,50,Test,50,NOMINATE,IRT,Fit,0.8383038210624417,0.347832105932109
70,Smartvote,Binary,Train,50,Test,50,NOMINATE,IRT,Impute,0.805989110707804,0.37042566165857693
71,Smartvote,Binary,Train,50,Test,50,NOMINATE,IRT,Overall,0.8219310344827586,0.3592795075001861
