"","party","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","coord2D","se1D","se2D","corr.1"
"Legislator 1","Grüne",32,2,6,20,0.682206511497498,0.866666666666667,0.268772631883621,-0.367669761180878,0,0,0
"Legislator 2","FDP",26,8,7,19,0.607455313205719,0.75,-0.170686349272728,0.145381852984428,0,0,0
"Legislator 3","FDP",26,7,7,20,0.642747461795807,0.766666666666667,-0.133605346083641,0.177329063415527,0,0,0
"Legislator 4","Grüne",32,3,2,23,0.843971371650696,0.916666666666667,0.833403587341309,-0.108733557164669,0,0,0
"Legislator 5","glp",28,11,8,13,0.532835006713867,0.683333333333333,-0.0456660315394402,-0.170316994190216,0,0,0
"Legislator 6","CVP",30,8,3,19,0.616444885730743,0.816666666666667,-0.0886948630213737,-0.065958596765995,0,0,0
"Legislator 7","FDP",25,3,15,17,0.538267731666565,0.7,-0.278924524784088,-0.436065107584,0,0,0
"Legislator 8","Grüne",27,6,11,16,0.569772660732269,0.716666666666667,0.0452546551823616,-0.595535635948181,0,0,0
"Legislator 9","Grüne",33,4,2,21,0.79165256023407,0.9,0.290210008621216,-0.511282444000244,0,0,0
"Legislator 10","Grüne",38,1,0,21,0.91146045923233,0.983333333333333,0.648851037025452,0.0760955139994621,0,0,0
"Legislator 11","CVP",29,12,2,17,0.621912777423859,0.766666666666667,0.059148408472538,0.113789685070515,0,0,0
"Legislator 12","FDP",26,7,9,18,0.614569783210754,0.733333333333333,-0.114996887743473,0.325563758611679,0,0,0
"Legislator 13","glp",34,1,2,23,0.815892696380615,0.95,-0.00956481508910656,0.9027339220047,0,0,0
"Legislator 14","CVP",21,4,12,23,0.583616495132446,0.733333333333333,-0.197378411889076,-0.658361911773682,0,0,0
"Legislator 15","CVP",28,9,2,21,0.63206934928894,0.816666666666667,-0.0699994340538979,0.16499562561512,0,0,0
"Legislator 16","CVP",27,10,7,16,0.589397072792053,0.716666666666667,-0.0325295999646187,-0.00811887253075838,0,0,0
"Legislator 17","CVP",40,3,6,11,0.692707180976868,0.85,0.0718124210834503,0.185385391116142,0,0,0
"Legislator 18","BDP",34,7,4,15,0.67410546541214,0.816666666666667,-0.0413662865757942,0.35530224442482,0,0,0
"Legislator 19","glp",38,3,2,17,0.777434766292572,0.916666666666667,0.0122868604958057,0.561732232570648,0,0,0
"Legislator 20","FDP",19,6,5,30,0.694766223430634,0.816666666666667,-0.332256376743317,0.943189144134521,0,0,0
"Legislator 21","glp",31,4,4,21,0.764506638050079,0.866666666666667,-0.0717524737119675,0.997422516345978,0,0,0
"Legislator 22","SP",36,1,0,23,0.909754753112793,0.983333333333333,0.626761734485626,0.0725257322192192,0,0,0
"Legislator 23","CVP",25,8,2,25,0.642615377902985,0.833333333333333,-0.0826354548335075,-0.291619718074799,0,0,0
"Legislator 24","FDP",23,7,15,15,0.522659122943878,0.633333333333333,-0.131782293319702,-0.544395267963409,0,0,0
"Legislator 25","Grüne",30,5,7,18,0.70378977060318,0.8,0.206180050969124,-0.777983665466309,0,0,0
"Legislator 26","Grüne",35,2,0,23,0.901557922363281,0.966666666666667,0.645784497261047,-0.514758765697479,0,0,0
"Legislator 27","CVP",29,9,3,19,0.654556691646576,0.8,-0.0038914349861443,-0.0511538498103619,0,0,0
"Legislator 28","BDP",30,7,8,15,0.560938537120819,0.75,-0.0697731822729111,0.171940743923187,0,0,0
"Legislator 29","SP",34,2,3,21,0.838524103164673,0.916666666666667,0.42039680480957,-0.862589597702026,0,0,0
"Legislator 30","BDP",28,8,6,18,0.594891786575317,0.766666666666667,-0.0910070389509201,0.0553328134119511,0,0,0
"Legislator 31","SP",34,1,4,21,0.858397364616394,0.916666666666667,0.938587367534637,-0.233963429927826,0,0,0
"Legislator 32","SVP",24,2,2,32,0.80364602804184,0.933333333333333,-0.754494369029999,-0.529408991336823,0,0,0
