,Dataset,Datatype,Train Set,Train Sparsity,Evaluation Set,Evaluation Sparsity,Embedding Method,Prediction Method,Task,Accuracy,RMSE
0,Synthetic_60_50,Original,Train,10,Train,10,NOMINATE,IRT,Fit,0.9702777777777778,0.15379140401414687
1,Synthetic_60_50,Original,Train,10,Train,10,NOMINATE,IRT,Impute,0.9525,0.16485166564863946
2,Synthetic_60_50,Original,Train,10,Train,10,NOMINATE,IRT,Overall,0.9685000000000001,0.15489743017759613
3,Synthetic_60_50,Binary,Train,10,Train,10,NOMINATE,IRT,Fit,0.9702777777777778,0.19170592925364954
4,Synthetic_60_50,Binary,Train,10,Train,10,NOMINATE,IRT,Impute,0.9525,0.2139400938622384
5,Synthetic_60_50,Binary,Train,10,Train,10,NOMINATE,IRT,Overall,0.9685000000000001,0.19392934571450846
6,Synthetic_60_50,Original,Train,10,Test,10,NOMINATE,IRT,Fit,0.9614814814814815,0.15940277765401833
7,Synthetic_60_50,Original,Train,10,Test,10,NOMINATE,IRT,Impute,0.9533333333333334,0.1612056973454797
8,Synthetic_60_50,Original,Train,10,Test,10,NOMINATE,IRT,Overall,0.9606666666666668,0.1595830696231645
9,Synthetic_60_50,Binary,Train,10,Test,10,NOMINATE,IRT,Fit,0.9614814814814815,0.19922892026111827
10,Synthetic_60_50,Binary,Train,10,Test,10,NOMINATE,IRT,Impute,0.9533333333333334,0.2080211409332929
11,Synthetic_60_50,Binary,Train,10,Test,10,NOMINATE,IRT,Overall,0.9606666666666668,0.20010814232833574
12,Synthetic_60_50,Original,Train,60,Train,60,NOMINATE,IRT,Fit,0.98,0.17059218146715446
13,Synthetic_60_50,Original,Train,60,Train,60,NOMINATE,IRT,Impute,0.9320833333333334,0.18671703382781255
14,Synthetic_60_50,Original,Train,60,Train,60,NOMINATE,IRT,Overall,0.95125,0.1802670928835493
15,Synthetic_60_50,Binary,Train,60,Train,60,NOMINATE,IRT,Fit,0.98,0.19783817055259753
16,Synthetic_60_50,Binary,Train,60,Train,60,NOMINATE,IRT,Impute,0.9320833333333334,0.24177577031109554
17,Synthetic_60_50,Binary,Train,60,Train,60,NOMINATE,IRT,Overall,0.95125,0.22420073040769634
18,Synthetic_60_50,Original,Train,60,Test,60,NOMINATE,IRT,Fit,0.9708333333333333,0.17749400430963178
19,Synthetic_60_50,Original,Train,60,Test,60,NOMINATE,IRT,Impute,0.9344444444444444,0.18786362708880433
20,Synthetic_60_50,Original,Train,60,Test,60,NOMINATE,IRT,Overall,0.9490000000000001,0.1837157779771353
21,Synthetic_60_50,Binary,Train,60,Test,60,NOMINATE,IRT,Fit,0.9708333333333333,0.1953924530650295
22,Synthetic_60_50,Binary,Train,60,Test,60,NOMINATE,IRT,Impute,0.9344444444444444,0.2417135999571715
23,Synthetic_60_50,Binary,Train,60,Test,60,NOMINATE,IRT,Overall,0.9490000000000001,0.2231851412003147
24,Synthetic_60_50,Original,Train,70,Train,70,NOMINATE,IRT,Fit,0.9822222222222222,0.15049774584876263
25,Synthetic_60_50,Original,Train,70,Train,70,NOMINATE,IRT,Impute,0.9222619047619047,0.17901084389756836
26,Synthetic_60_50,Original,Train,70,Train,70,NOMINATE,IRT,Overall,0.94025,0.17045691448292663
27,Synthetic_60_50,Binary,Train,70,Train,70,NOMINATE,IRT,Fit,0.9822222222222222,0.1822620210807297
28,Synthetic_60_50,Binary,Train,70,Train,70,NOMINATE,IRT,Impute,0.9222619047619047,0.24780253811299618
29,Synthetic_60_50,Binary,Train,70,Train,70,NOMINATE,IRT,Overall,0.94025,0.22814038300331624
30,Synthetic_60_50,Original,Train,70,Test,70,NOMINATE,IRT,Fit,0.9711111111111111,0.16547638403881956
31,Synthetic_60_50,Original,Train,70,Test,70,NOMINATE,IRT,Impute,0.9257142857142857,0.18787081100434644
32,Synthetic_60_50,Original,Train,70,Test,70,NOMINATE,IRT,Overall,0.9393333333333334,0.18115248291468838
33,Synthetic_60_50,Binary,Train,70,Test,70,NOMINATE,IRT,Fit,0.9711111111111111,0.17837522737466394
34,Synthetic_60_50,Binary,Train,70,Test,70,NOMINATE,IRT,Impute,0.9257142857142857,0.25193339615218385
35,Synthetic_60_50,Binary,Train,70,Test,70,NOMINATE,IRT,Overall,0.9393333333333334,0.2298659455189279
36,Synthetic_60_50,Original,Train,40,Train,40,NOMINATE,IRT,Fit,0.9752777777777778,0.15810730294485423
37,Synthetic_60_50,Original,Train,40,Train,40,NOMINATE,IRT,Impute,0.9470833333333333,0.16847901886478808
38,Synthetic_60_50,Original,Train,40,Train,40,NOMINATE,IRT,Overall,0.964,0.16225598931282775
39,Synthetic_60_50,Binary,Train,40,Train,40,NOMINATE,IRT,Fit,0.9752777777777778,0.1798677143847327
40,Synthetic_60_50,Binary,Train,40,Train,40,NOMINATE,IRT,Impute,0.9470833333333333,0.2182172638323724
41,Synthetic_60_50,Binary,Train,40,Train,40,NOMINATE,IRT,Overall,0.964,0.19520753416378858
42,Synthetic_60_50,Original,Train,40,Test,40,NOMINATE,IRT,Fit,0.9666666666666667,0.1626509325953596
43,Synthetic_60_50,Original,Train,40,Test,40,NOMINATE,IRT,Impute,0.9299999999999999,0.17403220469697525
44,Synthetic_60_50,Original,Train,40,Test,40,NOMINATE,IRT,Overall,0.952,0.16720344143600585
45,Synthetic_60_50,Binary,Train,40,Test,40,NOMINATE,IRT,Fit,0.9666666666666667,0.18800556780079267
46,Synthetic_60_50,Binary,Train,40,Test,40,NOMINATE,IRT,Impute,0.9299999999999999,0.22930972155999838
47,Synthetic_60_50,Binary,Train,40,Test,40,NOMINATE,IRT,Overall,0.952,0.20452722930447495
48,Synthetic_60_50,Original,Train,50,Train,50,NOMINATE,IRT,Fit,0.9728333333333333,0.16660086069272403
49,Synthetic_60_50,Original,Train,50,Train,50,NOMINATE,IRT,Impute,0.9445,0.1731050828926518
50,Synthetic_60_50,Original,Train,50,Train,50,NOMINATE,IRT,Overall,0.9586666666666667,0.16985297179268793
51,Synthetic_60_50,Binary,Train,50,Train,50,NOMINATE,IRT,Fit,0.9728333333333333,0.20641090051963534
52,Synthetic_60_50,Binary,Train,50,Train,50,NOMINATE,IRT,Impute,0.9445,0.23209997564160018
53,Synthetic_60_50,Binary,Train,50,Train,50,NOMINATE,IRT,Overall,0.9586666666666667,0.21925543808061776
54,Synthetic_60_50,Original,Train,50,Test,50,NOMINATE,IRT,Fit,0.9586666666666667,0.1746554813493161
55,Synthetic_60_50,Original,Train,50,Test,50,NOMINATE,IRT,Impute,0.9433333333333334,0.1838707451451721
56,Synthetic_60_50,Original,Train,50,Test,50,NOMINATE,IRT,Overall,0.9510000000000001,0.1792631132472441
57,Synthetic_60_50,Binary,Train,50,Test,50,NOMINATE,IRT,Fit,0.9586666666666667,0.21086784669103104
58,Synthetic_60_50,Binary,Train,50,Test,50,NOMINATE,IRT,Impute,0.9433333333333334,0.23919470628699213
59,Synthetic_60_50,Binary,Train,50,Test,50,NOMINATE,IRT,Overall,0.9510000000000001,0.22503127648901158
60,Synthetic_60_50,Original,Train,0,Train,0,NOMINATE,IRT,Fit,0.969,0.15271975777598515
61,Synthetic_60_50,Original,Train,0,Train,0,NOMINATE,IRT,Impute,,
62,Synthetic_60_50,Original,Train,0,Train,0,NOMINATE,IRT,Overall,0.969,0.15271975777598515
63,Synthetic_60_50,Binary,Train,0,Train,0,NOMINATE,IRT,Fit,0.969,0.19218500084200849
64,Synthetic_60_50,Binary,Train,0,Train,0,NOMINATE,IRT,Impute,,
65,Synthetic_60_50,Binary,Train,0,Train,0,NOMINATE,IRT,Overall,0.969,0.19218500084200849
66,Synthetic_60_50,Original,Train,0,Test,20,NOMINATE,IRT,Fit,0.9641666666666666,0.15833978502493043
67,Synthetic_60_50,Original,Train,0,Test,20,NOMINATE,IRT,Impute,0.9516666666666667,0.1584164764356582
68,Synthetic_60_50,Original,Train,0,Test,20,NOMINATE,IRT,Overall,0.9616666666666667,0.158355123307076
69,Synthetic_60_50,Binary,Train,0,Test,20,NOMINATE,IRT,Fit,0.9641666666666666,0.1981326018990622
70,Synthetic_60_50,Binary,Train,0,Test,20,NOMINATE,IRT,Impute,0.9516666666666667,0.20876267425128567
71,Synthetic_60_50,Binary,Train,0,Test,20,NOMINATE,IRT,Overall,0.9616666666666667,0.20025861636950693
72,Synthetic_60_50,Original,Train,0,Test,30,NOMINATE,IRT,Fit,0.9661904761904762,0.1562893668418832
73,Synthetic_60_50,Original,Train,0,Test,30,NOMINATE,IRT,Impute,0.9555555555555556,0.1626066098887977
74,Synthetic_60_50,Original,Train,0,Test,30,NOMINATE,IRT,Overall,0.9629999999999999,0.15818453975595753
75,Synthetic_60_50,Binary,Train,0,Test,30,NOMINATE,IRT,Fit,0.9661904761904762,0.1956372331066202
76,Synthetic_60_50,Binary,Train,0,Test,30,NOMINATE,IRT,Impute,0.9555555555555556,0.21321223360060165
77,Synthetic_60_50,Binary,Train,0,Test,30,NOMINATE,IRT,Overall,0.9629999999999999,0.20090973325481465
78,Synthetic_60_50,Original,Train,0,Test,40,NOMINATE,IRT,Fit,0.9733333333333334,0.15948541974217803
79,Synthetic_60_50,Original,Train,0,Test,40,NOMINATE,IRT,Impute,0.9441666666666667,0.1648568728723302
80,Synthetic_60_50,Original,Train,0,Test,40,NOMINATE,IRT,Overall,0.9616666666666667,0.1616340009942389
81,Synthetic_60_50,Binary,Train,0,Test,40,NOMINATE,IRT,Fit,0.9733333333333334,0.18955142448524698
82,Synthetic_60_50,Binary,Train,0,Test,40,NOMINATE,IRT,Impute,0.9441666666666667,0.22497467450344696
83,Synthetic_60_50,Binary,Train,0,Test,40,NOMINATE,IRT,Overall,0.9616666666666667,0.20372072449252698
84,Synthetic_60_50,Original,Train,0,Test,80,NOMINATE,IRT,Fit,0.98,0.15804220856153528
85,Synthetic_60_50,Original,Train,0,Test,80,NOMINATE,IRT,Impute,0.9220833333333334,0.19421475498041943
86,Synthetic_60_50,Original,Train,0,Test,80,NOMINATE,IRT,Overall,0.9336666666666666,0.18698024569664262
87,Synthetic_60_50,Binary,Train,0,Test,80,NOMINATE,IRT,Fit,0.98,0.17615372760618062
88,Synthetic_60_50,Binary,Train,0,Test,80,NOMINATE,IRT,Impute,0.9220833333333334,0.2547985144437401
89,Synthetic_60_50,Binary,Train,0,Test,80,NOMINATE,IRT,Overall,0.9336666666666666,0.23906955707622818
90,Synthetic_60_50,Original,Train,0,Test,90,NOMINATE,IRT,Fit,0.9933333333333333,0.16318917094766722
91,Synthetic_60_50,Original,Train,0,Test,90,NOMINATE,IRT,Impute,0.8770370370370371,0.23902063650387725
92,Synthetic_60_50,Original,Train,0,Test,90,NOMINATE,IRT,Overall,0.8886666666666666,0.23143748994825625
93,Synthetic_60_50,Binary,Train,0,Test,90,NOMINATE,IRT,Fit,0.9933333333333333,0.1411087181327373
94,Synthetic_60_50,Binary,Train,0,Test,90,NOMINATE,IRT,Impute,0.8770370370370371,0.29850085776204516
95,Synthetic_60_50,Binary,Train,0,Test,90,NOMINATE,IRT,Overall,0.8886666666666666,0.2827616437991144
96,Synthetic_60_50,Original,Train,0,Test,50,NOMINATE,IRT,Fit,0.968,0.1604779563762394
97,Synthetic_60_50,Original,Train,0,Test,50,NOMINATE,IRT,Impute,0.9506666666666667,0.16503204829015508
98,Synthetic_60_50,Original,Train,0,Test,50,NOMINATE,IRT,Overall,0.9593333333333334,0.16275500233319723
99,Synthetic_60_50,Binary,Train,0,Test,50,NOMINATE,IRT,Fit,0.968,0.19383597720209625
100,Synthetic_60_50,Binary,Train,0,Test,50,NOMINATE,IRT,Impute,0.9506666666666667,0.2172329220396687
101,Synthetic_60_50,Binary,Train,0,Test,50,NOMINATE,IRT,Overall,0.9593333333333334,0.20553444962088246
102,Synthetic_60_50,Original,Train,0,Test,60,NOMINATE,IRT,Fit,0.9766666666666667,0.1588280464802386
103,Synthetic_60_50,Original,Train,0,Test,60,NOMINATE,IRT,Impute,0.9438888888888889,0.1673881759274778
104,Synthetic_60_50,Original,Train,0,Test,60,NOMINATE,IRT,Overall,0.9570000000000001,0.1639641241485821
105,Synthetic_60_50,Binary,Train,0,Test,60,NOMINATE,IRT,Fit,0.9766666666666667,0.17932439180454982
106,Synthetic_60_50,Binary,Train,0,Test,60,NOMINATE,IRT,Impute,0.9438888888888889,0.224981820835071
107,Synthetic_60_50,Binary,Train,0,Test,60,NOMINATE,IRT,Overall,0.9570000000000001,0.20671884922286254
108,Synthetic_60_50,Original,Train,0,Test,0,NOMINATE,IRT,Fit,0.964,0.15504058136742202
109,Synthetic_60_50,Original,Train,0,Test,0,NOMINATE,IRT,Impute,,
110,Synthetic_60_50,Original,Train,0,Test,0,NOMINATE,IRT,Overall,0.964,0.15504058136742202
111,Synthetic_60_50,Binary,Train,0,Test,0,NOMINATE,IRT,Fit,0.964,0.19699272689299688
112,Synthetic_60_50,Binary,Train,0,Test,0,NOMINATE,IRT,Impute,,
113,Synthetic_60_50,Binary,Train,0,Test,0,NOMINATE,IRT,Overall,0.964,0.19699272689299688
114,Synthetic_60_50,Original,Train,0,Test,70,NOMINATE,IRT,Fit,0.9877777777777778,0.15972302437322702
115,Synthetic_60_50,Original,Train,0,Test,70,NOMINATE,IRT,Impute,0.9252380952380952,0.18032338673862125
116,Synthetic_60_50,Original,Train,0,Test,70,NOMINATE,IRT,Overall,0.944,0.17414327802900298
117,Synthetic_60_50,Binary,Train,0,Test,70,NOMINATE,IRT,Fit,0.9877777777777778,0.16663510079087138
118,Synthetic_60_50,Binary,Train,0,Test,70,NOMINATE,IRT,Impute,0.9252380952380952,0.24292877222630535
