"","party","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","coord2D","se1D","se2D","corr.1"
"Legislator 1",0,18,0,0,22,0.973225116729736,1,0.236984595656395,0.971513390541077,0,0,0
"Legislator 2",0,19,0,0,21,0.950450420379639,1,0.263046562671661,0.964783132076263,0,0,0
"Legislator 3",0,19,0,0,21,0.954390525817871,1,0.262459337711334,0.964943110942841,0,0,0
"Legislator 4",0,17,1,0,22,0.953574120998383,0.975,0.240408420562744,0.903477847576141,0,0,0
"Legislator 5",0,22,0,1,17,0.937876403331757,0.975,0.317209422588348,0.948355555534363,0,0,0
"Legislator 6",0,17,0,0,23,0.960926294326782,1,0.287475734949112,0.957787930965424,0,0,0
"Legislator 7",0,18,0,1,21,0.951399564743042,0.975,0.235045000910759,0.888132750988007,0,0,0
"Legislator 8",0,19,1,0,20,0.943466365337372,0.975,0.145025208592415,0.989427983760834,0,0,0
"Legislator 9",0,20,0,0,20,0.956237852573395,1,0.265297740697861,0.964166641235352,0,0,0
"Legislator 10",0,20,1,0,19,0.941214501857758,0.975,0.245654314756393,0.775962710380554,0,0,0
"Legislator 11",0,16,1,0,23,0.932065427303314,0.975,0.212984070181847,0.791026175022125,0,0,0
"Legislator 12",0,18,1,1,20,0.93707412481308,0.95,0.240213662385941,0.822050631046295,0,0,0
"Legislator 13",0,17,1,0,22,0.92961460351944,0.975,0.200730293989182,0.714171648025513,0,0,0
"Legislator 14",0,21,0,0,19,0.928285360336304,1,0.432716965675354,0.901529788970947,0,0,0
"Legislator 15",0,16,0,2,22,0.952256858348846,0.95,0.0185156706720591,0.999828577041626,0,0,0
"Legislator 16",0,18,0,0,22,0.965106904506683,1,0.181104183197021,0.983463943004608,0,0,0
"Legislator 17",0,18,0,1,21,0.904029846191406,0.975,0.22642993927002,0.692441880702972,0,0,0
"Legislator 18",0,16,1,1,22,0.904306948184967,0.95,0.0253376588225365,0.873389303684235,0,0,0
"Legislator 19",0,19,0,2,19,0.816948115825653,0.95,0.366470783948898,0.834674715995789,0,0,0
"Legislator 20",0,17,1,1,21,0.903792500495911,0.95,0.24259902536869,0.960605144500732,0,0,0
"Legislator 21",0,20,1,1,18,0.92443037033081,0.95,0.261635005474091,0.961458623409271,0,0,0
"Legislator 22",0,16,1,2,21,0.885762274265289,0.925,0.25444895029068,0.910130798816681,0,0,0
"Legislator 23",0,18,0,1,21,0.952234268188477,0.975,0.0910380855202675,0.995847404003143,0,0,0
"Legislator 24",0,15,1,0,24,0.917965710163116,0.975,0.0769032984972,0.858830213546753,0,0,0
"Legislator 25",0,18,0,1,21,0.916545629501343,0.975,0.256332874298096,0.748401939868927,0,0,0
"Legislator 26",0,19,0,0,21,0.942898631095886,1,0.263775378465652,0.780430197715759,0,0,0
"Legislator 27",0,18,2,0,20,0.918291807174683,0.95,0.136683329939842,0.893219113349915,0,0,0
"Legislator 28",0,18,0,0,22,0.947641909122467,1,0.405089616775513,0.914276957511902,0,0,0
"Legislator 29",0,17,1,2,20,0.890091717243195,0.925,0.281371533870697,0.90956324338913,0,0,0
"Legislator 30",0,18,1,1,20,0.917888104915619,0.95,0.186769306659698,0.948784649372101,0,0,0
"Legislator 31",0,17,0,0,23,0.958688795566559,1,0.295536309480667,0.95533150434494,0,0,0
