,Dataset,Datatype,Train Set,Train Sparsity,Evaluation Set,Evaluation Sparsity,Embedding Method,Prediction Method,Task,Accuracy,RMSE
0,Smartvote,Binary,Train,0,Train,0,PCA,LR,Fit,0.8265926839293054,0.3465283834260185
1,Smartvote,Binary,Train,0,Train,0,PCA,LR,Impute,,
2,Smartvote,Binary,Train,0,Train,0,PCA,LR,Overall,0.8265926839293054,0.3465283834260185
3,Smartvote,Binary,Train,0,Test,20,PCA,LR,Fit,0.8260344827586207,0.34595238781668963
4,Smartvote,Binary,Train,0,Test,20,PCA,LR,Impute,0.8142528735632184,0.3570485239137879
5,Smartvote,Binary,Train,0,Test,20,PCA,LR,Overall,0.8236781609195403,0.3481716150361093
6,Smartvote,Binary,Train,0,Test,30,PCA,LR,Fit,0.8192582953806116,0.35131019456303614
7,Smartvote,Binary,Train,0,Test,30,PCA,LR,Impute,0.8098746081504702,0.36068009048883803
8,Smartvote,Binary,Train,0,Test,30,PCA,LR,Overall,0.8165057471264368,0.35405869736793805
9,Smartvote,Binary,Train,0,Test,40,PCA,LR,Fit,0.812183908045977,0.3567803886835938
10,Smartvote,Binary,Train,0,Test,40,PCA,LR,Impute,0.7975862068965517,0.3698948057989956
11,Smartvote,Binary,Train,0,Test,40,PCA,LR,Overall,0.8063448275862068,0.3620261555297545
12,Smartvote,Binary,Train,0,Test,80,PCA,LR,Fit,0.7480459770114942,0.4109329397480142
13,Smartvote,Binary,Train,0,Test,80,PCA,LR,Impute,0.7235632183908046,0.42815812122473207
14,Smartvote,Binary,Train,0,Test,80,PCA,LR,Overall,0.7284597701149425,0.4247130849293885
15,Smartvote,Binary,Train,0,Test,90,PCA,LR,Fit,0.722167487684729,0.43435608042370705
16,Smartvote,Binary,Train,0,Test,90,PCA,LR,Impute,0.701369168356998,0.44611433152956376
17,Smartvote,Binary,Train,0,Test,90,PCA,LR,Overall,0.7033103448275864,0.4450168947596838
18,Smartvote,Binary,Train,0,Test,50,PCA,LR,Fit,0.8010251630941286,0.3663264398239312
19,Smartvote,Binary,Train,0,Test,50,PCA,LR,Impute,0.7826678765880217,0.38230133483299134
20,Smartvote,Binary,Train,0,Test,50,PCA,LR,Overall,0.7917241379310345,0.3744203866285217
21,Smartvote,Binary,Train,0,Test,60,PCA,LR,Fit,0.7857471264367816,0.3801404928151871
22,Smartvote,Binary,Train,0,Test,60,PCA,LR,Impute,0.7720306513409961,0.3920434675201797
23,Smartvote,Binary,Train,0,Test,60,PCA,LR,Overall,0.7775172413793103,0.3872822776381827
24,Smartvote,Binary,Train,0,Test,0,PCA,LR,Fit,0.8302528735632184,0.34393517380866506
25,Smartvote,Binary,Train,0,Test,0,PCA,LR,Impute,,
26,Smartvote,Binary,Train,0,Test,0,PCA,LR,Overall,0.8302528735632184,0.34393517380866506
27,Smartvote,Binary,Train,0,Test,70,PCA,LR,Fit,0.7689655172413793,0.39506241580856927
28,Smartvote,Binary,Train,0,Test,70,PCA,LR,Impute,0.75026525198939,0.4063962504909012
29,Smartvote,Binary,Train,0,Test,70,PCA,LR,Overall,0.756,0.40292054118831944
30,Smartvote,Binary,Train,0,Test,10,PCA,LR,Fit,0.8288214101904272,0.3437769989069693
31,Smartvote,Binary,Train,0,Test,10,PCA,LR,Impute,0.8155172413793104,0.35886418823307276
32,Smartvote,Binary,Train,0,Test,10,PCA,LR,Overall,0.8274022988505747,0.34538629910175367
33,Smartvote,Binary,Train,10,Train,10,PCA,LR,Fit,0.8271619706645563,0.34605762831682585
34,Smartvote,Binary,Train,10,Train,10,PCA,LR,Impute,0.8131165228113441,0.3595352173454943
35,Smartvote,Binary,Train,10,Train,10,PCA,LR,Overall,0.8256637895602136,0.3474952378132171
36,Smartvote,Binary,Train,10,Test,10,PCA,LR,Fit,0.8284096757591354,0.3435246358091068
37,Smartvote,Binary,Train,10,Test,10,PCA,LR,Impute,0.8142241379310344,0.35888650436560543
38,Smartvote,Binary,Train,10,Test,10,PCA,LR,Overall,0.8268965517241379,0.34516323512179997
39,Smartvote,Binary,Train,20,Train,20,PCA,LR,Fit,0.8273427866831072,0.34578408110044784
40,Smartvote,Binary,Train,20,Train,20,PCA,LR,Impute,0.8145088368269626,0.3595872032111694
41,Smartvote,Binary,Train,20,Train,20,PCA,LR,Overall,0.8247759967118784,0.34854470552259215
42,Smartvote,Binary,Train,20,Test,20,PCA,LR,Fit,0.8302873563218391,0.34323170173209244
43,Smartvote,Binary,Train,20,Test,20,PCA,LR,Impute,0.8179310344827586,0.35527743137145534
44,Smartvote,Binary,Train,20,Test,20,PCA,LR,Overall,0.8278160919540232,0.34564084765996506
45,Smartvote,Binary,Train,30,Train,30,PCA,LR,Fit,0.8288044110462276,0.34412381098877465
46,Smartvote,Binary,Train,30,Train,30,PCA,LR,Impute,0.8082333819078579,0.3642772882964274
47,Smartvote,Binary,Train,30,Train,30,PCA,LR,Overall,0.8227702424989725,0.35003549766568615
48,Smartvote,Binary,Train,30,Test,30,PCA,LR,Fit,0.8281717631750163,0.3441116286301534
49,Smartvote,Binary,Train,30,Test,30,PCA,LR,Impute,0.8105015673981191,0.3582241133065222
50,Smartvote,Binary,Train,30,Test,30,PCA,LR,Overall,0.8229885057471265,0.3482512908018882
51,Smartvote,Binary,Train,40,Train,40,PCA,LR,Fit,0.8293327853130565,0.3448568404052828
52,Smartvote,Binary,Train,40,Train,40,PCA,LR,Impute,0.8099260172626387,0.3620795228035298
53,Smartvote,Binary,Train,40,Train,40,PCA,LR,Overall,0.8215700780928894,0.3517459133645816
54,Smartvote,Binary,Train,40,Test,40,PCA,LR,Fit,0.8276628352490422,0.3425347309565417
55,Smartvote,Binary,Train,40,Test,40,PCA,LR,Impute,0.8131034482758621,0.35823507893724765
56,Smartvote,Binary,Train,40,Test,40,PCA,LR,Overall,0.8218390804597702,0.34881487014882406
57,Smartvote,Binary,Train,50,Train,50,PCA,LR,Fit,0.8303895757656546,0.3424398756752379
58,Smartvote,Binary,Train,50,Train,50,PCA,LR,Impute,0.8076611071451749,0.3652242228188428
59,Smartvote,Binary,Train,50,Train,50,PCA,LR,Overall,0.8188738183312783,0.35398394489466445
60,Smartvote,Binary,Train,50,Test,50,PCA,LR,Fit,0.833923578751165,0.33998446266978793
61,Smartvote,Binary,Train,50,Test,50,PCA,LR,Impute,0.8092558983666062,0.3637960723244675
62,Smartvote,Binary,Train,50,Test,50,PCA,LR,Overall,0.8214252873563218,0.35204901156149226
63,Smartvote,Binary,Train,60,Train,60,PCA,LR,Fit,0.8348335388409371,0.33928569950379894
64,Smartvote,Binary,Train,60,Train,60,PCA,LR,Impute,0.8041786546102205,0.36941100017090206
65,Smartvote,Binary,Train,60,Train,60,PCA,LR,Overall,0.8164406083025072,0.35736087990406085
66,Smartvote,Binary,Train,60,Test,60,PCA,LR,Fit,0.8331034482758621,0.3388595191097002
67,Smartvote,Binary,Train,60,Test,60,PCA,LR,Impute,0.8052107279693487,0.3673716440307046
68,Smartvote,Binary,Train,60,Test,60,PCA,LR,Overall,0.8163678160919541,0.3559667940623028
69,Smartvote,Binary,Train,70,Train,70,PCA,LR,Fit,0.8364606229560929,0.3382553141995265
70,Smartvote,Binary,Train,70,Train,70,PCA,LR,Impute,0.7980887792848336,0.37235299019428514
71,Smartvote,Binary,Train,70,Train,70,PCA,LR,Overall,0.8098561446773531,0.3618963695558925
72,Smartvote,Binary,Train,70,Test,70,PCA,LR,Fit,0.8341829085457271,0.33885366455916605
73,Smartvote,Binary,Train,70,Test,70,PCA,LR,Impute,0.801790450928382,0.36911373479915577
74,Smartvote,Binary,Train,70,Test,70,PCA,LR,Overall,0.8117241379310345,0.3598339799255589
75,Smartvote,Binary,Train,80,Train,80,PCA,LR,Fit,0.8399095766543362,0.33469134616749846
