,Dataset,Datatype,Train Set,Train Sparsity,Evaluation Set,Evaluation Sparsity,Embedding Method,Prediction Method,Task,Accuracy,RMSE
0,Smartvote,Binary,Train,60,Train,60,PCA,Matrix Factorization,Fit,0.7931976983148377,0.3868625592932711
1,Smartvote,Binary,Train,60,Train,60,PCA,Matrix Factorization,Impute,0.7698177832579806,0.4009581969729841
2,Smartvote,Binary,Train,60,Train,60,PCA,Matrix Factorization,Overall,0.7791697492807235,0.3953199419010989
3,Smartvote,Binary,Train,60,Test,60,PCA,Matrix Factorization,Fit,0.7849425287356322,0.3893002363453631
4,Smartvote,Binary,Train,60,Test,60,PCA,Matrix Factorization,Impute,0.7717241379310344,0.3979320368562058
5,Smartvote,Binary,Train,60,Test,60,PCA,Matrix Factorization,Overall,0.7770114942528735,0.39447931665186875
6,Smartvote,Binary,Train,70,Train,70,PCA,Matrix Factorization,Fit,0.7756661126896478,0.3984744369942806
7,Smartvote,Binary,Train,70,Train,70,PCA,Matrix Factorization,Impute,0.7513634639097031,0.41189155850027964
8,Smartvote,Binary,Train,70,Train,70,PCA,Matrix Factorization,Overall,0.7588162762022195,0.40777697457177325
9,Smartvote,Binary,Train,70,Test,70,PCA,Matrix Factorization,Fit,0.7697151424287856,0.40075444173325625
10,Smartvote,Binary,Train,70,Test,70,PCA,Matrix Factorization,Impute,0.754973474801061,0.4099523894143877
11,Smartvote,Binary,Train,70,Test,70,PCA,Matrix Factorization,Overall,0.7594942528735632,0.4071316854588407
12,Smartvote,Binary,Train,10,Train,10,PCA,Matrix Factorization,Fit,0.8227818981541123,0.35508778794099266
13,Smartvote,Binary,Train,10,Train,10,PCA,Matrix Factorization,Impute,0.8095715166461159,0.36504673327274195
14,Smartvote,Binary,Train,10,Train,10,PCA,Matrix Factorization,Overall,0.8213727907932593,0.35615007544304594
15,Smartvote,Binary,Train,10,Test,10,PCA,Matrix Factorization,Fit,0.8234688625836335,0.3534851583415414
16,Smartvote,Binary,Train,10,Test,10,PCA,Matrix Factorization,Impute,0.805603448275862,0.36535044367535935
17,Smartvote,Binary,Train,10,Test,10,PCA,Matrix Factorization,Overall,0.8215632183908045,0.3547507887771486
18,Smartvote,Binary,Train,0,Train,0,PCA,Matrix Factorization,Fit,0.8233127825729551,0.35423338899672735
19,Smartvote,Binary,Train,0,Train,0,PCA,Matrix Factorization,Impute,,
20,Smartvote,Binary,Train,0,Train,0,PCA,Matrix Factorization,Overall,0.8233127825729551,0.35423338899672735
21,Smartvote,Binary,Train,0,Test,20,PCA,Matrix Factorization,Fit,0.8221264367816092,0.356367364495229
22,Smartvote,Binary,Train,0,Test,20,PCA,Matrix Factorization,Impute,0.8108045977011494,0.3657763322955743
23,Smartvote,Binary,Train,0,Test,20,PCA,Matrix Factorization,Overall,0.8198620689655174,0.35824915805529806
24,Smartvote,Binary,Train,0,Test,30,PCA,Matrix Factorization,Fit,0.8165256994144438,0.3615252859149815
25,Smartvote,Binary,Train,0,Test,30,PCA,Matrix Factorization,Impute,0.8047021943573668,0.3703462257972468
26,Smartvote,Binary,Train,0,Test,30,PCA,Matrix Factorization,Overall,0.8130574712643679,0.36411276161377937
27,Smartvote,Binary,Train,0,Test,40,PCA,Matrix Factorization,Fit,0.8124137931034483,0.3683844737477062
28,Smartvote,Binary,Train,0,Test,40,PCA,Matrix Factorization,Impute,0.7978160919540229,0.37892642419056877
