,Dataset,Datatype,Train Set,Train Sparsity,Evaluation Set,Evaluation Sparsity,Embedding Method,Prediction Method,Task,Accuracy,RMSE
0,Smartvote,Original,Train,0,Train,0,PCA,LR,Fit,0.8261816687217427,0.2699481484205981
1,Smartvote,Original,Train,0,Train,0,PCA,LR,Impute,,
2,Smartvote,Original,Train,0,Train,0,PCA,LR,Overall,0.8261816687217427,0.2699481484205981
3,Smartvote,Original,Train,0,Test,20,PCA,LR,Fit,0.8267816091954023,0.26720312769705196
4,Smartvote,Original,Train,0,Test,20,PCA,LR,Impute,0.8186206896551724,0.27447141019136584
5,Smartvote,Original,Train,0,Test,20,PCA,LR,Overall,0.8251494252873564,0.26865678419591477
6,Smartvote,Original,Train,0,Test,30,PCA,LR,Fit,0.8185426154847104,0.2725483926397039
7,Smartvote,Original,Train,0,Test,30,PCA,LR,Impute,0.8119122257053292,0.2768012512976225
8,Smartvote,Original,Train,0,Test,30,PCA,LR,Overall,0.8165977011494252,0.27379589784602665
9,Smartvote,Original,Train,0,Test,40,PCA,LR,Fit,0.8120306513409962,0.2768260925101623
10,Smartvote,Original,Train,0,Test,40,PCA,LR,Impute,0.7985057471264367,0.2889575663798615
11,Smartvote,Original,Train,0,Test,40,PCA,LR,Overall,0.8066206896551724,0.281678682058042
12,Smartvote,Original,Train,0,Test,80,PCA,LR,Fit,0.7459770114942529,0.33487905273706625
13,Smartvote,Original,Train,0,Test,80,PCA,LR,Impute,0.7262068965517241,0.3514825952481674
14,Smartvote,Original,Train,0,Test,80,PCA,LR,Overall,0.7301609195402299,0.34816188674594717
15,Smartvote,Original,Train,0,Test,90,PCA,LR,Fit,0.7182266009852216,0.3635234739667529
16,Smartvote,Original,Train,0,Test,90,PCA,LR,Impute,0.7000507099391481,0.37174386513900065
17,Smartvote,Original,Train,0,Test,90,PCA,LR,Overall,0.7017471264367816,0.37097662862959085
18,Smartvote,Original,Train,0,Test,50,PCA,LR,Fit,0.8011183597390494,0.2883809105343718
19,Smartvote,Original,Train,0,Test,50,PCA,LR,Impute,0.7832123411978221,0.3004558635450951
20,Smartvote,Original,Train,0,Test,50,PCA,LR,Overall,0.7920459770114943,0.2944988867264716
21,Smartvote,Original,Train,0,Test,60,PCA,LR,Fit,0.784367816091954,0.3017142411246918
22,Smartvote,Original,Train,0,Test,60,PCA,LR,Impute,0.7726436781609195,0.3121915731724761
23,Smartvote,Original,Train,0,Test,60,PCA,LR,Overall,0.7773333333333333,0.3080006403533624
24,Smartvote,Original,Train,0,Test,0,PCA,LR,Fit,0.828551724137931,0.2665868219064565
25,Smartvote,Original,Train,0,Test,0,PCA,LR,Impute,,
26,Smartvote,Original,Train,0,Test,0,PCA,LR,Overall,0.828551724137931,0.2665868219064565
27,Smartvote,Original,Train,0,Test,70,PCA,LR,Fit,0.7662668665667166,0.31749127899468454
28,Smartvote,Original,Train,0,Test,70,PCA,LR,Impute,0.7527188328912466,0.3286116745880015
29,Smartvote,Original,Train,0,Test,70,PCA,LR,Overall,0.7568735632183907,0.32520141993938434
30,Smartvote,Original,Train,0,Test,10,PCA,LR,Fit,0.8276376737004632,0.26561869268151855
31,Smartvote,Original,Train,0,Test,10,PCA,LR,Impute,0.8094827586206896,0.27634994360918286
32,Smartvote,Original,Train,0,Test,10,PCA,LR,Overall,0.8257011494252873,0.2667633594471361
33,Smartvote,Original,Train,10,Train,10,PCA,LR,Fit,0.8270883560005153,0.26949726494262527
34,Smartvote,Original,Train,10,Train,10,PCA,LR,Impute,0.813039457459926,0.27928826222354036
35,Smartvote,Original,Train,10,Train,10,PCA,LR,Overall,0.8255898068228524,0.27054163798592284
36,Smartvote,Original,Train,10,Test,10,PCA,LR,Fit,0.8288214101904272,0.26631972112388247
37,Smartvote,Original,Train,10,Test,10,PCA,LR,Impute,0.8103448275862069,0.27705450098552853
38,Smartvote,Original,Train,10,Test,10,PCA,LR,Overall,0.8268505747126437,0.26746476430912475
39,Smartvote,Original,Train,20,Train,20,PCA,LR,Fit,0.8261200164406083,0.2695427960765299
40,Smartvote,Original,Train,20,Train,20,PCA,LR,Impute,0.8177147554459515,0.2798746002239106
41,Smartvote,Original,Train,20,Train,20,PCA,LR,Overall,0.824438964241677,0.27160915690600607
42,Smartvote,Original,Train,20,Test,20,PCA,LR,Fit,0.8290229885057472,0.26671591055571275
43,Smartvote,Original,Train,20,Test,20,PCA,LR,Impute,0.8216091954022988,0.27452776972855564
44,Smartvote,Original,Train,20,Test,20,PCA,LR,Overall,0.8275402298850576,0.26827828239028134
45,Smartvote,Original,Train,30,Train,30,PCA,LR,Fit,0.8282344182583812,0.26904997459756896
46,Smartvote,Original,Train,30,Train,30,PCA,LR,Impute,0.81246497029481,0.2829476249077074
47,Smartvote,Original,Train,30,Train,30,PCA,LR,Overall,0.8236087135224003,0.27312661868854293
48,Smartvote,Original,Train,30,Test,30,PCA,LR,Fit,0.8251789199739753,0.2682775756640466
49,Smartvote,Original,Train,30,Test,30,PCA,LR,Impute,0.8202194357366771,0.27482281375662426
50,Smartvote,Original,Train,30,Test,30,PCA,LR,Overall,0.8237241379310345,0.2701975121712027
51,Smartvote,Original,Train,40,Train,40,PCA,LR,Fit,0.8275928209343746,0.26964761298123596
52,Smartvote,Original,Train,40,Train,40,PCA,LR,Impute,0.8126798191533087,0.2809470355345907
53,Smartvote,Original,Train,40,Train,40,PCA,LR,Overall,0.8216276202219481,0.27416738200257784
54,Smartvote,Original,Train,40,Test,40,PCA,LR,Fit,0.8276628352490422,0.26524043868428254
55,Smartvote,Original,Train,40,Test,40,PCA,LR,Impute,0.8181609195402298,0.27901167233032287
56,Smartvote,Original,Train,40,Test,40,PCA,LR,Overall,0.8238620689655172,0.2707489321426987
57,Smartvote,Original,Train,50,Train,50,PCA,LR,Fit,0.8302229479788049,0.26707388482219163
58,Smartvote,Original,Train,50,Train,50,PCA,LR,Impute,0.8103543383736778,0.2840481047117416
59,Smartvote,Original,Train,50,Train,50,PCA,LR,Overall,0.8201561857788738,0.2756741562328969
60,Smartvote,Original,Train,50,Test,50,PCA,LR,Fit,0.8324324324324324,0.2641580162398213
61,Smartvote,Original,Train,50,Test,50,PCA,LR,Impute,0.8114337568058076,0.28228894057226994
62,Smartvote,Original,Train,50,Test,50,PCA,LR,Overall,0.8217931034482759,0.2733443512349286
63,Smartvote,Original,Train,60,Train,60,PCA,LR,Fit,0.8322441430332922,0.26431086843202933
64,Smartvote,Original,Train,60,Train,60,PCA,LR,Impute,0.805672009864365,0.2873637064060386
65,Smartvote,Original,Train,60,Train,60,PCA,LR,Overall,0.816300863131936,0.2781425712164349
66,Smartvote,Original,Train,60,Test,60,PCA,LR,Fit,0.8281609195402299,0.26193041361604286
67,Smartvote,Original,Train,60,Test,60,PCA,LR,Impute,0.809272030651341,0.2852288399849908
68,Smartvote,Original,Train,60,Test,60,PCA,LR,Overall,0.8168275862068965,0.2759094694374117
69,Smartvote,Original,Train,70,Train,70,PCA,LR,Fit,0.8315820511445879,0.2632118445194543
70,Smartvote,Original,Train,70,Train,70,PCA,LR,Impute,0.8030920990230485,0.28921881518766285
71,Smartvote,Original,Train,70,Train,70,PCA,LR,Overall,0.8118290176736538,0.28124334418274555
72,Smartvote,Original,Train,70,Test,70,PCA,LR,Fit,0.8307346326836582,0.26118731969332365
73,Smartvote,Original,Train,70,Test,70,PCA,LR,Impute,0.8057692307692308,0.28501576377909077
74,Smartvote,Original,Train,70,Test,70,PCA,LR,Overall,0.8134252873563219,0.2777083742594555
75,Smartvote,Original,Train,80,Train,80,PCA,LR,Fit,0.8332511302918209,0.25882136213991075
76,Smartvote,Original,Train,80,Train,80,PCA,LR,Impute,0.7927147554459515,0.29438276134454283
77,Smartvote,Original,Train,80,Train,80,PCA,LR,Overall,0.8008220304151253,0.2872704815036164
78,Smartvote,Original,Train,80,Test,80,PCA,LR,Fit,0.8347126436781609,0.2567245997831175
79,Smartvote,Original,Train,80,Test,80,PCA,LR,Impute,0.7929885057471264,0.29284522270004226
80,Smartvote,Original,Train,80,Test,80,PCA,LR,Overall,0.8013333333333332,0.2856210981166573
81,Smartvote,Original,Train,90,Train,90,PCA,LR,Fit,0.8292231812577066,0.27160784436462043
82,Smartvote,Original,Train,90,Train,90,PCA,LR,Impute,0.754125262928846,0.3211244940270031
83,Smartvote,Original,Train,90,Train,90,PCA,LR,Overall,0.761134401972873,0.31650294005851404
84,Smartvote,Original,Train,90,Test,90,PCA,LR,Fit,0.8073891625615763,0.2870290167548082
85,Smartvote,Original,Train,90,Test,90,PCA,LR,Impute,0.7582150101419878,0.3184500762035684
86,Smartvote,Original,Train,90,Test,90,PCA,LR,Overall,0.7628045977011494,0.3155174439883508
