,Dataset,Datatype,Train Set,Train Sparsity,Evaluation Set,Evaluation Sparsity,Embedding Method,Prediction Method,Task,Accuracy,RMSE
0,Smartvote,Original,Train,60,Train,60,PCA,Matrix Factorization,Fit,0.7814221126181669,0.2970990733963859
1,Smartvote,Original,Train,60,Train,60,PCA,Matrix Factorization,Impute,0.7603096314563639,0.30906619231846455
2,Smartvote,Original,Train,60,Train,60,PCA,Matrix Factorization,Overall,0.7687546239210851,0.3042793447496331
3,Smartvote,Original,Train,60,Test,60,PCA,Matrix Factorization,Fit,0.7754022988505747,0.2990898961737533
4,Smartvote,Original,Train,60,Test,60,PCA,Matrix Factorization,Impute,0.7668199233716475,0.3074980217772765
5,Smartvote,Original,Train,60,Test,60,PCA,Matrix Factorization,Overall,0.7702528735632184,0.3041347715358672
6,Smartvote,Original,Train,70,Train,70,PCA,Matrix Factorization,Fit,0.7626387176325524,0.30937659348779667
7,Smartvote,Original,Train,70,Train,70,PCA,Matrix Factorization,Impute,0.742068196907901,0.3205977358704905
8,Smartvote,Original,Train,70,Train,70,PCA,Matrix Factorization,Overall,0.7483764899301275,0.31715658553979775
9,Smartvote,Original,Train,70,Test,70,PCA,Matrix Factorization,Fit,0.7547226386806597,0.3114918572442809
10,Smartvote,Original,Train,70,Test,70,PCA,Matrix Factorization,Impute,0.7471485411140584,0.32046184233301256
11,Smartvote,Original,Train,70,Test,70,PCA,Matrix Factorization,Overall,0.7494712643678161,0.31771104690580154
12,Smartvote,Original,Train,10,Train,10,PCA,Matrix Factorization,Fit,0.8131567808307415,0.2618138816553859
13,Smartvote,Original,Train,10,Train,10,PCA,Matrix Factorization,Impute,0.7993218249075216,0.2706283274759732
14,Smartvote,Original,Train,10,Train,10,PCA,Matrix Factorization,Overall,0.8116810521989313,0.2627540892095819
15,Smartvote,Original,Train,10,Test,10,PCA,Matrix Factorization,Fit,0.8137931034482758,0.2602076136817672
16,Smartvote,Original,Train,10,Test,10,PCA,Matrix Factorization,Impute,0.8034482758620689,0.26932962135580846
17,Smartvote,Original,Train,10,Test,10,PCA,Matrix Factorization,Overall,0.8126896551724138,0.2611806278336649
18,Smartvote,Original,Train,0,Train,0,PCA,Matrix Factorization,Fit,0.814262227702425,0.26081605086435766
19,Smartvote,Original,Train,0,Train,0,PCA,Matrix Factorization,Impute,,
20,Smartvote,Original,Train,0,Train,0,PCA,Matrix Factorization,Overall,0.814262227702425,0.26081605086435766
21,Smartvote,Original,Train,0,Test,20,PCA,Matrix Factorization,Fit,0.8137931034482758,0.26356802216095876
22,Smartvote,Original,Train,0,Test,20,PCA,Matrix Factorization,Impute,0.7995402298850575,0.2717282865446736
23,Smartvote,Original,Train,0,Test,20,PCA,Matrix Factorization,Overall,0.8109425287356322,0.2652000750377017
24,Smartvote,Original,Train,0,Test,30,PCA,Matrix Factorization,Fit,0.8027325959661679,0.269804598135572
25,Smartvote,Original,Train,0,Test,30,PCA,Matrix Factorization,Impute,0.806896551724138,0.27571972173983567
26,Smartvote,Original,Train,0,Test,30,PCA,Matrix Factorization,Overall,0.8039540229885057,0.2715397010594893
27,Smartvote,Original,Train,0,Test,40,PCA,Matrix Factorization,Fit,0.8026053639846743,0.2769078064978677
28,Smartvote,Original,Train,0,Test,40,PCA,Matrix Factorization,Impute,0.7886206896551724,0.28595126143137095
29,Smartvote,Original,Train,0,Test,40,PCA,Matrix Factorization,Overall,0.7970114942528735,0.28052518847126906
30,Smartvote,Original,Train,0,Test,80,PCA,Matrix Factorization,Fit,0.743448275862069,0.3227850526737416
31,Smartvote,Original,Train,0,Test,80,PCA,Matrix Factorization,Impute,0.7193678160919541,0.33661045955329233
32,Smartvote,Original,Train,0,Test,80,PCA,Matrix Factorization,Overall,0.724183908045977,0.33384537817738213
33,Smartvote,Original,Train,0,Test,90,PCA,Matrix Factorization,Fit,0.7049261083743843,0.34588042608734987
34,Smartvote,Original,Train,0,Test,90,PCA,Matrix Factorization,Impute,0.6925963488843814,0.35145347155688417
35,Smartvote,Original,Train,0,Test,90,PCA,Matrix Factorization,Overall,0.6937471264367817,0.3509333206463943
36,Smartvote,Original,Train,0,Test,50,PCA,Matrix Factorization,Fit,0.793569431500466,0.2879540595462658
37,Smartvote,Original,Train,0,Test,50,PCA,Matrix Factorization,Impute,0.7747731397459166,0.2952526610116833
38,Smartvote,Original,Train,0,Test,50,PCA,Matrix Factorization,Overall,0.7840459770114943,0.2916520176220773
39,Smartvote,Original,Train,0,Test,60,PCA,Matrix Factorization,Fit,0.777816091954023,0.298374199305319
40,Smartvote,Original,Train,0,Test,60,PCA,Matrix Factorization,Impute,0.7682758620689655,0.3067477324108079
41,Smartvote,Original,Train,0,Test,60,PCA,Matrix Factorization,Overall,0.7720919540229885,0.3033983191686123
42,Smartvote,Original,Train,0,Test,0,PCA,Matrix Factorization,Fit,0.817655172413793,0.2591031110819713
43,Smartvote,Original,Train,0,Test,0,PCA,Matrix Factorization,Impute,,
44,Smartvote,Original,Train,0,Test,0,PCA,Matrix Factorization,Overall,0.817655172413793,0.2591031110819713
45,Smartvote,Original,Train,0,Test,70,PCA,Matrix Factorization,Fit,0.7580209895052474,0.31062384699714546
46,Smartvote,Original,Train,0,Test,70,PCA,Matrix Factorization,Impute,0.7468832891246684,0.31965010572452923
47,Smartvote,Original,Train,0,Test,70,PCA,Matrix Factorization,Overall,0.7502988505747127,0.31688205304813155
48,Smartvote,Original,Train,0,Test,10,PCA,Matrix Factorization,Fit,0.8142048378795677,0.26011891239211804
49,Smartvote,Original,Train,0,Test,10,PCA,Matrix Factorization,Impute,0.8034482758620689,0.26936132076171376
50,Smartvote,Original,Train,0,Test,10,PCA,Matrix Factorization,Overall,0.8130574712643678,0.2611047692848749
51,Smartvote,Original,Train,20,Train,20,PCA,Matrix Factorization,Fit,0.8096177558569667,0.26557689569999315
52,Smartvote,Original,Train,20,Train,20,PCA,Matrix Factorization,Impute,0.803822441430333,0.27235867183634566
53,Smartvote,Original,Train,20,Train,20,PCA,Matrix Factorization,Overall,0.80845869297164,0.26693325092726367
54,Smartvote,Original,Train,20,Test,20,PCA,Matrix Factorization,Fit,0.8136206896551724,0.263663266787786
55,Smartvote,Original,Train,20,Test,20,PCA,Matrix Factorization,Impute,0.7983908045977012,0.271912279464932
56,Smartvote,Original,Train,20,Test,20,PCA,Matrix Factorization,Overall,0.8105747126436782,0.2653130693232152
57,Smartvote,Original,Train,30,Train,30,PCA,Matrix Factorization,Fit,0.8066561198613406,0.2699870264826817
58,Smartvote,Original,Train,30,Train,30,PCA,Matrix Factorization,Impute,0.7923719313978254,0.27886122803218416
59,Smartvote,Original,Train,30,Train,30,PCA,Matrix Factorization,Overall,0.8024660912453762,0.2725901256038691
60,Smartvote,Original,Train,30,Test,30,PCA,Matrix Factorization,Fit,0.8014313597918022,0.2700410315489594
61,Smartvote,Original,Train,30,Test,30,PCA,Matrix Factorization,Impute,0.8059561128526646,0.2757442899443049
