,Dataset,Datatype,Train Set,Train Sparsity,Evaluation Set,Evaluation Sparsity,Embedding Method,Prediction Method,Task,Accuracy,RMSE
0,Synthetic_60_50,Binary,Train,0,Train,0,PCA,LR,Fit,0.9766666666666667,0.13771181942634125
1,Synthetic_60_50,Binary,Train,0,Train,0,PCA,LR,Impute,,
2,Synthetic_60_50,Binary,Train,0,Train,0,PCA,LR,Overall,0.9766666666666667,0.13771181942634125
3,Synthetic_60_50,Binary,Train,0,Test,20,PCA,LR,Fit,0.95625,0.18695549910984127
4,Synthetic_60_50,Binary,Train,0,Test,20,PCA,LR,Impute,0.9366666666666666,0.20934707292559307
5,Synthetic_60_50,Binary,Train,0,Test,20,PCA,LR,Overall,0.9523333333333335,0.19143381387299163
6,Synthetic_60_50,Binary,Train,0,Test,30,PCA,LR,Fit,0.9299999999999999,0.2261104198159497
7,Synthetic_60_50,Binary,Train,0,Test,30,PCA,LR,Impute,0.9044444444444444,0.25388651647935906
8,Synthetic_60_50,Binary,Train,0,Test,30,PCA,LR,Overall,0.9223333333333332,0.23444324881497253
9,Synthetic_60_50,Binary,Train,0,Test,40,PCA,LR,Fit,0.8894444444444445,0.2739996249276632
10,Synthetic_60_50,Binary,Train,0,Test,40,PCA,LR,Impute,0.8625,0.31100554816995374
11,Synthetic_60_50,Binary,Train,0,Test,40,PCA,LR,Overall,0.8786666666666667,0.2888019942245794
12,Synthetic_60_50,Binary,Train,0,Test,80,PCA,LR,Fit,0.775,0.4430459360170135
13,Synthetic_60_50,Binary,Train,0,Test,80,PCA,LR,Impute,0.7495833333333333,0.46288413756136704
14,Synthetic_60_50,Binary,Train,0,Test,80,PCA,LR,Overall,0.7546666666666666,0.45891649725249634
15,Synthetic_60_50,Binary,Train,0,Test,90,PCA,LR,Fit,0.6766666666666667,0.5039765715484712
16,Synthetic_60_50,Binary,Train,0,Test,90,PCA,LR,Impute,0.7044444444444444,0.49056737460303473
17,Synthetic_60_50,Binary,Train,0,Test,90,PCA,LR,Overall,0.7016666666666667,0.4919082942975784
18,Synthetic_60_50,Binary,Train,0,Test,50,PCA,LR,Fit,0.8426666666666667,0.3276798396524675
19,Synthetic_60_50,Binary,Train,0,Test,50,PCA,LR,Impute,0.8393333333333333,0.3388510323409811
20,Synthetic_60_50,Binary,Train,0,Test,50,PCA,LR,Overall,0.841,0.3332654359967243
21,Synthetic_60_50,Binary,Train,0,Test,60,PCA,LR,Fit,0.8225,0.3662261475777707
22,Synthetic_60_50,Binary,Train,0,Test,60,PCA,LR,Impute,0.8022222222222222,0.38793506594165844
23,Synthetic_60_50,Binary,Train,0,Test,60,PCA,LR,Overall,0.8103333333333333,0.37925149859610335
