,Dataset,Datatype,Train Set,Train Sparsity,Evaluation Set,Evaluation Sparsity,Embedding Method,Prediction Method,Task,Accuracy,RMSE
0,Synthetic_60_50,Binary,Train,60,Train,60,PCA,Matrix Factorization,Fit,0.89125,0.33397277189085306
1,Synthetic_60_50,Binary,Train,60,Train,60,PCA,Matrix Factorization,Impute,0.8674999999999999,0.35015448602745036
2,Synthetic_60_50,Binary,Train,60,Train,60,PCA,Matrix Factorization,Overall,0.877,0.34368180037281143
3,Synthetic_60_50,Binary,Train,60,Test,60,PCA,Matrix Factorization,Fit,0.8858333333333334,0.3416111127587333
4,Synthetic_60_50,Binary,Train,60,Test,60,PCA,Matrix Factorization,Impute,0.8655555555555555,0.35327140847034244
5,Synthetic_60_50,Binary,Train,60,Test,60,PCA,Matrix Factorization,Overall,0.8736666666666667,0.3486072901856988
6,Synthetic_60_50,Binary,Train,70,Train,70,PCA,Matrix Factorization,Fit,0.8633333333333333,0.355973891353148
7,Synthetic_60_50,Binary,Train,70,Train,70,PCA,Matrix Factorization,Impute,0.8217857142857143,0.37995102766633126
8,Synthetic_60_50,Binary,Train,70,Train,70,PCA,Matrix Factorization,Overall,0.83425,0.3727578867723763
9,Synthetic_60_50,Binary,Train,70,Test,70,PCA,Matrix Factorization,Fit,0.8344444444444444,0.36850210923227283
10,Synthetic_60_50,Binary,Train,70,Test,70,PCA,Matrix Factorization,Impute,0.8180952380952381,0.378450985280658
11,Synthetic_60_50,Binary,Train,70,Test,70,PCA,Matrix Factorization,Overall,0.823,0.3754663224661424
12,Synthetic_60_50,Binary,Train,10,Train,10,PCA,Matrix Factorization,Fit,0.952037037037037,0.25276757973445074
13,Synthetic_60_50,Binary,Train,10,Train,10,PCA,Matrix Factorization,Impute,0.9441666666666667,0.2631912087878333
14,Synthetic_60_50,Binary,Train,10,Train,10,PCA,Matrix Factorization,Overall,0.95125,0.253809942639789
15,Synthetic_60_50,Binary,Train,10,Test,10,PCA,Matrix Factorization,Fit,0.9485185185185185,0.2563502574129275
16,Synthetic_60_50,Binary,Train,10,Test,10,PCA,Matrix Factorization,Impute,0.9633333333333334,0.2504074214979952
17,Synthetic_60_50,Binary,Train,10,Test,10,PCA,Matrix Factorization,Overall,0.9500000000000001,0.2557559738214343
