,x,y
0,-1.6952618937419885,-2.163544981226019
1,-1.4809010622039094,-2.1529493999944376
2,-1.4861263296953746,-2.0194532324970758
3,-1.7245150575532662,-1.7832718887807142
4,-1.7614583818697191,-1.963233065204478
6,-1.5788077653960348,-2.0706559756127203
7,-1.7092573927182817,-1.8266077551177322
8,-1.2918000517254236,-2.2629264510325626
10,-1.626077361317389,-2.028417544648743
11,-1.9193111213467056,-1.9157269965531847
13,-1.6699564693662585,-1.9851174326937038
14,-1.8438679642627505,-1.6879953051904255
15,-1.5888359136838233,-1.7945077183650209
17,-1.721579556339633,-1.7939464907258733
18,-0.9372559910986776,-2.307988542760167
19,-1.2084791798735495,-2.3540182971990053
20,-1.9135971910943583,-1.6451962465725185
21,-0.9980805104064998,-2.16731210787886
22,-2.062354664019518,-1.1231758813281862
23,-1.755387345923577,-1.6888487668034173
24,-1.8002895357186977,-1.895614422887879
25,-1.8732226009940054,-1.5829114546219192
28,-1.180350649136648,-2.462081329480544
29,-1.08860570474756,-2.4219863290131873
30,-2.0090012645812663,-1.4165879695075183
31,-1.7085278188799882,-1.839780726209611
32,-1.3674572000869576,-2.283989077302696
33,-1.3467728383979805,-2.1286337850074175
34,-1.8408841428461933,-1.7624508346780328
35,-1.8282480001010708,-1.672034585281137
36,-1.5297225349513843,-2.0598179105191314
39,-1.8159914687734149,-1.5716960032146148
40,-1.622853705445431,-1.979232866543278
41,-1.68634101725319,-1.5868296724656341
42,-1.8838664775932392,-1.6600534289014337
43,-1.3829611396133297,-2.2751620385963163
44,-1.1887837759789226,-2.2701720068617006
46,-0.8587042569212716,-1.981936288384034
47,-1.7605379163475883,-1.7203674356074294
48,-1.8261024402895272,-1.7855430133507415
49,-1.4002233249305962,-2.172089745565325
50,-1.1286531271241875,-2.0630721737613444
51,-1.6842231991869492,-2.2761454301404593
53,-0.8593668973334965,-2.132798836908335
54,-1.7872671058351366,-1.7310916224300557
55,-1.8275333706307788,-1.7849518624731966
56,-1.7816376908497296,-1.8718776151995578
57,-1.3906994415944505,-2.0830543922020452
58,-1.1887282604905784,-2.1572371683644826
59,-1.171973155593422,-2.24420247059168
60,2.2130096433314157,-1.93430503896984
61,2.7081840120886223,-0.6775920656390675
62,3.0532106658997473,-0.4660889945673036
63,2.8313414619510513,-1.0393573921853463
64,2.2392661581793325,-1.5941150904399481
65,2.160957519035313,-1.6267705285341698
66,2.524551807440811,-1.1900134225990016
68,2.0675924632724536,-2.0428056544166844
69,2.9664138158947115,-0.9076954452451617
70,2.7036426719075237,-1.3415505602857272
72,2.8670634168712885,-0.4060004379514231
74,1.5366454203092608,-2.012288688786586
75,2.2811290210535464,-1.8535577733073438
76,1.580524128686703,-2.1404440656651116
79,2.04966573476005,-1.9142577626314483
80,3.02275623535067,-0.7001107150960774
81,2.472788229593168,-1.6359250409268624
82,2.403168994042447,-1.5089965676791337
83,2.3921239710813174,-1.590653619903391
84,2.460558376583376,-0.8135978384930066
85,2.2483523863237123,-1.3885153429408914
86,2.4727186931527063,-0.9546664663929647
88,2.1679931344341874,-1.6683434567300528
89,2.2981892048209485,-1.2880587738358436
92,2.167914445103992,-1.7084110746049992
96,2.95393001006145,-0.8301578795216061
99,2.7697844019655466,-0.8648104268254464
100,2.921695158034777,-0.7729824442082137
101,2.0402429305230863,-1.8344599897286378
102,2.4519281559013844,-1.575779748834028
104,2.392075915585248,-1.7749516771364706
105,2.8851243641669173,-0.5191339870758415
106,2.241351877154751,-1.9980404221725205
108,2.2536772419273476,-1.6806628629397338
109,2.2230635124490594,-1.9918890800194546
110,2.124648707044508,-1.883647107614523
111,2.560875152466874,-1.3781209924850417
112,2.030326820225994,-1.8359798324033725
113,2.4709641696521563,-1.5789317206781284
114,2.960951462183794,-0.5748913043920028
115,2.258501526791487,-1.6917220886101867
117,2.868664744486139,-0.8823856965963325
118,2.9276348962074508,-0.7860935981414644
119,2.9155429239562074,0.11674630034179825
120,-1.6229259949948487,1.8205798436366223
121,-2.0345927805029946,0.1395667714270874
123,-2.219734868275988,1.5942748875231303
124,-1.4835866017786552,1.9634189307187264
125,-2.1075329909271705,1.6714490578269436
127,-2.306255437581065,1.5531181917546315
128,-2.1474136968943682,1.6745684293417789
129,-2.3827243214618505,1.7755840151652926
130,-2.3706975247715287,1.4111955705559756
131,-2.347656502470212,1.3559990560900717
132,-2.1653390885379538,1.7588820794170898
133,-1.53340835949683,1.424924856601767
134,-2.2617295884178223,1.7560244762902002
135,-2.2786310836855805,1.6993732825478691
136,-2.1787030044610645,0.9773863196350099
137,-2.103939839897428,1.3299471123780435
139,-2.3609079784379783,1.2803102776178106
140,-2.2380121598048532,1.638033861524069
141,-2.1025885770899553,1.7978312553589357
142,-2.289943566618649,1.7250115831468524
143,-1.937417222176746,1.1446672819065105
144,-2.37595736761841,1.7002093389055726
146,-2.2636637993444375,1.2949467192494024
147,-2.086802710973678,1.8065841306681374
148,-2.2246270204386605,1.642487467673653
149,-2.3023837297311482,1.7088646317855163
150,-2.377692638390968,1.6813725852661903
151,-2.045799787162561,1.7060755137161219
152,-2.303992702684164,1.473571742902543
153,-1.2870853345499076,0.9891188432177875
154,-2.3198682621296522,1.7979803095841453
155,-2.4171789569339146,1.0388024328735288
157,-1.9785276418977522,1.8547357373419653
159,-2.4899049196122838,1.439433637385032
160,-2.2812840923241637,1.6985445256612244
161,-2.0272562436614927,-0.2545421733960921
162,-1.7803433514428575,0.597216113936868
164,-2.039522077819492,1.8166208803002168
165,-2.3348785219783386,1.64129728877264
166,-2.0725289733148027,2.0205776345578608
169,-2.0258937656038527,1.8756109220150974
170,-2.1579155780292534,1.0238680486260834
172,-1.9676112815141842,1.8253642001746169
173,-2.4961837719855455,1.4690694398147142
175,-2.1315028332933785,1.6943861955907917
176,-1.8965968470334713,0.5760232190219727
179,-2.313287422100633,1.5446160964260036
181,1.5043702165015596,0.73910311289606
182,1.5440905323655159,1.873674579493341
183,1.2895807446218688,2.398878553355823
184,1.484963159716601,1.7747916343091106
185,1.5274155432100243,2.1212028705495767
186,1.491913760234914,1.7013278917679777
188,2.164341950769909,1.388395332190245
