,Dataset,Datatype,Train Set,Train Sparsity,Evaluation Set,Evaluation Sparsity,Embedding Method,Prediction Method,Task,Accuracy,RMSE
0,Synthetic_60_50,Original,Train,0,Train,0,PCA,LR,Fit,0.9848333333333333,0.17295024920500726
1,Synthetic_60_50,Original,Train,0,Train,0,PCA,LR,Impute,,
2,Synthetic_60_50,Original,Train,0,Train,0,PCA,LR,Overall,0.9848333333333333,0.17295024920500726
3,Synthetic_60_50,Original,Train,0,Test,20,PCA,LR,Fit,0.9608333333333333,0.17372355563277148
4,Synthetic_60_50,Original,Train,0,Test,20,PCA,LR,Impute,0.9583333333333334,0.17922225185968776
5,Synthetic_60_50,Original,Train,0,Test,20,PCA,LR,Overall,0.9603333333333334,0.17482329487815476
6,Synthetic_60_50,Original,Train,0,Test,30,PCA,LR,Fit,0.9395238095238095,0.18538182947164644
7,Synthetic_60_50,Original,Train,0,Test,30,PCA,LR,Impute,0.9266666666666666,0.1982659858519303
8,Synthetic_60_50,Original,Train,0,Test,30,PCA,LR,Overall,0.9356666666666666,0.18924707638573157
9,Synthetic_60_50,Original,Train,0,Test,40,PCA,LR,Fit,0.9133333333333333,0.21373973821599374
10,Synthetic_60_50,Original,Train,0,Test,40,PCA,LR,Impute,0.8925,0.21914054638861294
11,Synthetic_60_50,Original,Train,0,Test,40,PCA,LR,Overall,0.9049999999999999,0.21590006148504143
12,Synthetic_60_50,Original,Train,0,Test,80,PCA,LR,Fit,0.7783333333333333,0.3440162287301654
13,Synthetic_60_50,Original,Train,0,Test,80,PCA,LR,Impute,0.76,0.3677030597883891
14,Synthetic_60_50,Original,Train,0,Test,80,PCA,LR,Overall,0.7636666666666667,0.36296569357674435
15,Synthetic_60_50,Original,Train,0,Test,90,PCA,LR,Fit,0.71,0.412845662445472
16,Synthetic_60_50,Original,Train,0,Test,90,PCA,LR,Impute,0.7325925925925926,0.39147472570984754
17,Synthetic_60_50,Original,Train,0,Test,90,PCA,LR,Overall,0.7303333333333333,0.39361181938341
18,Synthetic_60_50,Original,Train,0,Test,50,PCA,LR,Fit,0.872,0.24633807882563014
19,Synthetic_60_50,Original,Train,0,Test,50,PCA,LR,Impute,0.8653333333333333,0.24933660475072883
20,Synthetic_60_50,Original,Train,0,Test,50,PCA,LR,Overall,0.8686666666666667,0.24783734178817948
21,Synthetic_60_50,Original,Train,0,Test,60,PCA,LR,Fit,0.8525,0.27817263821608096
22,Synthetic_60_50,Original,Train,0,Test,60,PCA,LR,Impute,0.8244444444444444,0.29098940255394695
23,Synthetic_60_50,Original,Train,0,Test,60,PCA,LR,Overall,0.8356666666666667,0.28586269681880055
24,Synthetic_60_50,Original,Train,0,Test,0,PCA,LR,Fit,0.979,0.16935324852763692
25,Synthetic_60_50,Original,Train,0,Test,0,PCA,LR,Impute,,
26,Synthetic_60_50,Original,Train,0,Test,0,PCA,LR,Overall,0.979,0.16935324852763692
27,Synthetic_60_50,Original,Train,0,Test,70,PCA,LR,Fit,0.81,0.3198979559804135
28,Synthetic_60_50,Original,Train,0,Test,70,PCA,LR,Impute,0.7966666666666666,0.3241922875403586
29,Synthetic_60_50,Original,Train,0,Test,70,PCA,LR,Overall,0.8006666666666666,0.3229039880723751
30,Synthetic_60_50,Original,Train,0,Test,10,PCA,LR,Fit,0.9733333333333334,0.16840161334749154
31,Synthetic_60_50,Original,Train,0,Test,10,PCA,LR,Impute,0.97,0.16823658274575617
32,Synthetic_60_50,Original,Train,0,Test,10,PCA,LR,Overall,0.9730000000000001,0.168385110287318
33,Synthetic_60_50,Original,Train,10,Train,10,PCA,LR,Fit,0.9806481481481482,0.17020645864100753
34,Synthetic_60_50,Original,Train,10,Train,10,PCA,LR,Impute,0.9725,0.16810010428051683
35,Synthetic_60_50,Original,Train,10,Train,10,PCA,LR,Overall,0.9798333333333333,0.16999582320495848
36,Synthetic_60_50,Original,Train,10,Test,10,PCA,LR,Fit,0.9729629629629629,0.16705389013976443
37,Synthetic_60_50,Original,Train,10,Test,10,PCA,LR,Impute,0.98,0.16497296000442566
38,Synthetic_60_50,Original,Train,10,Test,10,PCA,LR,Overall,0.9736666666666666,0.16684579712623054
39,Synthetic_60_50,Original,Train,20,Train,20,PCA,LR,Fit,0.9744791666666667,0.166010603010411
40,Synthetic_60_50,Original,Train,20,Train,20,PCA,LR,Impute,0.9683333333333334,0.16837790581906914
41,Synthetic_60_50,Original,Train,20,Train,20,PCA,LR,Overall,0.9732500000000001,0.16648406357214265
42,Synthetic_60_50,Original,Train,20,Test,20,PCA,LR,Fit,0.9704166666666667,0.16371043201770138
43,Synthetic_60_50,Original,Train,20,Test,20,PCA,LR,Impute,0.96,0.1648642441593363
44,Synthetic_60_50,Original,Train,20,Test,20,PCA,LR,Overall,0.9683333333333335,0.1639411944460284
45,Synthetic_60_50,Original,Train,30,Train,30,PCA,LR,Fit,0.9721428571428572,0.1598918597056272
46,Synthetic_60_50,Original,Train,30,Train,30,PCA,LR,Impute,0.9644444444444444,0.16476524935487025
47,Synthetic_60_50,Original,Train,30,Train,30,PCA,LR,Overall,0.9698333333333333,0.1613538766004001
