,Dataset,Datatype,Train Set,Train Sparsity,Evaluation Set,Evaluation Sparsity,Embedding Method,Prediction Method,Task,Accuracy,RMSE
0,Synthetic_60_50,Original,Train,60,Train,60,PCA,Matrix Factorization,Fit,0.8820833333333333,0.22958081225502985
1,Synthetic_60_50,Original,Train,60,Train,60,PCA,Matrix Factorization,Impute,0.8684722222222222,0.2458128240971789
2,Synthetic_60_50,Original,Train,60,Train,60,PCA,Matrix Factorization,Overall,0.8739166666666667,0.23932001936031927
3,Synthetic_60_50,Original,Train,60,Test,60,PCA,Matrix Factorization,Fit,0.8758333333333334,0.2398401097666757
4,Synthetic_60_50,Original,Train,60,Test,60,PCA,Matrix Factorization,Impute,0.8611111111111112,0.2508931330950819
5,Synthetic_60_50,Original,Train,60,Test,60,PCA,Matrix Factorization,Overall,0.8670000000000001,0.2464719237637194
6,Synthetic_60_50,Original,Train,70,Train,70,PCA,Matrix Factorization,Fit,0.8552777777777778,0.25262506540967167
7,Synthetic_60_50,Original,Train,70,Train,70,PCA,Matrix Factorization,Impute,0.8228571428571428,0.27111807311391495
8,Synthetic_60_50,Original,Train,70,Train,70,PCA,Matrix Factorization,Overall,0.8325833333333333,0.26557017080264195
9,Synthetic_60_50,Original,Train,70,Test,70,PCA,Matrix Factorization,Fit,0.8244444444444444,0.2705823616458827
10,Synthetic_60_50,Original,Train,70,Test,70,PCA,Matrix Factorization,Impute,0.820952380952381,0.27695750682134956
11,Synthetic_60_50,Original,Train,70,Test,70,PCA,Matrix Factorization,Overall,0.8220000000000001,0.27504496326870953
12,Synthetic_60_50,Original,Train,10,Train,10,PCA,Matrix Factorization,Fit,0.9611111111111111,0.1414553905463691
13,Synthetic_60_50,Original,Train,10,Train,10,PCA,Matrix Factorization,Impute,0.9575,0.15561204366513634
14,Synthetic_60_50,Original,Train,10,Train,10,PCA,Matrix Factorization,Overall,0.96075,0.14287105585824583
15,Synthetic_60_50,Original,Train,10,Test,10,PCA,Matrix Factorization,Fit,0.955925925925926,0.1456341722570319
16,Synthetic_60_50,Original,Train,10,Test,10,PCA,Matrix Factorization,Impute,0.9566666666666667,0.14590096457794116
17,Synthetic_60_50,Original,Train,10,Test,10,PCA,Matrix Factorization,Overall,0.9560000000000001,0.14566085148912283
