,Dataset,Datatype,Train Set,Train Sparsity,Evaluation Set,Evaluation Sparsity,Embedding Method,Prediction Method,Task,Accuracy,RMSE
0,Smartvote,Binary,Train,0,Train,0,TSNE,LR,Fit,0.8133251130291821,0.36628035007006543
1,Smartvote,Binary,Train,0,Train,0,TSNE,LR,Impute,,
2,Smartvote,Binary,Train,0,Train,0,TSNE,LR,Overall,0.8133251130291821,0.36628035007006543
3,Smartvote,Binary,Train,0,Test,20,TSNE,LR,Fit,0.8167816091954023,0.36331229416886107
4,Smartvote,Binary,Train,0,Test,20,TSNE,LR,Impute,0.8016091954022988,0.36778148782584696
5,Smartvote,Binary,Train,0,Test,20,TSNE,LR,Overall,0.8137471264367817,0.3642061329002583
6,Smartvote,Binary,Train,0,Test,30,TSNE,LR,Fit,0.8117111255692908,0.36561472530699185
7,Smartvote,Binary,Train,0,Test,30,TSNE,LR,Impute,0.8036050156739811,0.3702603019443005
8,Smartvote,Binary,Train,0,Test,30,TSNE,LR,Overall,0.8093333333333332,0.36697742778726905
9,Smartvote,Binary,Train,0,Test,40,TSNE,LR,Fit,0.8146360153256705,0.3648804957931665
10,Smartvote,Binary,Train,0,Test,40,TSNE,LR,Impute,0.7985057471264367,0.3774517859626794
11,Smartvote,Binary,Train,0,Test,40,TSNE,LR,Overall,0.808183908045977,0.3699090118609717
12,Smartvote,Binary,Train,0,Test,80,TSNE,LR,Fit,0.7616091954022989,0.404223395070251
13,Smartvote,Binary,Train,0,Test,80,TSNE,LR,Impute,0.7310919540229885,0.42614564358234314
14,Smartvote,Binary,Train,0,Test,80,TSNE,LR,Overall,0.7371954022988506,0.4217611938799247
15,Smartvote,Binary,Train,0,Test,90,TSNE,LR,Fit,0.7492610837438424,0.4220642326752588
16,Smartvote,Binary,Train,0,Test,90,TSNE,LR,Impute,0.7120689655172414,0.4430044893711862
17,Smartvote,Binary,Train,0,Test,90,TSNE,LR,Overall,0.7155402298850575,0.44105006541289965
18,Smartvote,Binary,Train,0,Test,50,TSNE,LR,Fit,0.8079217148182666,0.3704215884740081
19,Smartvote,Binary,Train,0,Test,50,TSNE,LR,Impute,0.7823049001814882,0.3849982461143966
20,Smartvote,Binary,Train,0,Test,50,TSNE,LR,Overall,0.7949425287356322,0.3778070950118049
21,Smartvote,Binary,Train,0,Test,60,TSNE,LR,Fit,0.7958620689655173,0.3791800402675181
22,Smartvote,Binary,Train,0,Test,60,TSNE,LR,Impute,0.7793103448275862,0.3916423379861803
23,Smartvote,Binary,Train,0,Test,60,TSNE,LR,Overall,0.7859310344827586,0.3866574188987154
24,Smartvote,Binary,Train,0,Test,0,TSNE,LR,Fit,0.8152183908045977,0.3631385883921227
25,Smartvote,Binary,Train,0,Test,0,TSNE,LR,Impute,,
26,Smartvote,Binary,Train,0,Test,0,TSNE,LR,Overall,0.8152183908045977,0.3631385883921227
27,Smartvote,Binary,Train,0,Test,70,TSNE,LR,Fit,0.7790104947526237,0.39410202943577566
28,Smartvote,Binary,Train,0,Test,70,TSNE,LR,Impute,0.7559681697612732,0.40717472464857585
29,Smartvote,Binary,Train,0,Test,70,TSNE,LR,Overall,0.7630344827586207,0.4031657647833171
