,Dataset,Datatype,Train Set,Train Sparsity,Evaluation Set,Evaluation Sparsity,Embedding Method,Prediction Method,Task,Accuracy,RMSE
0,Smartvote,Original,Train,0,Train,0,TSNE,LR,Fit,0.8234771886559803,0.27551672541840355
1,Smartvote,Original,Train,0,Train,0,TSNE,LR,Impute,,
2,Smartvote,Original,Train,0,Train,0,TSNE,LR,Overall,0.8234771886559803,0.27551672541840355
3,Smartvote,Original,Train,0,Test,20,TSNE,LR,Fit,0.8227011494252874,0.2752448315253728
4,Smartvote,Original,Train,0,Test,20,TSNE,LR,Impute,0.8085057471264367,0.2813925487873759
5,Smartvote,Original,Train,0,Test,20,TSNE,LR,Overall,0.8198620689655173,0.27647437497777344
6,Smartvote,Original,Train,0,Test,30,TSNE,LR,Fit,0.8169811320754717,0.27961986973295655
7,Smartvote,Original,Train,0,Test,30,TSNE,LR,Impute,0.8152037617554859,0.2808635225254141
8,Smartvote,Original,Train,0,Test,30,TSNE,LR,Overall,0.8164597701149425,0.27998467455207743
9,Smartvote,Original,Train,0,Test,40,TSNE,LR,Fit,0.8084291187739463,0.28161796053792676
10,Smartvote,Original,Train,0,Test,40,TSNE,LR,Impute,0.8066666666666666,0.29062942944769626
11,Smartvote,Original,Train,0,Test,40,TSNE,LR,Overall,0.8077241379310345,0.28522254810183456
12,Smartvote,Original,Train,0,Test,80,TSNE,LR,Fit,0.7282758620689656,0.348162731801972
13,Smartvote,Original,Train,0,Test,80,TSNE,LR,Impute,0.7126436781609196,0.3627327545160619
14,Smartvote,Original,Train,0,Test,80,TSNE,LR,Overall,0.7157701149425287,0.3598187499732439
15,Smartvote,Original,Train,0,Test,90,TSNE,LR,Fit,0.6980295566502464,0.37508128665914414
16,Smartvote,Original,Train,0,Test,90,TSNE,LR,Impute,0.6842292089249493,0.3812389538438586
17,Smartvote,Original,Train,0,Test,90,TSNE,LR,Overall,0.6855172413793104,0.38066423823995194
18,Smartvote,Original,Train,0,Test,50,TSNE,LR,Fit,0.8040074557315937,0.2883606831784698
19,Smartvote,Original,Train,0,Test,50,TSNE,LR,Impute,0.7868421052631579,0.300702789085953
20,Smartvote,Original,Train,0,Test,50,TSNE,LR,Overall,0.7953103448275862,0.2946140168382613
