,Dataset,Datatype,Train Set,Train Sparsity,Evaluation Set,Evaluation Sparsity,Embedding Method,Prediction Method,Task,Accuracy,RMSE
0,Synthetic_60_50,Binary,Train,0,Train,0,TSNE,LR,Fit,0.97175,0.14289866573724344
1,Synthetic_60_50,Binary,Train,0,Train,0,TSNE,LR,Impute,,
2,Synthetic_60_50,Binary,Train,0,Train,0,TSNE,LR,Overall,0.97175,0.14289866573724344
3,Synthetic_60_50,Binary,Train,0,Test,20,TSNE,LR,Fit,0.965,0.1596937904151025
4,Synthetic_60_50,Binary,Train,0,Test,20,TSNE,LR,Impute,0.9633333333333334,0.17167891208548713
5,Synthetic_60_50,Binary,Train,0,Test,20,TSNE,LR,Overall,0.9646666666666667,0.16209081474917944
6,Synthetic_60_50,Binary,Train,0,Test,30,TSNE,LR,Fit,0.9614285714285714,0.16629863209643475
7,Synthetic_60_50,Binary,Train,0,Test,30,TSNE,LR,Impute,0.9488888888888889,0.1888100687286386
8,Synthetic_60_50,Binary,Train,0,Test,30,TSNE,LR,Overall,0.9576666666666667,0.1730520630860959
9,Synthetic_60_50,Binary,Train,0,Test,40,TSNE,LR,Fit,0.9588888888888889,0.16745743640040814
10,Synthetic_60_50,Binary,Train,0,Test,40,TSNE,LR,Impute,0.9391666666666667,0.20890942673886395
11,Synthetic_60_50,Binary,Train,0,Test,40,TSNE,LR,Overall,0.9510000000000001,0.18403823253579046
12,Synthetic_60_50,Binary,Train,0,Test,80,TSNE,LR,Fit,0.89,0.3143941955195388
13,Synthetic_60_50,Binary,Train,0,Test,80,TSNE,LR,Impute,0.7925,0.4187546253929055
14,Synthetic_60_50,Binary,Train,0,Test,80,TSNE,LR,Overall,0.8119999999999999,0.39788253941823215
15,Synthetic_60_50,Binary,Train,0,Test,90,TSNE,LR,Fit,0.8233333333333334,0.4105242530787703
16,Synthetic_60_50,Binary,Train,0,Test,90,TSNE,LR,Impute,0.7351851851851852,0.4761004627250602
17,Synthetic_60_50,Binary,Train,0,Test,90,TSNE,LR,Overall,0.744,0.46954284176043115
18,Synthetic_60_50,Binary,Train,0,Test,50,TSNE,LR,Fit,0.9606666666666667,0.17470300847649065
19,Synthetic_60_50,Binary,Train,0,Test,50,TSNE,LR,Impute,0.92,0.2443862470548135
20,Synthetic_60_50,Binary,Train,0,Test,50,TSNE,LR,Overall,0.9403333333333334,0.20954462776565208
21,Synthetic_60_50,Binary,Train,0,Test,60,TSNE,LR,Fit,0.9575,0.18054049773022937
22,Synthetic_60_50,Binary,Train,0,Test,60,TSNE,LR,Impute,0.91,0.2655517526854614
23,Synthetic_60_50,Binary,Train,0,Test,60,TSNE,LR,Overall,0.929,0.23154725070336857
24,Synthetic_60_50,Binary,Train,0,Test,0,TSNE,LR,Fit,0.966,0.15888852719477953
25,Synthetic_60_50,Binary,Train,0,Test,0,TSNE,LR,Impute,,
26,Synthetic_60_50,Binary,Train,0,Test,0,TSNE,LR,Overall,0.966,0.15888852719477953
27,Synthetic_60_50,Binary,Train,0,Test,70,TSNE,LR,Fit,0.9344444444444444,0.23753575670069216
28,Synthetic_60_50,Binary,Train,0,Test,70,TSNE,LR,Impute,0.8609523809523809,0.33949040881620196
29,Synthetic_60_50,Binary,Train,0,Test,70,TSNE,LR,Overall,0.883,0.30890401318154903
30,Synthetic_60_50,Binary,Train,0,Test,10,TSNE,LR,Fit,0.9633333333333334,0.16159533906341708
31,Synthetic_60_50,Binary,Train,0,Test,10,TSNE,LR,Impute,0.97,0.1582743311719155
32,Synthetic_60_50,Binary,Train,0,Test,10,TSNE,LR,Overall,0.9640000000000001,0.16126323827426692
33,Synthetic_60_50,Binary,Train,10,Train,10,TSNE,LR,Fit,0.9825,0.11807141372476264
34,Synthetic_60_50,Binary,Train,10,Train,10,TSNE,LR,Impute,0.9575,0.16517723842586382
35,Synthetic_60_50,Binary,Train,10,Train,10,TSNE,LR,Overall,0.9800000000000001,0.12278199619487276
36,Synthetic_60_50,Binary,Train,10,Test,10,TSNE,LR,Fit,0.9748148148148148,0.14191061154330964
37,Synthetic_60_50,Binary,Train,10,Test,10,TSNE,LR,Impute,0.9733333333333334,0.14583478086661283
38,Synthetic_60_50,Binary,Train,10,Test,10,TSNE,LR,Overall,0.9746666666666667,0.14230302847563994
39,Synthetic_60_50,Binary,Train,20,Train,20,TSNE,LR,Fit,0.9852083333333334,0.11640382562862758
40,Synthetic_60_50,Binary,Train,20,Train,20,TSNE,LR,Impute,0.9616666666666667,0.17294476643649911
41,Synthetic_60_50,Binary,Train,20,Train,20,TSNE,LR,Overall,0.9805,0.1277120137902019
42,Synthetic_60_50,Binary,Train,20,Test,20,TSNE,LR,Fit,0.9758333333333333,0.14072191164767905
43,Synthetic_60_50,Binary,Train,20,Test,20,TSNE,LR,Impute,0.9616666666666667,0.1690716538604519
44,Synthetic_60_50,Binary,Train,20,Test,20,TSNE,LR,Overall,0.9730000000000001,0.14639186009023364
45,Synthetic_60_50,Binary,Train,30,Train,30,TSNE,LR,Fit,0.9772619047619048,0.13296753744807308
46,Synthetic_60_50,Binary,Train,30,Train,30,TSNE,LR,Impute,0.9541666666666667,0.18104424527958937
47,Synthetic_60_50,Binary,Train,30,Train,30,TSNE,LR,Overall,0.9703333333333333,0.14739054979752797
48,Synthetic_60_50,Binary,Train,30,Test,30,TSNE,LR,Fit,0.9685714285714285,0.15129988185091212
49,Synthetic_60_50,Binary,Train,30,Test,30,TSNE,LR,Impute,0.9555555555555556,0.1784791783324983
50,Synthetic_60_50,Binary,Train,30,Test,30,TSNE,LR,Overall,0.9646666666666666,0.15945367079538797
51,Synthetic_60_50,Binary,Train,40,Train,40,TSNE,LR,Fit,0.9772222222222222,0.13272491588212895
52,Synthetic_60_50,Binary,Train,40,Train,40,TSNE,LR,Impute,0.9475,0.19677742341166826
53,Synthetic_60_50,Binary,Train,40,Train,40,TSNE,LR,Overall,0.9653333333333333,0.15834591889394467
54,Synthetic_60_50,Binary,Train,40,Test,40,TSNE,LR,Fit,0.9594444444444444,0.17409951195549
55,Synthetic_60_50,Binary,Train,40,Test,40,TSNE,LR,Impute,0.9275,0.2374752174885451
56,Synthetic_60_50,Binary,Train,40,Test,40,TSNE,LR,Overall,0.9466666666666667,0.19944979416871206
57,Synthetic_60_50,Binary,Train,50,Train,50,TSNE,LR,Fit,0.9436666666666667,0.1995566215218524
58,Synthetic_60_50,Binary,Train,50,Train,50,TSNE,LR,Impute,0.9205,0.2367399814008607
59,Synthetic_60_50,Binary,Train,50,Train,50,TSNE,LR,Overall,0.9320833333333334,0.21814830146135655
60,Synthetic_60_50,Binary,Train,50,Test,50,TSNE,LR,Fit,0.9313333333333333,0.21761672138727853
61,Synthetic_60_50,Binary,Train,50,Test,50,TSNE,LR,Impute,0.9193333333333333,0.24158109763493607
62,Synthetic_60_50,Binary,Train,50,Test,50,TSNE,LR,Overall,0.9253333333333333,0.22959890951110729
63,Synthetic_60_50,Binary,Train,60,Train,60,TSNE,LR,Fit,0.9670833333333333,0.160575262254415
64,Synthetic_60_50,Binary,Train,60,Train,60,TSNE,LR,Impute,0.9256944444444445,0.23273284325747834
65,Synthetic_60_50,Binary,Train,60,Train,60,TSNE,LR,Overall,0.94225,0.203869810856253
66,Synthetic_60_50,Binary,Train,60,Test,60,TSNE,LR,Fit,0.9533333333333334,0.19895018366736783
67,Synthetic_60_50,Binary,Train,60,Test,60,TSNE,LR,Impute,0.9155555555555556,0.2571625384572422
68,Synthetic_60_50,Binary,Train,60,Test,60,TSNE,LR,Overall,0.9306666666666668,0.23387759654129242
69,Synthetic_60_50,Binary,Train,70,Train,70,TSNE,LR,Fit,0.9588888888888889,0.18316553518407155
70,Synthetic_60_50,Binary,Train,70,Train,70,TSNE,LR,Impute,0.8920238095238096,0.2820680573650958
71,Synthetic_60_50,Binary,Train,70,Train,70,TSNE,LR,Overall,0.9120833333333334,0.25239730071078853
72,Synthetic_60_50,Binary,Train,70,Test,70,TSNE,LR,Fit,0.9211111111111111,0.2461331201225712
73,Synthetic_60_50,Binary,Train,70,Test,70,TSNE,LR,Impute,0.8723809523809524,0.3144134075876073
74,Synthetic_60_50,Binary,Train,70,Test,70,TSNE,LR,Overall,0.887,0.29392932134809646
75,Synthetic_60_50,Binary,Train,80,Train,80,TSNE,LR,Fit,0.9441666666666667,0.2091100083420406
76,Synthetic_60_50,Binary,Train,80,Train,80,TSNE,LR,Impute,0.8704166666666666,0.310506135153148
77,Synthetic_60_50,Binary,Train,80,Train,80,TSNE,LR,Overall,0.8851666666666667,0.2902269097909265
78,Synthetic_60_50,Binary,Train,80,Test,80,TSNE,LR,Fit,0.885,0.3026062596641456
79,Synthetic_60_50,Binary,Train,80,Test,80,TSNE,LR,Impute,0.8191666666666666,0.3686084948242193
80,Synthetic_60_50,Binary,Train,80,Test,80,TSNE,LR,Overall,0.8323333333333333,0.35540804779220453
81,Synthetic_60_50,Binary,Train,90,Train,90,TSNE,LR,Fit,0.92,0.25689670255114333
82,Synthetic_60_50,Binary,Train,90,Train,90,TSNE,LR,Impute,0.7203703703703703,0.4732474891079618
83,Synthetic_60_50,Binary,Train,90,Train,90,TSNE,LR,Overall,0.7403333333333333,0.45161241045227996
84,Synthetic_60_50,Binary,Train,90,Test,90,TSNE,LR,Fit,0.7766666666666666,0.4062440824860004
85,Synthetic_60_50,Binary,Train,90,Test,90,TSNE,LR,Impute,0.7188888888888889,0.47721010105855755
86,Synthetic_60_50,Binary,Train,90,Test,90,TSNE,LR,Overall,0.7246666666666667,0.47011349920130185
