,Dataset,Datatype,Train Set,Train Sparsity,Evaluation Set,Evaluation Sparsity,Embedding Method,Prediction Method,Task,Accuracy,RMSE
0,Synthetic_60_50,Original,Train,0,Train,0,TSNE,LR,Fit,0.9689166666666666,0.19397120883248178
1,Synthetic_60_50,Original,Train,0,Train,0,TSNE,LR,Impute,,
2,Synthetic_60_50,Original,Train,0,Train,0,TSNE,LR,Overall,0.9689166666666666,0.19397120883248178
3,Synthetic_60_50,Original,Train,0,Test,20,TSNE,LR,Fit,0.9558333333333333,0.19446167071232584
4,Synthetic_60_50,Original,Train,0,Test,20,TSNE,LR,Impute,0.9383333333333334,0.20116391490359756
5,Synthetic_60_50,Original,Train,0,Test,20,TSNE,LR,Overall,0.9523333333333334,0.1958021195505802
6,Synthetic_60_50,Original,Train,0,Test,30,TSNE,LR,Fit,0.9461904761904762,0.19959932446548095
7,Synthetic_60_50,Original,Train,0,Test,30,TSNE,LR,Impute,0.9344444444444444,0.2057063382412832
8,Synthetic_60_50,Original,Train,0,Test,30,TSNE,LR,Overall,0.9426666666666667,0.2014314285982216
9,Synthetic_60_50,Original,Train,0,Test,40,TSNE,LR,Fit,0.9411111111111111,0.20446007463225552
10,Synthetic_60_50,Original,Train,0,Test,40,TSNE,LR,Impute,0.9275,0.21987572018099177
11,Synthetic_60_50,Original,Train,0,Test,40,TSNE,LR,Overall,0.9356666666666666,0.21062633285175003
12,Synthetic_60_50,Original,Train,0,Test,80,TSNE,LR,Fit,0.7816666666666667,0.36308566476374293
13,Synthetic_60_50,Original,Train,0,Test,80,TSNE,LR,Impute,0.7404166666666667,0.3961096990189605
14,Synthetic_60_50,Original,Train,0,Test,80,TSNE,LR,Overall,0.7486666666666667,0.389504892167917
15,Synthetic_60_50,Original,Train,0,Test,90,TSNE,LR,Fit,0.77,0.40122230351774046
16,Synthetic_60_50,Original,Train,0,Test,90,TSNE,LR,Impute,0.722962962962963,0.4063456598476022
17,Synthetic_60_50,Original,Train,0,Test,90,TSNE,LR,Overall,0.7276666666666667,0.405833324214616
18,Synthetic_60_50,Original,Train,0,Test,50,TSNE,LR,Fit,0.9106666666666666,0.23248675973029384
19,Synthetic_60_50,Original,Train,0,Test,50,TSNE,LR,Impute,0.8826666666666667,0.2591398537219295
20,Synthetic_60_50,Original,Train,0,Test,50,TSNE,LR,Overall,0.8966666666666667,0.24581330672611168
21,Synthetic_60_50,Original,Train,0,Test,60,TSNE,LR,Fit,0.8583333333333334,0.28424539514620994
22,Synthetic_60_50,Original,Train,0,Test,60,TSNE,LR,Impute,0.8372222222222222,0.31158334198521515
23,Synthetic_60_50,Original,Train,0,Test,60,TSNE,LR,Overall,0.8456666666666667,0.3006481632496131
24,Synthetic_60_50,Original,Train,0,Test,0,TSNE,LR,Fit,0.959,0.19254714342829257
25,Synthetic_60_50,Original,Train,0,Test,0,TSNE,LR,Impute,,
26,Synthetic_60_50,Original,Train,0,Test,0,TSNE,LR,Overall,0.959,0.19254714342829257
27,Synthetic_60_50,Original,Train,0,Test,70,TSNE,LR,Fit,0.8200000000000001,0.32733431453269435
28,Synthetic_60_50,Original,Train,0,Test,70,TSNE,LR,Impute,0.7861904761904762,0.35486169564316966
29,Synthetic_60_50,Original,Train,0,Test,70,TSNE,LR,Overall,0.7963333333333333,0.34660348131002705
30,Synthetic_60_50,Original,Train,0,Test,10,TSNE,LR,Fit,0.9577777777777777,0.19329349372230936
31,Synthetic_60_50,Original,Train,0,Test,10,TSNE,LR,Impute,0.98,0.18180499237114447
32,Synthetic_60_50,Original,Train,0,Test,10,TSNE,LR,Overall,0.96,0.19214464358719288
33,Synthetic_60_50,Original,Train,10,Train,10,TSNE,LR,Fit,0.9788888888888889,0.19900736823639767
34,Synthetic_60_50,Original,Train,10,Train,10,TSNE,LR,Impute,0.9708333333333333,0.1971891870069212
35,Synthetic_60_50,Original,Train,10,Train,10,TSNE,LR,Overall,0.9780833333333333,0.19882555011345002
36,Synthetic_60_50,Original,Train,10,Test,10,TSNE,LR,Fit,0.9707407407407408,0.19599417946362346
37,Synthetic_60_50,Original,Train,10,Test,10,TSNE,LR,Impute,0.9733333333333334,0.18893941665309716
38,Synthetic_60_50,Original,Train,10,Test,10,TSNE,LR,Overall,0.9710000000000001,0.19528870318257086
39,Synthetic_60_50,Original,Train,20,Train,20,TSNE,LR,Fit,0.9746875,0.19746824596772874
40,Synthetic_60_50,Original,Train,20,Train,20,TSNE,LR,Impute,0.9691666666666666,0.20016208066414942
41,Synthetic_60_50,Original,Train,20,Train,20,TSNE,LR,Overall,0.9735833333333334,0.1980070129070129
42,Synthetic_60_50,Original,Train,20,Test,20,TSNE,LR,Fit,0.9658333333333333,0.19848360388286443
43,Synthetic_60_50,Original,Train,20,Test,20,TSNE,LR,Impute,0.9516666666666667,0.1999924769155061
44,Synthetic_60_50,Original,Train,20,Test,20,TSNE,LR,Overall,0.9630000000000001,0.19878537848939276
