,Dataset,Datatype,Train Set,Train Sparsity,Evaluation Set,Evaluation Sparsity,Embedding Method,Prediction Method,Task,Accuracy,RMSE
0,Smartvote,Binary,Train,60,Train,60,VAE,2-Layer,Fit,0.8467118783394986,0.33065877896021645
1,Smartvote,Binary,Train,60,Train,60,VAE,2-Layer,Impute,0.8100698725852856,0.3623003201395744
2,Smartvote,Binary,Train,60,Train,60,VAE,2-Layer,Overall,0.8247266748869708,0.34964370366783126
3,Smartvote,Binary,Train,60,Test,60,VAE,2-Layer,Fit,0.8393103448275863,0.3344080449628306
4,Smartvote,Binary,Train,60,Test,60,VAE,2-Layer,Impute,0.8090421455938697,0.36208729398966516
5,Smartvote,Binary,Train,60,Test,60,VAE,2-Layer,Overall,0.8211494252873563,0.3510155943789314
6,Smartvote,Binary,Train,70,Train,70,VAE,2-Layer,Fit,0.8496756553905538,0.3281792735069026
7,Smartvote,Binary,Train,70,Train,70,VAE,2-Layer,Impute,0.8043607132694679,0.3670757230266587
8,Smartvote,Binary,Train,70,Train,70,VAE,2-Layer,Overall,0.8182572955199342,0.3551474785072668
9,Smartvote,Binary,Train,70,Test,70,VAE,2-Layer,Fit,0.8476761619190405,0.3334983370101851
10,Smartvote,Binary,Train,70,Test,70,VAE,2-Layer,Impute,0.8049734748010611,0.36552761919888865
11,Smartvote,Binary,Train,70,Test,70,VAE,2-Layer,Overall,0.8180689655172415,0.3557053059943529
12,Smartvote,Binary,Train,10,Train,10,VAE,2-Layer,Fit,0.8376336566243996,0.3376046434099078
13,Smartvote,Binary,Train,10,Train,10,VAE,2-Layer,Impute,0.8228267570900123,0.35037726850086937
14,Smartvote,Binary,Train,10,Train,10,VAE,2-Layer,Overall,0.8360542540073983,0.3389670567529437
15,Smartvote,Binary,Train,10,Test,10,VAE,2-Layer,Fit,0.8373134328358209,0.3376626150651518
16,Smartvote,Binary,Train,10,Test,10,VAE,2-Layer,Impute,0.8237068965517241,0.35019772066720295
17,Smartvote,Binary,Train,10,Test,10,VAE,2-Layer,Overall,0.8358620689655173,0.33899969299603727
18,Smartvote,Binary,Train,0,Train,0,VAE,2-Layer,Fit,0.8346239210850801,0.3403191634538468
19,Smartvote,Binary,Train,0,Train,0,VAE,2-Layer,Impute,,
20,Smartvote,Binary,Train,0,Train,0,VAE,2-Layer,Overall,0.8346239210850801,0.3403191634538468
21,Smartvote,Binary,Train,0,Test,20,VAE,2-Layer,Fit,0.8276436781609195,0.34628631397246945
22,Smartvote,Binary,Train,0,Test,20,VAE,2-Layer,Impute,0.8137931034482758,0.35659582321506056
23,Smartvote,Binary,Train,0,Test,20,VAE,2-Layer,Overall,0.8248735632183909,0.3483482158209877
24,Smartvote,Binary,Train,0,Test,30,VAE,2-Layer,Fit,0.8160702667534158,0.3543221425205373
25,Smartvote,Binary,Train,0,Test,30,VAE,2-Layer,Impute,0.8084639498432602,0.36146603985437625
26,Smartvote,Binary,Train,0,Test,30,VAE,2-Layer,Overall,0.8138390804597702,0.3564176857384634
27,Smartvote,Binary,Train,0,Test,40,VAE,2-Layer,Fit,0.8039080459770115,0.36409530724831196
28,Smartvote,Binary,Train,0,Test,40,VAE,2-Layer,Impute,0.7927586206896552,0.3753553703013628
29,Smartvote,Binary,Train,0,Test,40,VAE,2-Layer,Overall,0.799448275862069,0.3685993324695323
30,Smartvote,Binary,Train,0,Test,80,VAE,2-Layer,Fit,0.7312643678160919,0.4223278785475129
31,Smartvote,Binary,Train,0,Test,80,VAE,2-Layer,Impute,0.7103448275862069,0.43616782753576994
32,Smartvote,Binary,Train,0,Test,80,VAE,2-Layer,Overall,0.7145287356321839,0.4333998377381186
33,Smartvote,Binary,Train,0,Test,90,VAE,2-Layer,Fit,0.7044334975369457,0.4435839143791088
34,Smartvote,Binary,Train,0,Test,90,VAE,2-Layer,Impute,0.6933569979716024,0.4517280549076226
35,Smartvote,Binary,Train,0,Test,90,VAE,2-Layer,Overall,0.6943908045977011,0.4509679351249613
36,Smartvote,Binary,Train,0,Test,50,VAE,2-Layer,Fit,0.790121155638397,0.37580594420672614
37,Smartvote,Binary,Train,0,Test,50,VAE,2-Layer,Impute,0.774410163339383,0.38875489231231547
38,Smartvote,Binary,Train,0,Test,50,VAE,2-Layer,Overall,0.7821609195402299,0.38236674458022474
39,Smartvote,Binary,Train,0,Test,60,VAE,2-Layer,Fit,0.7689655172413793,0.39347430517661103
40,Smartvote,Binary,Train,0,Test,60,VAE,2-Layer,Impute,0.7593869731800766,0.4006938761360085
41,Smartvote,Binary,Train,0,Test,60,VAE,2-Layer,Overall,0.7632183908045977,0.3978060477522495
42,Smartvote,Binary,Train,0,Test,0,VAE,2-Layer,Fit,0.8365977011494252,0.3395424874472965
43,Smartvote,Binary,Train,0,Test,0,VAE,2-Layer,Impute,,
44,Smartvote,Binary,Train,0,Test,0,VAE,2-Layer,Overall,0.8365977011494252,0.3395424874472965
45,Smartvote,Binary,Train,0,Test,70,VAE,2-Layer,Fit,0.752023988005997,0.4092145425432087
46,Smartvote,Binary,Train,0,Test,70,VAE,2-Layer,Impute,0.7416445623342175,0.4159282211422646
47,Smartvote,Binary,Train,0,Test,70,VAE,2-Layer,Overall,0.7448275862068965,0.41386935970522076
48,Smartvote,Binary,Train,0,Test,10,VAE,2-Layer,Fit,0.833865156973752,0.3416062684052413
49,Smartvote,Binary,Train,0,Test,10,VAE,2-Layer,Impute,0.8116379310344828,0.35363325274613383
50,Smartvote,Binary,Train,0,Test,10,VAE,2-Layer,Overall,0.8314942528735632,0.3428891467349365
51,Smartvote,Binary,Train,20,Train,20,VAE,2-Layer,Fit,0.832203041512536,0.3423485009854938
52,Smartvote,Binary,Train,20,Train,20,VAE,2-Layer,Impute,0.8200575421290588,0.3535378279419936
53,Smartvote,Binary,Train,20,Train,20,VAE,2-Layer,Overall,0.8297739416358406,0.3445863663767938
54,Smartvote,Binary,Train,20,Test,20,VAE,2-Layer,Fit,0.8337931034482758,0.3413568471370287
55,Smartvote,Binary,Train,20,Test,20,VAE,2-Layer,Impute,0.8188505747126437,0.35250807271401846
56,Smartvote,Binary,Train,20,Test,20,VAE,2-Layer,Overall,0.8308045977011496,0.3435870922524266
57,Smartvote,Binary,Train,30,Train,30,VAE,2-Layer,Fit,0.8397971290975502,0.33584456920088196
58,Smartvote,Binary,Train,30,Train,30,VAE,2-Layer,Impute,0.8171449389081942,0.3555648022675265
59,Smartvote,Binary,Train,30,Train,30,VAE,2-Layer,Overall,0.8331524866420057,0.341629170900431
60,Smartvote,Binary,Train,30,Test,30,VAE,2-Layer,Fit,0.8368249837345478,0.3386366860899725
61,Smartvote,Binary,Train,30,Test,30,VAE,2-Layer,Impute,0.8197492163009404,0.35057112490747333
62,Smartvote,Binary,Train,30,Test,30,VAE,2-Layer,Overall,0.831816091954023,0.34213745480977276
63,Smartvote,Binary,Train,40,Train,40,VAE,2-Layer,Fit,0.8359364296478969,0.34053250999995094
64,Smartvote,Binary,Train,40,Train,40,VAE,2-Layer,Impute,0.8155980271270037,0.3560674342694657
65,Smartvote,Binary,Train,40,Train,40,VAE,2-Layer,Overall,0.8278010686395396,0.34674647970775685
66,Smartvote,Binary,Train,40,Test,40,VAE,2-Layer,Fit,0.8344061302681992,0.3405551438921291
67,Smartvote,Binary,Train,40,Test,40,VAE,2-Layer,Impute,0.8222988505747126,0.3540391991434281
68,Smartvote,Binary,Train,40,Test,40,VAE,2-Layer,Overall,0.8295632183908046,0.3459487659926487
69,Smartvote,Binary,Train,80,Train,80,VAE,2-Layer,Fit,0.8566789971228935,0.3215526541448811
70,Smartvote,Binary,Train,80,Train,80,VAE,2-Layer,Impute,0.7911528976572133,0.37956097604259714
71,Smartvote,Binary,Train,80,Train,80,VAE,2-Layer,Overall,0.8042581175503494,0.36795931166305396
72,Smartvote,Binary,Train,80,Test,80,VAE,2-Layer,Fit,0.8420689655172414,0.330192285119214
73,Smartvote,Binary,Train,80,Test,80,VAE,2-Layer,Impute,0.7878735632183909,0.3838743386743636
74,Smartvote,Binary,Train,80,Test,80,VAE,2-Layer,Overall,0.798712643678161,0.37313792796333367
75,Smartvote,Binary,Train,90,Train,90,VAE,2-Layer,Fit,0.8755504667958429,0.3028308139870879
76,Smartvote,Binary,Train,90,Train,90,VAE,2-Layer,Impute,0.7429734532530645,0.4253289510466777
77,Smartvote,Binary,Train,90,Train,90,VAE,2-Layer,Overall,0.7553473078503905,0.4138957915877826
78,Smartvote,Binary,Train,90,Test,90,VAE,2-Layer,Fit,0.8418719211822661,0.3327634956540008
79,Smartvote,Binary,Train,90,Test,90,VAE,2-Layer,Impute,0.7497464503042597,0.41983835355576915
80,Smartvote,Binary,Train,90,Test,90,VAE,2-Layer,Overall,0.7583448275862069,0.41171136681827075
81,Smartvote,Binary,Train,50,Train,50,VAE,2-Layer,Fit,0.8430032992301797,0.3331545537183129
82,Smartvote,Binary,Train,50,Train,50,VAE,2-Layer,Impute,0.8150593808813031,0.3568590882058296
83,Smartvote,Binary,Train,50,Train,50,VAE,2-Layer,Overall,0.8288450472667489,0.34516485119198803
84,Smartvote,Binary,Train,50,Test,50,VAE,2-Layer,Fit,0.8395153774464119,0.33446783128952307
85,Smartvote,Binary,Train,50,Test,50,VAE,2-Layer,Impute,0.8130671506352087,0.35740750238312763
86,Smartvote,Binary,Train,50,Test,50,VAE,2-Layer,Overall,0.8261149425287356,0.34609059797694935
