,x,y
0,-0.112970635,-0.80397624
1,0.61212933,0.96063805
2,-0.26393905,0.23092054
3,-0.20972277,-1.3670743
4,-0.31851617,-0.24280538
6,-0.4472993,0.16960296
7,-0.6670137,0.6863936
8,-0.548558,-0.5294604
10,-0.2533748,-1.0676978
11,-0.2815754,-1.2788434
13,0.43964484,-0.42345196
14,0.5867696,0.29470083
15,1.4329265,-0.05939008
17,-0.6293983,0.47051385
18,0.5007855,0.12945285
19,0.5138149,-0.11280515
20,0.6757031,-0.33133358
21,0.78375685,0.06267014
22,1.2339375,-0.1371415
23,0.8418053,1.1658733
24,1.3643072,0.16357315
25,-0.099833295,-1.3315831
28,-0.7971269,-0.04638175
29,-0.76400703,0.05224618
30,-1.3049228,-0.6906985
31,-0.1435993,-1.4283146
32,-0.24478558,-0.2246854
33,0.56045896,-0.010662549
34,-0.7934908,-1.2671671
35,0.56319046,0.18040074
36,-0.10420975,-1.6799791
39,-0.5782952,1.7806832
40,0.14278956,-1.0479839
41,-0.4539881,1.7851332
42,0.79755884,1.2648454
43,-0.10555935,-1.5196894
44,0.29659382,-1.3315285
46,1.2659155,-0.036439825
47,-0.08186725,-1.4611436
48,0.036308292,-1.1119528
49,-1.0439917,0.96431935
50,-0.32262707,-0.38631222
51,0.14840263,-1.0067981
53,-0.217295,-1.4056385
54,0.88242143,0.12841342
55,-1.2124611,0.013485194
56,0.079303294,-1.3690867
57,0.06321046,-1.1799142
58,0.28925604,-1.310262
59,-0.07510628,-1.404141
60,-0.13246495,0.7986982
61,-0.15031411,0.06741452
62,-1.1377834,0.16652988
63,0.01373883,-0.23646131
64,0.953537,0.07150868
65,-0.25857368,-1.3161007
66,0.071249604,-1.4753536
68,0.95708585,0.9515701
69,-0.60502976,1.7056404
70,1.6054409,0.88202167
72,0.04236981,-1.3780485
74,0.42701995,-1.0690033
75,0.08398375,-0.62489086
76,0.14072943,-1.7271743
79,0.14204371,0.372953
80,-0.08887103,-0.36269718
81,0.16457066,-1.2410754
82,-0.3321975,-0.35839376
83,0.2918053,-1.5245124
84,0.06799933,-1.1865715
85,0.37057257,-1.6008183
86,-0.31635293,-0.04733964
88,-0.056949258,0.015360353
89,0.7064865,0.33890635
92,-0.670175,-0.78437793
96,0.23277502,-1.2411093
99,-0.31186256,-0.16999282
100,1.1774157,0.57596296
101,0.65837544,0.31647232
102,0.75200117,-0.025680922
104,-0.334423,1.2437675
105,-0.03546811,-0.7865612
106,-0.69273514,0.071152546
108,-0.64971554,0.81594557
109,0.84680676,-0.06608199
110,-0.38284487,1.6534891
111,0.38795456,0.32088304
112,0.55479306,-1.0832
113,-0.8894238,-0.80730134
114,-0.2968499,-1.6466861
115,0.09165822,0.6025282
117,0.3172544,-1.533382
118,-0.18155485,-1.1868912
119,-1.0589533,1.0505891
120,0.7931379,1.4575182
121,-0.03195153,0.619089
123,0.68924,0.084985174
124,-0.09035641,-1.4502912
125,-0.0104131345,-1.3012689
127,-0.50527483,2.1889968
128,1.1784143,0.9511172
129,0.9263026,1.1567891
130,0.17689596,2.0553193
131,-0.8653224,0.032523345
132,-1.2926422,0.28256756
133,0.79507685,0.95192707
134,1.0327692,0.09223474
135,-0.31505695,1.2291362
136,-1.5754699,1.3753611
137,-0.99052477,1.0140653
139,1.4216446,0.06544902
140,1.1047724,0.04283726
141,-0.30891863,-1.2806828
142,-0.46555346,-1.2595452
143,-0.89149743,0.15170722
144,-0.22673592,-1.611356
146,1.200701,1.3456794
147,0.86899805,0.3960969
148,1.1214206,1.2972583
149,-0.64771265,-0.15238775
150,0.16147263,-0.019638658
151,1.682048,-0.17698438
152,0.062695414,-1.6007161
153,-0.058305494,-1.3371382
154,-0.4831616,-1.4504124
155,0.06948912,-1.623624
157,0.32361498,1.461171
159,-1.2084374,0.12580182
160,-0.41732213,0.07898248
161,1.0940663,0.39405158
162,0.23904105,-1.4872985
164,0.97525436,0.23032051
165,0.59194154,-0.76777357
166,-0.08324376,-0.9439996
169,-0.057489842,-1.5857478
170,0.033296343,-1.566378
172,-0.10496567,-1.4309257
173,-0.23564613,0.28498337
175,-0.030115126,0.25189456
176,0.2682913,0.0013992535
179,-0.3915032,-1.3379204
181,0.13881443,-1.6350774
182,0.39770463,0.3244639
