,Dataset,Datatype,Train Set,Train Sparsity,Evaluation Set,Evaluation Sparsity,Embedding Method,Prediction Method,Task,Accuracy,RMSE
0,Smartvote,Binary,Train,60,Train,60,VAE,Logistic,Fit,0.8458898479243732,0.33215204755278377
1,Smartvote,Binary,Train,60,Train,60,VAE,Logistic,Impute,0.8029593094944513,0.37165003888437764
2,Smartvote,Binary,Train,60,Train,60,VAE,Logistic,Overall,0.82013152486642,0.35585084235174014
3,Smartvote,Binary,Train,60,Test,60,VAE,Logistic,Fit,0.8406896551724138,0.33563443528625786
4,Smartvote,Binary,Train,60,Test,60,VAE,Logistic,Impute,0.8004597701149425,0.3736831221520272
5,Smartvote,Binary,Train,60,Test,60,VAE,Logistic,Overall,0.816551724137931,0.35846364740571945
6,Smartvote,Binary,Train,70,Train,70,VAE,Logistic,Fit,0.8487642738433496,0.33096484524058106
7,Smartvote,Binary,Train,70,Train,70,VAE,Logistic,Impute,0.8006971450251352,0.3766404495624588
8,Smartvote,Binary,Train,70,Train,70,VAE,Logistic,Overall,0.8154377311960543,0.3626332642370829
9,Smartvote,Binary,Train,70,Test,70,VAE,Logistic,Fit,0.8403298350824587,0.33868786351735786
10,Smartvote,Binary,Train,70,Test,70,VAE,Logistic,Impute,0.7987400530503979,0.3761405915144173
11,Smartvote,Binary,Train,70,Test,70,VAE,Logistic,Overall,0.8114942528735631,0.3646550882619857
12,Smartvote,Binary,Train,10,Train,10,VAE,Logistic,Fit,0.836087748679537,0.339795359407687
13,Smartvote,Binary,Train,10,Train,10,VAE,Logistic,Impute,0.8145807644882861,0.3581401984204853
14,Smartvote,Binary,Train,10,Train,10,VAE,Logistic,Overall,0.8337936703658035,0.3417521422357188
15,Smartvote,Binary,Train,10,Test,10,VAE,Logistic,Fit,0.8367472979927947,0.3390308448540843
16,Smartvote,Binary,Train,10,Test,10,VAE,Logistic,Impute,0.8185344827586207,0.3562552281804397
17,Smartvote,Binary,Train,10,Test,10,VAE,Logistic,Overall,0.8348045977011495,0.3408681124088956
18,Smartvote,Binary,Train,0,Train,0,VAE,Logistic,Fit,0.8348047677764077,0.3404466854565675
19,Smartvote,Binary,Train,0,Train,0,VAE,Logistic,Impute,,
20,Smartvote,Binary,Train,0,Train,0,VAE,Logistic,Overall,0.8348047677764077,0.3404466854565675
21,Smartvote,Binary,Train,0,Test,20,VAE,Logistic,Fit,0.8346551724137932,0.3417981096695621
22,Smartvote,Binary,Train,0,Test,20,VAE,Logistic,Impute,0.8147126436781609,0.3580870262591039
23,Smartvote,Binary,Train,0,Test,20,VAE,Logistic,Overall,0.8306666666666668,0.3450558929874704
24,Smartvote,Binary,Train,0,Test,30,VAE,Logistic,Fit,0.8281067013662979,0.34756528738942155
25,Smartvote,Binary,Train,0,Test,30,VAE,Logistic,Impute,0.812539184952978,0.3580750956572978
26,Smartvote,Binary,Train,0,Test,30,VAE,Logistic,Overall,0.8235402298850575,0.3506481644813319
27,Smartvote,Binary,Train,0,Test,40,VAE,Logistic,Fit,0.8176245210727969,0.35481702669829673
28,Smartvote,Binary,Train,0,Test,40,VAE,Logistic,Impute,0.7940229885057472,0.37411220511845766
29,Smartvote,Binary,Train,0,Test,40,VAE,Logistic,Overall,0.808183908045977,0.3625350980663611
30,Smartvote,Binary,Train,0,Test,80,VAE,Logistic,Fit,0.7390804597701149,0.41682031025793304
31,Smartvote,Binary,Train,0,Test,80,VAE,Logistic,Impute,0.7179885057471265,0.4345360344446433
32,Smartvote,Binary,Train,0,Test,80,VAE,Logistic,Overall,0.7222068965517241,0.43099288960730125
33,Smartvote,Binary,Train,0,Test,90,VAE,Logistic,Fit,0.7152709359605911,0.44135236234246195
34,Smartvote,Binary,Train,0,Test,90,VAE,Logistic,Impute,0.6990872210953347,0.45112030490634897
35,Smartvote,Binary,Train,0,Test,90,VAE,Logistic,Overall,0.7005977011494253,0.4502086302670528
36,Smartvote,Binary,Train,0,Test,50,VAE,Logistic,Fit,0.8038210624417521,0.36604947904063295
37,Smartvote,Binary,Train,0,Test,50,VAE,Logistic,Impute,0.7805807622504537,0.384406248429837
38,Smartvote,Binary,Train,0,Test,50,VAE,Logistic,Overall,0.7920459770114943,0.37535024219782964
39,Smartvote,Binary,Train,0,Test,60,VAE,Logistic,Fit,0.7836781609195402,0.38174429921830283
40,Smartvote,Binary,Train,0,Test,60,VAE,Logistic,Impute,0.7659003831417625,0.39640962440707345
41,Smartvote,Binary,Train,0,Test,60,VAE,Logistic,Overall,0.7730114942528736,0.3905434943315652
42,Smartvote,Binary,Train,0,Test,0,VAE,Logistic,Fit,0.836,0.33939930842363447
43,Smartvote,Binary,Train,0,Test,0,VAE,Logistic,Impute,,
44,Smartvote,Binary,Train,0,Test,0,VAE,Logistic,Overall,0.836,0.33939930842363447
45,Smartvote,Binary,Train,0,Test,70,VAE,Logistic,Fit,0.7623688155922039,0.40004659976640883
46,Smartvote,Binary,Train,0,Test,70,VAE,Logistic,Impute,0.7416445623342175,0.41296469251514634
47,Smartvote,Binary,Train,0,Test,70,VAE,Logistic,Overall,0.748,0.4090031440722002
48,Smartvote,Binary,Train,0,Test,10,VAE,Logistic,Fit,0.8362840967575913,0.3396345189281142
49,Smartvote,Binary,Train,0,Test,10,VAE,Logistic,Impute,0.8202586206896552,0.3548428763867503
50,Smartvote,Binary,Train,0,Test,10,VAE,Logistic,Overall,0.834574712643678,0.34125674372370207
51,Smartvote,Binary,Train,20,Train,20,VAE,Logistic,Fit,0.8371968762844225,0.33898028409084346
52,Smartvote,Binary,Train,20,Train,20,VAE,Logistic,Impute,0.8175092478421702,0.35747345738212666
53,Smartvote,Binary,Train,20,Train,20,VAE,Logistic,Overall,0.8332593505959721,0.3426789187491001
54,Smartvote,Binary,Train,20,Test,20,VAE,Logistic,Fit,0.8374712643678162,0.3389609054453767
55,Smartvote,Binary,Train,20,Test,20,VAE,Logistic,Impute,0.8197701149425287,0.3570923445681841
56,Smartvote,Binary,Train,20,Test,20,VAE,Logistic,Overall,0.8339310344827586,0.34258719326993825
57,Smartvote,Binary,Train,30,Train,30,VAE,Logistic,Fit,0.8390293837098388,0.3377910742769944
58,Smartvote,Binary,Train,30,Train,30,VAE,Logistic,Impute,0.8107835444456899,0.3638932570818799
59,Smartvote,Binary,Train,30,Train,30,VAE,Logistic,Overall,0.8307439375256884,0.3454477145664275
60,Smartvote,Binary,Train,30,Test,30,VAE,Logistic,Fit,0.8325309043591411,0.3423994768874093
61,Smartvote,Binary,Train,30,Test,30,VAE,Logistic,Impute,0.8172413793103448,0.35862728227423885
62,Smartvote,Binary,Train,30,Test,30,VAE,Logistic,Overall,0.8280459770114943,0.3471596331342126
63,Smartvote,Binary,Train,40,Train,40,VAE,Logistic,Fit,0.8377448965611728,0.33840119910838684
64,Smartvote,Binary,Train,40,Train,40,VAE,Logistic,Impute,0.8122482531853679,0.3614486662072215
65,Smartvote,Binary,Train,40,Train,40,VAE,Logistic,Overall,0.8275462392108508,0.3476201859479207
66,Smartvote,Binary,Train,40,Test,40,VAE,Logistic,Fit,0.8375478927203065,0.3383710753907837
67,Smartvote,Binary,Train,40,Test,40,VAE,Logistic,Impute,0.8163218390804597,0.35930986436373435
68,Smartvote,Binary,Train,40,Test,40,VAE,Logistic,Overall,0.8290574712643679,0.34674659097996396
69,Smartvote,Binary,Train,80,Train,80,VAE,Logistic,Fit,0.8569667077681874,0.3224810993058001
70,Smartvote,Binary,Train,80,Train,80,VAE,Logistic,Impute,0.7849157418824496,0.3902158852470542
71,Smartvote,Binary,Train,80,Train,80,VAE,Logistic,Overall,0.7993259350595971,0.37666892805880337
72,Smartvote,Binary,Train,80,Test,80,VAE,Logistic,Fit,0.8379310344827586,0.33519533000901186
73,Smartvote,Binary,Train,80,Test,80,VAE,Logistic,Impute,0.7801724137931034,0.39315094142958146
74,Smartvote,Binary,Train,80,Test,80,VAE,Logistic,Overall,0.7917241379310345,0.38155981914546755
75,Smartvote,Binary,Train,90,Train,90,VAE,Logistic,Fit,0.8679760436850449,0.30992065431254406
76,Smartvote,Binary,Train,90,Train,90,VAE,Logistic,Impute,0.7320664393994343,0.4370311892541014
77,Smartvote,Binary,Train,90,Train,90,VAE,Logistic,Overall,0.7447513357994245,0.4251675393262227
78,Smartvote,Binary,Train,90,Test,90,VAE,Logistic,Fit,0.8477832512315271,0.3292852910370706
79,Smartvote,Binary,Train,90,Test,90,VAE,Logistic,Impute,0.7400101419878296,0.43285710289041546
80,Smartvote,Binary,Train,90,Test,90,VAE,Logistic,Overall,0.7500689655172413,0.42319040045076994
81,Smartvote,Binary,Train,50,Train,50,VAE,Logistic,Fit,0.8400039990668844,0.3368927706570911
82,Smartvote,Binary,Train,50,Train,50,VAE,Logistic,Impute,0.8080991628269193,0.36562991539746836
83,Smartvote,Binary,Train,50,Train,50,VAE,Logistic,Overall,0.8238388820386353,0.3514529239922156
84,Smartvote,Binary,Train,50,Test,50,VAE,Logistic,Fit,0.8371854613233923,0.3381472279709344
85,Smartvote,Binary,Train,50,Test,50,VAE,Logistic,Impute,0.8074410163339383,0.36561349651161157
86,Smartvote,Binary,Train,50,Test,50,VAE,Logistic,Overall,0.8221149425287356,0.35206347069821087
