,x,y
0,4.0147476,-8.16106
1,2.825198,1.0240502
2,2.7578983,-0.36390513
3,15.363736,-19.324844
4,3.8063784,-3.8498514
6,2.2248266,-1.3048263
7,-0.5322828,0.14334524
8,2.898958,-4.663838
10,4.9317684,-6.7733846
11,22.250614,-26.42193
13,9.295203,-5.3867455
14,4.488904,-0.64431304
15,10.660242,-1.3958914
17,-0.24528503,-0.7556508
18,3.623718,-1.3334622
19,5.4002924,-3.2044656
20,7.2774096,-4.5836773
21,5.5205684,-1.5881302
22,10.11964,-3.665581
23,4.176775,9.242858
24,8.278002,0.26957583
25,22.390957,-23.011322
28,1.8020415,-1.8937662
29,0.6004634,-1.6324463
30,1.8768891,-6.6266127
31,17.623991,-24.061258
32,3.4590778,-2.4142585
33,4.521265,-1.2236984
34,7.2350473,-12.726611
35,4.289519,-0.62055385
36,18.979687,-22.786667
39,-12.113132,12.302389
40,17.904041,-21.483229
41,-2.1618757,5.691243
42,2.5432699,4.5997553
43,24.304289,-29.432543
44,26.541157,-27.730793
46,10.144959,-1.4762053
47,21.333727,-22.710264
48,20.994297,-23.970812
49,-1.7038163,-2.19345
50,3.6974258,-3.8969061
51,20.557205,-23.790258
53,18.47587,-19.681543
54,5.770204,-1.6805336
55,1.7111326,-2.3120904
56,21.233473,-23.006643
57,18.70393,-19.103085
58,22.12829,-24.753052
59,17.449192,-21.085466
60,1.5996337,1.0905272
61,3.519579,-1.1105585
62,1.321196,-1.2835197
63,5.432298,-3.5719953
64,9.515058,-1.0004184
65,16.282938,-19.424232
66,20.27706,-24.435398
68,5.727163,5.5043807
69,-3.307694,5.2513695
70,9.219974,3.937822
72,15.768959,-20.954205
74,21.463552,-20.848766
75,7.885682,-11.475009
76,20.22706,-26.249004
79,1.1471711,0.13837595
80,3.1621928,-3.8001552
81,22.784878,-23.07121
82,4.9383497,-4.2204666
83,21.701904,-31.232374
84,19.403204,-19.508118
85,22.66259,-28.651907
86,2.1033168,-2.9189546
88,5.9167533,-4.8318915
89,5.397449,0.06290312
92,4.864352,-6.6725187
96,14.886749,-14.387459
99,5.1731586,-4.0250535
100,7.4076753,4.396738
101,3.7271328,-0.5106738
102,6.1691537,-1.6445527
104,-2.4591784,4.115672
105,7.071983,-9.122082
106,2.7332506,-2.5385826
108,-0.99173033,1.9605949
109,8.453301,-2.220891
110,-2.11724,2.5830598
111,5.104628,-1.2594373
112,17.289597,-14.974426
113,9.043143,-15.518208
114,16.00868,-23.667433
115,0.60824,0.41552743
117,25.348177,-29.602207
118,14.14645,-16.869484
119,-2.9778411,0.55402714
120,2.1447763,5.1899033
121,2.3196456,1.2386365
123,5.954157,-1.7526405
124,21.442669,-25.633451
125,25.49242,-24.489159
127,-4.3359456,8.477792
128,6.866896,4.33183
129,4.5155563,4.4460664
130,-4.0875926,8.816956
131,1.0057355,-2.434647
132,-2.37135,-1.9484644
133,4.6142077,3.5375834
134,10.821779,-0.21141759
135,-1.7082378,2.0201979
136,-3.6388674,-0.37851906
137,-1.9253415,0.076034494
