,x,y
0,0.7784523,0.028431933
1,-0.48885477,-0.2684802
2,-0.27992055,-0.17654869
3,1.2820631,0.17075142
4,0.16719536,-0.035260767
6,-0.015216365,0.55539787
7,-0.34385026,0.12826358
8,0.48895538,0.56130344
10,1.1301755,0.4546766
11,1.5364145,0.14101003
13,0.3674661,-0.06566463
14,-0.18593226,-0.70928216
15,0.11589046,-1.0624655
17,-0.50971574,0.91859835
18,0.10990991,0.2116997
19,0.110118106,-0.2618354
20,0.33995605,-0.30504227
21,-0.041924663,-0.3938435
22,0.16677915,-1.029105
23,-1.2286739,-1.3460915
24,-0.09645036,-1.3975071
25,1.651021,0.18970397
28,-0.17119871,0.9861161
29,-0.27964216,0.7460727
30,0.66971934,0.67090726
31,1.5540586,0.1607256
32,0.14447732,0.01858863
33,0.0015842468,-0.22333162
34,1.0254081,0.5480779
35,-0.24192333,-0.12301806
36,1.4631568,0.1777761
39,-2.093503,0.51847595
40,1.4555565,0.21395718
41,-2.0436807,-0.1053359
42,-1.154191,-0.891195
43,1.7196956,0.14115535
44,1.4232726,-0.13153112
46,0.022978917,-1.5078441
47,1.6018076,0.08629589
48,1.5641913,0.053311415
49,-0.4234029,1.0776151
50,0.39575255,0.4486882
51,1.5745324,0.13733128
53,1.3460901,-0.0029113302
54,0.08417587,-0.6921802
55,0.0344868,0.7344831
56,1.4369532,-0.039645214
57,1.1148074,0.24299732
58,1.6280046,0.18795888
59,1.5243046,0.21308674
60,-0.45105052,0.10568283
61,-0.14367342,0.046556704
62,-0.15867,1.0855395
63,0.16794242,-0.05736081
64,-0.22550127,-0.7412238
65,1.5061241,0.24560452
66,1.610852,0.1688139
68,-0.98322713,-1.1236396
69,-1.8782794,0.38682845
70,-0.7165402,-1.3714005
72,1.3177539,0.24971773
74,1.3485383,-0.3697594
75,1.110232,-0.052343436
76,1.465857,0.13809288
79,-0.44750094,0.4613018
80,0.45260435,0.19034459
81,1.5433863,-0.07012249
82,0.47226948,0.104214154
83,1.5365589,0.21496229
84,1.0872959,0.1087287
85,1.5924963,0.10588079
86,0.09248972,0.43914735
88,0.22195934,-0.15943503
89,-0.2240828,-0.7380957
92,0.7310896,0.22656767
96,1.234869,-0.03810088
99,0.26803845,-0.17033474
100,-0.5535006,-1.3186816
101,-0.2430152,-0.7283518
102,0.011074513,-0.7614163
104,-1.6985123,0.39456087
105,0.86478496,0.0769741
106,-0.1166335,0.9129671
108,-0.84592974,0.5116359
109,0.07189563,-0.92188334
110,-1.6153122,0.3123786
