,Dataset,Datatype,Train Set,Train Sparsity,Evaluation Set,Evaluation Sparsity,Embedding Method,Prediction Method,Task,Accuracy,RMSE
0,Smartvote,Original,Train,60,Train,60,VAE,Logistic,Fit,0.8273325113029182,0.2456362536953125
1,Smartvote,Original,Train,60,Train,60,VAE,Logistic,Impute,0.7952459240991917,0.2727036120847118
2,Smartvote,Original,Train,60,Train,60,VAE,Logistic,Overall,0.8080805589806823,0.2618766687289521
3,Smartvote,Original,Train,60,Test,60,VAE,Logistic,Fit,0.8240229885057471,0.2451538497399848
4,Smartvote,Original,Train,60,Test,60,VAE,Logistic,Impute,0.7986973180076629,0.2741104865096546
5,Smartvote,Original,Train,60,Test,60,VAE,Logistic,Overall,0.8088275862068965,0.2625278318017866
6,Smartvote,Original,Train,70,Train,70,VAE,Logistic,Fit,0.8294644293143194,0.24555176866847098
7,Smartvote,Original,Train,70,Train,70,VAE,Logistic,Impute,0.7953381390496064,0.2746121374943758
8,Smartvote,Original,Train,70,Train,70,VAE,Logistic,Overall,0.805803534730785,0.26570029105443166
9,Smartvote,Original,Train,70,Test,70,VAE,Logistic,Fit,0.827736131934033,0.24657984287733817
10,Smartvote,Original,Train,70,Test,70,VAE,Logistic,Impute,0.796684350132626,0.27138645608017414
11,Smartvote,Original,Train,70,Test,70,VAE,Logistic,Overall,0.8062068965517242,0.2637790946979711
12,Smartvote,Original,Train,10,Train,10,VAE,Logistic,Fit,0.8197913024274436,0.25143106937592014
13,Smartvote,Original,Train,10,Train,10,VAE,Logistic,Impute,0.8024815043156597,0.26407079378168874
14,Smartvote,Original,Train,10,Train,10,VAE,Logistic,Overall,0.8179449239621867,0.2527793066458688
15,Smartvote,Original,Train,10,Test,10,VAE,Logistic,Fit,0.8214101904271744,0.24982902776555205
16,Smartvote,Original,Train,10,Test,10,VAE,Logistic,Impute,0.8073275862068965,0.2610226196012337
17,Smartvote,Original,Train,10,Test,10,VAE,Logistic,Overall,0.8199080459770115,0.2510230108946914
18,Smartvote,Original,Train,0,Train,0,VAE,Logistic,Fit,0.8199424578709412,0.25131072484720846
19,Smartvote,Original,Train,0,Train,0,VAE,Logistic,Impute,,
20,Smartvote,Original,Train,0,Train,0,VAE,Logistic,Overall,0.8199424578709412,0.25131072484720846
21,Smartvote,Original,Train,0,Test,20,VAE,Logistic,Fit,0.8204022988505747,0.2527373299951737
22,Smartvote,Original,Train,0,Test,20,VAE,Logistic,Impute,0.7983908045977012,0.2649432578642309
23,Smartvote,Original,Train,0,Test,20,VAE,Logistic,Overall,0.8160000000000001,0.25517851556898513
24,Smartvote,Original,Train,0,Test,30,VAE,Logistic,Fit,0.8106701366297984,0.2595652074073154
25,Smartvote,Original,Train,0,Test,30,VAE,Logistic,Impute,0.8075235109717869,0.26740892438578173
26,Smartvote,Original,Train,0,Test,30,VAE,Logistic,Overall,0.8097471264367817,0.2618660310543322
27,Smartvote,Original,Train,0,Test,40,VAE,Logistic,Fit,0.8056704980842913,0.26726260489512893
28,Smartvote,Original,Train,0,Test,40,VAE,Logistic,Impute,0.7865517241379311,0.2802355313900836
29,Smartvote,Original,Train,0,Test,40,VAE,Logistic,Overall,0.7980229885057472,0.2724517754931108
30,Smartvote,Original,Train,0,Test,80,VAE,Logistic,Fit,0.7390804597701149,0.322685037040196
31,Smartvote,Original,Train,0,Test,80,VAE,Logistic,Impute,0.7129310344827586,0.34004730697805957
32,Smartvote,Original,Train,0,Test,80,VAE,Logistic,Overall,0.7181609195402299,0.33657485299048684
33,Smartvote,Original,Train,0,Test,90,VAE,Logistic,Fit,0.6960591133004926,0.35118627687924187
34,Smartvote,Original,Train,0,Test,90,VAE,Logistic,Impute,0.691024340770791,0.3577420593592975
35,Smartvote,Original,Train,0,Test,90,VAE,Logistic,Overall,0.6914942528735631,0.3571301863278256
36,Smartvote,Original,Train,0,Test,50,VAE,Logistic,Fit,0.7929170549860205,0.2788105825339396
