,x,y
0,5.193284,-4.693491
1,2.0803,0.9671844
2,2.9398549,0.4325151
3,9.348367,-9.635319
4,3.727261,-1.830097
6,2.6190765,-1.1049116
7,1.6649997,0.37352443
8,3.3756113,-2.927083
10,5.2715826,-6.010483
11,13.519979,-13.452964
13,5.34663,-1.8710666
14,3.6509938,0.2938148
15,6.3087926,0.062088065
17,-0.7119281,-0.1879346
18,3.1986823,-0.9611142
19,3.6773999,-0.76115257
20,5.284182,-1.7975953
21,3.9787621,0.1345885
22,7.4877586,-0.6878885
23,3.3289626,7.8493977
24,5.777793,1.2689469
25,14.7240925,-13.049961
28,1.1349651,-0.76556134
29,0.9620693,-0.94444686
30,3.3826942,-4.708441
31,10.792444,-12.920296
32,2.7431679,-1.1503625
33,4.19601,-0.37287498
34,4.949655,-5.8176246
35,2.8878536,0.6333704
36,13.998088,-12.406739
39,-7.165813,8.369235
40,11.333817,-12.099866
41,-3.6424985,5.6233025
42,1.8270248,5.9168434
43,17.330097,-16.426184
44,16.018192,-13.684145
46,7.2601705,0.456395
47,14.852171,-13.785705
48,13.56347,-13.085808
49,-1.0087891,-1.1673813
50,3.0699549,-2.6478045
51,14.425559,-13.303302
53,12.278439,-10.209137
54,4.5650525,-0.5700495
55,1.9483438,-1.7528152
56,13.531154,-11.840067
57,9.251958,-7.3124
58,14.873699,-15.422422
59,11.56441,-11.851616
60,1.1799748,1.167059
61,2.6610732,0.32753903
62,1.0747315,-0.6661591
63,3.3555763,-1.4915664
64,3.9456193,1.5876229
65,11.289914,-10.406251
66,14.652096,-14.447951
68,2.7606988,4.7756376
69,-5.238507,5.5769596
70,4.050593,4.194649
72,9.906004,-9.972697
74,15.104801,-11.659181
75,6.7930074,-6.915395
76,13.614609,-13.04673
79,0.69451,0.74260753
80,3.1163015,-2.418942
81,16.168596,-13.808375
82,4.296066,-2.1160748
83,11.845412,-13.69156
84,9.47215,-7.107521
85,15.226549,-15.415756
86,2.3443418,-1.7760422
88,3.7124112,-1.2481942
89,4.1541643,0.9911399
92,4.604656,-3.684568
96,11.723729,-8.943192
99,6.4669604,-2.769672
100,4.4234977,3.9422433
101,4.170677,0.82442683
102,4.9371743,-0.45544326
104,-3.0388412,3.9144535
105,6.1486573,-5.3384438
106,1.4294912,-1.6016684
108,-0.98969173,1.7669315
109,5.4953833,-0.33447105
110,-2.5192008,2.999206
111,4.7520394,0.23137483
112,10.340272,-7.655478
113,5.3417435,-7.771122
114,8.243318,-10.745979
115,0.78419423,0.85436004
117,16.023565,-14.786199
118,11.055789,-10.981648
119,-3.5428753,0.5771597
120,0.8288765,4.862879
121,1.2842027,1.9801271
123,4.244481,-0.85507697
124,13.446941,-12.194883
125,16.658783,-12.9318
127,-5.5491586,7.8738866
128,4.1457725,4.1392612
129,2.0742664,3.6246016
130,-5.522744,7.309366
131,0.6566689,-1.5135639
132,-1.5687698,-1.3140867
133,3.6756485,3.7262678
134,6.263321,1.8661811
135,-1.3284825,1.9858804
136,-3.7349963,0.2386556
137,-1.7023507,0.15418458
139,6.084143,0.15480772
140,6.3846865,-0.43183708
141,11.348366,-14.283913
142,6.1247144,-8.195094
143,1.3411034,-0.3778298
144,15.67355,-15.068578
146,4.321052,5.0551767
147,6.3182607,1.1351647
148,2.539965,4.6383066
149,2.9563262,-1.6977317
150,2.6553452,-0.47195226
151,12.860196,-2.844697
152,16.144243,-13.178013
153,13.263176,-13.313212
154,11.9424925,-11.390299
155,12.1696205,-11.122855
157,0.10947827,5.9495063
159,0.7109349,-1.7696521
160,3.6846027,-1.1460412
161,5.3013005,3.4176457
162,12.530253,-11.447202
164,3.705487,-0.1549696
165,6.11701,-4.9622636
166,12.479931,-9.754679
169,13.921697,-12.875901
170,11.856666,-11.998844
172,14.291957,-13.493126
173,2.1790695,1.4455285
175,3.3371475,-0.10232553
176,2.2936063,-0.41218585
179,6.631037,-8.465168
181,14.841101,-12.4875145
182,2.0667396,1.1237423
183,5.380365,-7.1108885
184,7.292985,-1.3570981
185,10.484128,-6.9142227
186,4.3743787,4.8264794
188,1.3837042,2.1725068
189,-0.0076026637,-1.0598986
190,6.2294617,-0.054616615
191,9.926702,-12.929081
192,14.12049,-15.593539
193,-3.333381,2.446976
195,6.9729624,2.856377
196,12.07575,-13.086681
197,2.8514082,-2.3889003
199,0.82245743,-0.27131543
200,1.830602,-0.9616646
201,2.5897102,-0.53353894
202,14.546906,-11.056369
203,15.511985,-12.469259
204,-0.77265954,-1.3404922
205,3.1198785,-1.6553087
207,-2.9573874,2.6878166
208,-3.6539702,-1.2041292
209,9.959798,-2.982897
210,15.318723,-12.04816
211,8.986692,-0.86745197
212,11.984008,-11.676092
213,13.225246,-9.557376
214,6.9188313,-1.5305963
215,-2.8256874,0.5624335
217,-2.8700385,3.5413427
219,10.476174,-10.371151
221,2.9202516,3.2237747
222,5.2349043,2.0767977
223,12.263114,-14.190857
225,3.170086,0.93982404
226,3.4929726,-0.17292997
227,3.6496372,1.1103845
228,12.450544,-9.821443
229,15.315574,-13.06886
230,11.989939,-12.181811
231,4.697766,-6.85773
232,9.300673,-7.097483
233,11.912914,-12.409984
234,-5.7692018,6.3547096
235,6.9353137,-0.14873081
236,5.586707,-2.2421865
237,15.769709,-14.793105
238,11.295747,-9.298725
240,2.9441388,3.535943
242,-2.1824145,3.3013945
243,2.4657905,0.53194743
244,8.427291,1.0595571
245,0.27048147,-0.29983148
246,8.104362,-9.184726
248,5.759495,0.18428941
249,4.084517,0.14833766
250,9.464166,-9.4302
251,-0.049367055,2.4245574
253,9.290288,-0.4188894
254,3.6192026,3.740152
255,2.7642086,-1.959528
257,-0.31256643,-2.1021593
258,3.1236546,-0.5776428
259,7.024544,-5.766829
260,16.756369,-14.301106
261,12.537973,-10.124792
262,11.423046,-13.8894
263,11.811824,-10.98391
264,13.893661,-11.269723
265,14.607853,-9.82088
266,10.786337,-8.012218
267,11.149985,-9.313475
268,2.1414135,1.593745
269,-5.1366735,5.657847
270,0.715399,0.050154448
272,5.754768,-2.0593972
273,8.007368,-0.631527
274,4.973899,2.09336
276,3.405211,4.0311027
277,-2.8359575,0.8718566
280,6.96514,1.4080226
281,13.150169,-10.031051
283,-2.9499905,2.9446073
285,12.979854,-9.538567
286,1.916716,-0.72455055
287,6.021141,-2.4876041
288,11.00614,-12.369944
289,5.971938,-6.0717897
290,1.8131833,-1.8645878
291,1.4142689,2.0834157
292,6.8824363,-3.1569393
293,7.9248943,-2.9894805
294,-2.5227396,3.683123
295,8.802629,0.64297855
296,1.7133852,5.832103
298,1.1732104,-1.4142771
299,-0.5455848,0.88886774
301,11.163046,-9.53555
302,9.750418,0.41620418
303,6.37012,-1.0689845
304,3.6831574,-1.4449594
305,3.1796603,-1.0984251
306,2.8272321,-1.6903923
307,0.9165882,-1.2120395
309,14.23387,-13.46595
310,8.143872,-3.856981
311,1.8953398,1.5397346
312,6.069132,-5.1474237
313,2.7103796,0.88860077
314,11.996299,-2.077699
315,0.26583016,5.872578
316,5.4284916,-0.16631782
317,13.83083,-14.837789
318,-1.102659,4.1539965
320,3.0954854,-1.4689682
321,8.140696,-1.2569358
323,7.600096,-1.1621451
324,10.103081,-0.63530934
325,1.97942,-0.04895194
326,11.921257,-9.685655
327,1.9262443,-1.1010892
328,5.8221006,-0.062449664
329,8.919398,0.4256853
331,1.8405881,2.5184674
332,11.532963,-10.3776245
333,-2.9606102,1.8755631
334,10.016485,-8.082631
336,-1.8132207,6.172006
337,4.2781944,2.962899
338,-0.286523,1.9974091
339,1.3031303,4.9055614
340,1.5416944,6.660635
341,14.494079,-14.429744
342,3.3155599,-1.7006636
343,-0.23333684,-0.061658457
344,3.0857248,0.6945751
345,-0.69723463,1.8986526
346,1.3918632,3.043712
347,13.98202,-10.143495
348,13.201229,-9.160255
351,5.0957417,-3.6863542
352,-4.0728703,3.8176877
353,2.929011,4.572026
354,-4.62512,7.404134
355,-0.4606757,-0.5751057
356,11.422751,-0.6253745
358,4.160981,4.4876504
359,3.2580764,5.791568
360,2.61852,-0.6678481
361,1.926866,0.15891922
362,2.6421566,0.07382017
363,4.5936456,1.6152871
364,10.025984,-8.071819
365,13.718003,-12.957426
366,6.8508067,0.6689942
367,3.7117677,-3.370044
369,3.0781481,-0.89494306
370,11.820272,-0.47682345
371,9.54032,-0.016774386
372,12.867587,-5.3598213
373,7.9118414,2.5645692
374,12.207332,-12.014094
375,13.058221,-13.8067665
376,5.4313045,-0.7867706
