,Dataset,Datatype,Train Set,Train Sparsity,Evaluation Set,Evaluation Sparsity,Embedding Method,Prediction Method,Task,Accuracy,RMSE
0,Synthetic_60_50,Binary,Train,60,Train,60,VAE,2-Layer,Fit,0.9754166666666667,0.1492354426994102
1,Synthetic_60_50,Binary,Train,60,Train,60,VAE,2-Layer,Impute,0.9384722222222223,0.2129456383024805
2,Synthetic_60_50,Binary,Train,60,Train,60,VAE,2-Layer,Overall,0.9532500000000002,0.18746156006125236
3,Synthetic_60_50,Binary,Train,60,Test,60,VAE,2-Layer,Fit,0.9675,0.17239729490593408
4,Synthetic_60_50,Binary,Train,60,Test,60,VAE,2-Layer,Impute,0.9455555555555556,0.21016013067876174
5,Synthetic_60_50,Binary,Train,60,Test,60,VAE,2-Layer,Overall,0.9543333333333334,0.19505499636963067
6,Synthetic_60_50,Binary,Train,70,Train,70,VAE,2-Layer,Fit,0.9741666666666666,0.15268574081307126
7,Synthetic_60_50,Binary,Train,70,Train,70,VAE,2-Layer,Impute,0.9275,0.22769040956105197
8,Synthetic_60_50,Binary,Train,70,Train,70,VAE,2-Layer,Overall,0.9415,0.20518900893665773
9,Synthetic_60_50,Binary,Train,70,Test,70,VAE,2-Layer,Fit,0.9544444444444444,0.17792951862317297
10,Synthetic_60_50,Binary,Train,70,Test,70,VAE,2-Layer,Impute,0.9238095238095239,0.24151939325036145
11,Synthetic_60_50,Binary,Train,70,Test,70,VAE,2-Layer,Overall,0.933,0.22244243086220492
12,Synthetic_60_50,Binary,Train,10,Train,10,VAE,2-Layer,Fit,0.9706481481481481,0.17311839134308799
13,Synthetic_60_50,Binary,Train,10,Train,10,VAE,2-Layer,Impute,0.9566666666666667,0.19469594162146311
14,Synthetic_60_50,Binary,Train,10,Train,10,VAE,2-Layer,Overall,0.9692500000000001,0.1752761463709255
15,Synthetic_60_50,Binary,Train,10,Test,10,VAE,2-Layer,Fit,0.9622222222222222,0.1804820217715827
16,Synthetic_60_50,Binary,Train,10,Test,10,VAE,2-Layer,Impute,0.95,0.18898132015768995
17,Synthetic_60_50,Binary,Train,10,Test,10,VAE,2-Layer,Overall,0.961,0.18133195161019344
18,Synthetic_60_50,Binary,Train,0,Train,0,VAE,2-Layer,Fit,0.9775,0.14936901370389727
19,Synthetic_60_50,Binary,Train,0,Train,0,VAE,2-Layer,Impute,,
20,Synthetic_60_50,Binary,Train,0,Train,0,VAE,2-Layer,Overall,0.9775,0.14936901370389727
21,Synthetic_60_50,Binary,Train,0,Test,20,VAE,2-Layer,Fit,0.9675,0.1771609450177788
22,Synthetic_60_50,Binary,Train,0,Test,20,VAE,2-Layer,Impute,0.945,0.19800611577896343
23,Synthetic_60_50,Binary,Train,0,Test,20,VAE,2-Layer,Overall,0.9630000000000001,0.18132997917001575
24,Synthetic_60_50,Binary,Train,0,Test,30,VAE,2-Layer,Fit,0.9566666666666667,0.1957246466261977
25,Synthetic_60_50,Binary,Train,0,Test,30,VAE,2-Layer,Impute,0.9311111111111111,0.21973597263914446
26,Synthetic_60_50,Binary,Train,0,Test,30,VAE,2-Layer,Overall,0.949,0.20292804443008172
27,Synthetic_60_50,Binary,Train,0,Test,40,VAE,2-Layer,Fit,0.9338888888888889,0.22332662567931277
28,Synthetic_60_50,Binary,Train,0,Test,40,VAE,2-Layer,Impute,0.9058333333333334,0.2636408624108799
29,Synthetic_60_50,Binary,Train,0,Test,40,VAE,2-Layer,Overall,0.9226666666666667,0.23945232037193961
30,Synthetic_60_50,Binary,Train,0,Test,80,VAE,2-Layer,Fit,0.75,0.41782558339417586
31,Synthetic_60_50,Binary,Train,0,Test,80,VAE,2-Layer,Impute,0.7441666666666666,0.435734306313947
32,Synthetic_60_50,Binary,Train,0,Test,80,VAE,2-Layer,Overall,0.7453333333333334,0.4321525617299928
33,Synthetic_60_50,Binary,Train,0,Test,90,VAE,2-Layer,Fit,0.69,0.49135501002274473
34,Synthetic_60_50,Binary,Train,0,Test,90,VAE,2-Layer,Impute,0.7085185185185185,0.4736549370978336
35,Synthetic_60_50,Binary,Train,0,Test,90,VAE,2-Layer,Overall,0.7066666666666667,0.47542494439032473
36,Synthetic_60_50,Binary,Train,0,Test,50,VAE,2-Layer,Fit,0.8906666666666667,0.26835900011745206
37,Synthetic_60_50,Binary,Train,0,Test,50,VAE,2-Layer,Impute,0.8726666666666667,0.2913178147706238
38,Synthetic_60_50,Binary,Train,0,Test,50,VAE,2-Layer,Overall,0.8816666666666667,0.27983840744403793
39,Synthetic_60_50,Binary,Train,0,Test,60,VAE,2-Layer,Fit,0.835,0.3172335644784673
40,Synthetic_60_50,Binary,Train,0,Test,60,VAE,2-Layer,Impute,0.8144444444444444,0.344835896358326
41,Synthetic_60_50,Binary,Train,0,Test,60,VAE,2-Layer,Overall,0.8226666666666667,0.3337949636063825
42,Synthetic_60_50,Binary,Train,0,Test,0,VAE,2-Layer,Fit,0.9763333333333334,0.15760240483679994
43,Synthetic_60_50,Binary,Train,0,Test,0,VAE,2-Layer,Impute,,
44,Synthetic_60_50,Binary,Train,0,Test,0,VAE,2-Layer,Overall,0.9763333333333334,0.15760240483679994
45,Synthetic_60_50,Binary,Train,0,Test,70,VAE,2-Layer,Fit,0.79,0.3615993931006637
46,Synthetic_60_50,Binary,Train,0,Test,70,VAE,2-Layer,Impute,0.7885714285714286,0.38079545397799935
47,Synthetic_60_50,Binary,Train,0,Test,70,VAE,2-Layer,Overall,0.7889999999999999,0.37503663571479867
48,Synthetic_60_50,Binary,Train,0,Test,10,VAE,2-Layer,Fit,0.9729629629629629,0.16524891766530672
49,Synthetic_60_50,Binary,Train,0,Test,10,VAE,2-Layer,Impute,0.9633333333333334,0.17324458694797798
50,Synthetic_60_50,Binary,Train,0,Test,10,VAE,2-Layer,Overall,0.972,0.16604848459357385
51,Synthetic_60_50,Binary,Train,20,Train,20,VAE,2-Layer,Fit,0.9780208333333333,0.13684035273931047
52,Synthetic_60_50,Binary,Train,20,Train,20,VAE,2-Layer,Impute,0.9633333333333334,0.17004155599626417
53,Synthetic_60_50,Binary,Train,20,Train,20,VAE,2-Layer,Overall,0.9750833333333334,0.14348059339070124
54,Synthetic_60_50,Binary,Train,20,Test,20,VAE,2-Layer,Fit,0.9725,0.1539719950824863
55,Synthetic_60_50,Binary,Train,20,Test,20,VAE,2-Layer,Impute,0.9633333333333334,0.17554494130360246
56,Synthetic_60_50,Binary,Train,20,Test,20,VAE,2-Layer,Overall,0.9706666666666667,0.15828658432670956
57,Synthetic_60_50,Binary,Train,30,Train,30,VAE,2-Layer,Fit,0.9797619047619047,0.13765602684271092
