,x,y
0,-0.806529,1.4360838
1,-0.94198436,1.2780745
2,-0.8527426,1.3225658
3,-0.52936757,1.2751073
4,-0.65562373,1.3289055
6,-0.9053498,1.326242
7,-0.47970015,1.3465996
8,-1.0029997,1.1618546
10,-0.81879026,1.2826763
11,-0.45712572,1.4410963
13,-0.54994756,1.4234637
14,-0.4277324,1.5091264
15,-0.55314845,1.3111753
17,-0.45720708,1.4546062
18,-1.1812221,0.93491745
19,-1.0303115,1.2155554
20,-0.33697438,1.405971
21,-1.1083452,0.82419765
22,-0.054763276,1.5032583
23,-0.39018482,1.4112544
24,-0.48019826,1.5783131
25,-0.2980876,1.5032698
28,-1.2638752,1.0819019
29,-1.2746755,0.87772286
30,-0.15611944,1.4206598
31,-0.60741675,1.2924072
32,-1.0171425,1.1326424
33,-0.86227566,1.2660068
34,-0.41360313,1.5506532
35,-0.4077732,1.5093044
36,-0.75025624,1.3840817
39,-0.32484144,1.3878256
40,-0.8199049,1.2254008
41,-0.3067639,1.4344652
42,-0.3121699,1.4700826
43,-1.0603931,1.2098613
44,-1.0326229,0.9755081
46,-1.0314232,0.745473
47,-0.57769495,1.2263491
48,-0.31711274,1.5041052
49,-0.96402603,1.115438
50,-1.0247124,0.9036447
51,-0.9343933,1.4200821
53,-1.1392671,0.8162339
54,-0.42451215,1.4949166
55,-0.40150934,1.3764344
56,-0.50127304,1.5215851
57,-0.9382643,1.121747
58,-1.0510817,1.0063758
59,-1.1082914,0.9844086
60,-1.4850008,-0.48986033
61,-0.9584207,-1.3308179
62,-0.8761626,-1.574786
63,-1.1331109,-1.1412269
64,-1.3827081,-0.62890446
65,-1.3672445,-0.5159812
66,-1.3238304,-0.95192707
68,-1.5679835,-0.42152894
69,-1.1129559,-1.2789811
70,-1.3805195,-0.99160516
72,-0.91990435,-1.4653667
74,-1.3811651,-0.28186548
75,-1.5612856,-0.67563474
76,-1.5430068,-0.22419952
79,-1.590986,-0.43465346
80,-1.0920126,-1.425008
81,-1.455212,-0.7597674
82,-1.3585964,-0.7851958
83,-1.4004354,-0.7227509
84,-0.93248934,-1.1359373
85,-1.2470031,-0.6028031
86,-1.0127387,-1.024011
88,-1.4107648,-0.6216893
89,-1.1767589,-0.79881227
92,-1.4050341,-0.5417385
96,-1.1376835,-1.3445163
99,-1.0241517,-1.193973
100,-1.0658394,-1.3515441
101,-1.5218444,-0.57323825
102,-1.4741141,-0.781266
104,-1.5367923,-0.67635334
105,-0.89256257,-1.4403714
106,-1.6883594,-0.51570404
108,-1.4103562,-0.7056658
109,-1.6466584,-0.52036965
110,-1.6088384,-0.5939528
111,-1.3021139,-1.0114559
112,-1.4248217,-0.5335847
113,-1.4121587,-0.7900082
114,-0.9369953,-1.3758856
115,-1.4869688,-0.57713956
117,-1.1464244,-1.2530543
118,-1.0173788,-1.4102364
119,-0.53803855,-1.676748
120,1.4088668,0.28298658
121,0.54989654,0.9763535
123,1.5713409,0.7951635
124,1.5460706,0.13101265
125,1.44987,0.5795387
127,1.5331622,0.8147675
128,1.578865,0.7174729
129,1.6170951,0.8306873
130,1.6110184,0.7772269
131,1.4713479,0.8805289
132,1.5863165,0.56500006
133,0.9959079,0.26729387
134,1.6431525,0.6675656
135,1.6529075,0.7229879
136,1.0328655,0.8771634
137,1.245052,0.6404557
139,1.452754,0.9382931
140,1.5805793,0.84446573
141,1.5807383,0.58879256
142,1.6003941,0.72200525
143,1.0329152,0.7780988
144,1.6780528,0.8473245
146,1.3947773,0.8668746
147,1.6001494,0.6262604
148,1.5493034,0.68879104
149,1.6195394,0.69920754
150,1.6042819,0.8150717
151,1.624248,0.6550653
152,1.4650548,0.85114706
153,0.73352677,0.20880795
154,1.7142276,0.68810904
155,1.3515044,0.8888937
157,1.5839202,0.45220372
159,1.6041948,0.9385468
160,1.5168233,0.77889764
161,0.36617714,1.1385062
162,0.6546052,0.78074324
164,1.5275024,0.5041133
165,1.552812,0.7771144
166,1.6851909,0.5249834
169,1.5489577,0.592859
170,1.1685811,0.8593942
172,1.5688586,0.43426916
173,1.4866629,0.9322947
175,1.5082192,0.65769506
176,0.69993454,0.84053195
179,1.5051891,0.8373563
181,0.17625223,-0.8630365
182,0.6577983,-1.4194527
183,0.9768084,-1.1895975
184,0.6577035,-1.1990881
185,0.84863406,-1.3776054
186,0.5010691,-1.2200813
188,0.2356657,-1.5154352
189,0.9300693,-1.3001515
190,0.608263,-1.4034677
191,1.5130026,-0.81737995
192,-0.026898341,-1.7515146
193,0.7766395,-0.8844589
195,1.0492356,-1.2262515
196,0.15239291,-1.7294148
197,0.68960875,-1.2139447
199,0.0236523,-1.3850931
200,1.2010996,-1.2659304
201,0.10362923,-1.7148247
202,1.5180521,-0.8297361
203,0.916309,-0.3615939
204,1.024823,-1.0075554
205,1.5971204,-0.8391743
207,0.18385941,-1.7717773
208,-0.043760788,-1.667505
209,0.0492678,-1.6704316
210,1.390135,-1.0483423
211,0.98402905,-1.3064147
212,0.23446684,-1.7384456
213,0.95232487,-1.3667496
214,1.3503628,-0.982203
215,0.88705915,-1.3110505
217,1.1343397,-1.2062666
219,1.4254607,-0.9624212
221,1.2385386,-1.0148317
222,1.441744,-1.0019724
223,-0.14966062,-1.401803
225,0.16505083,-1.7895325
226,-0.12192037,-1.666915
227,0.7779532,-1.42134
228,1.1450504,-1.0523317
229,0.24253105,-1.6411663
230,0.45403814,-1.5776525
231,0.53665924,-1.1656878
232,1.0663731,-1.1863241
233,-0.016136829,-1.690842
234,1.0425813,-0.8396797
235,1.2630281,-1.0226841
236,0.8487658,-1.026215
237,0.22752689,-1.6584982
238,0.095170364,-1.6900473
240,-0.40615463,-0.48970956
242,0.33861208,0.5013647
243,0.57417375,0.23646933
244,-0.015815508,-0.35951632
245,0.26229525,-0.10128844
246,-0.5515578,0.21861315
248,0.13628009,-0.31014806
249,0.37851477,-0.0742452
250,-0.31445938,0.18927866
251,0.013524752,0.4651262
253,0.08736262,0.5128082
254,-0.6298151,-0.94903326
255,-0.18687794,-0.3443777
257,0.3199798,0.05729823
258,-0.19845678,-0.11853
259,0.14892414,-1.1529948
260,-0.70241386,-0.13532265
261,0.4196632,-0.26675725
262,0.4425528,-0.776067
263,0.07199829,-0.107756704
264,-0.5103816,0.62946486
265,-0.48195815,-0.60992795
266,0.50438553,0.4298264
267,0.2012433,0.057551548
268,-0.026433261,0.59382594
269,-0.49348772,-0.5598576
270,-0.52971315,1.2737215
272,-0.16139948,-0.16728106
273,-0.34714848,0.3150259
274,-0.5963195,1.1831615
276,-0.020229204,0.42648903
277,0.27941626,-0.23258309
280,-0.07009648,0.58875084
281,-0.71871513,-0.2943952
283,0.42136157,0.17921695
285,0.64538115,0.08557086
286,-0.16087233,0.5537355
287,-0.03815858,0.5509341
288,0.8221629,-0.16150962
289,0.5384929,-0.9088025
290,-0.15428734,0.45852193
291,-0.44572687,0.34503868
292,-0.6153739,-1.2100363
293,0.2654866,0.50554204
294,-0.12950322,-0.47008163
295,0.4929815,0.78409445
296,0.9866297,-0.34778148
298,-0.4475984,0.2543522
299,0.16357973,-0.3411761
