,Dataset,Datatype,Train Set,Train Sparsity,Evaluation Set,Evaluation Sparsity,Embedding Method,Prediction Method,Task,Accuracy,RMSE
0,Synthetic_60_50,Binary,Train,60,Train,60,VAE,Logistic,Fit,0.979375,0.1657675105240155
1,Synthetic_60_50,Binary,Train,60,Train,60,VAE,Logistic,Impute,0.9268055555555555,0.24860159997634595
2,Synthetic_60_50,Binary,Train,60,Train,60,VAE,Logistic,Overall,0.9478333333333333,0.21546796419541375
3,Synthetic_60_50,Binary,Train,60,Test,60,VAE,Logistic,Fit,0.9175,0.25967973481870804
4,Synthetic_60_50,Binary,Train,60,Test,60,VAE,Logistic,Impute,0.9044444444444444,0.28061889370999277
5,Synthetic_60_50,Binary,Train,60,Test,60,VAE,Logistic,Overall,0.9096666666666666,0.27224323015347884
6,Synthetic_60_50,Binary,Train,70,Train,70,VAE,Logistic,Fit,0.9827777777777778,0.15672372856657818
7,Synthetic_60_50,Binary,Train,70,Train,70,VAE,Logistic,Impute,0.9173809523809524,0.2570064853467639
8,Synthetic_60_50,Binary,Train,70,Train,70,VAE,Logistic,Overall,0.937,0.22692165831270816
9,Synthetic_60_50,Binary,Train,70,Test,70,VAE,Logistic,Fit,0.9388888888888889,0.22471370946245295
10,Synthetic_60_50,Binary,Train,70,Test,70,VAE,Logistic,Impute,0.8942857142857142,0.29101556534945894
11,Synthetic_60_50,Binary,Train,70,Test,70,VAE,Logistic,Overall,0.9076666666666666,0.27112500858335714
12,Synthetic_60_50,Binary,Train,10,Train,10,VAE,Logistic,Fit,0.9884259259259259,0.12346809016842644
13,Synthetic_60_50,Binary,Train,10,Train,10,VAE,Logistic,Impute,0.9583333333333334,0.17512448548656562
14,Synthetic_60_50,Binary,Train,10,Train,10,VAE,Logistic,Overall,0.9854166666666667,0.12863372970024037
15,Synthetic_60_50,Binary,Train,10,Test,10,VAE,Logistic,Fit,0.9507407407407408,0.20215732920898993
16,Synthetic_60_50,Binary,Train,10,Test,10,VAE,Logistic,Impute,0.9333333333333333,0.23013082994454095
17,Synthetic_60_50,Binary,Train,10,Test,10,VAE,Logistic,Overall,0.9490000000000001,0.20495467928254504
18,Synthetic_60_50,Binary,Train,0,Train,0,VAE,Logistic,Fit,0.9959166666666667,0.07684688404894534
19,Synthetic_60_50,Binary,Train,0,Train,0,VAE,Logistic,Impute,,
20,Synthetic_60_50,Binary,Train,0,Train,0,VAE,Logistic,Overall,0.9959166666666667,0.07684688404894534
21,Synthetic_60_50,Binary,Train,0,Test,20,VAE,Logistic,Fit,0.955,0.19574949480929063
22,Synthetic_60_50,Binary,Train,0,Test,20,VAE,Logistic,Impute,0.9383333333333334,0.2260723077626261
23,Synthetic_60_50,Binary,Train,0,Test,20,VAE,Logistic,Overall,0.9516666666666667,0.20181405739995775
24,Synthetic_60_50,Binary,Train,0,Test,30,VAE,Logistic,Fit,0.9295238095238095,0.24202611495343926
25,Synthetic_60_50,Binary,Train,0,Test,30,VAE,Logistic,Impute,0.8922222222222222,0.29574247742099136
26,Synthetic_60_50,Binary,Train,0,Test,30,VAE,Logistic,Overall,0.9183333333333332,0.2581410236937049
27,Synthetic_60_50,Binary,Train,0,Test,40,VAE,Logistic,Fit,0.9144444444444444,0.26272420392432577
28,Synthetic_60_50,Binary,Train,0,Test,40,VAE,Logistic,Impute,0.8858333333333334,0.30836381309598065
29,Synthetic_60_50,Binary,Train,0,Test,40,VAE,Logistic,Overall,0.903,0.2809800475929877
30,Synthetic_60_50,Binary,Train,0,Test,80,VAE,Logistic,Fit,0.8049999999999999,0.41618788478371865
31,Synthetic_60_50,Binary,Train,0,Test,80,VAE,Logistic,Impute,0.7654166666666666,0.45700935364837203
32,Synthetic_60_50,Binary,Train,0,Test,80,VAE,Logistic,Overall,0.7733333333333333,0.4488450598754414
33,Synthetic_60_50,Binary,Train,0,Test,90,VAE,Logistic,Fit,0.6799999999999999,0.5378660905751289
34,Synthetic_60_50,Binary,Train,0,Test,90,VAE,Logistic,Impute,0.7085185185185185,0.5236094305382978
35,Synthetic_60_50,Binary,Train,0,Test,90,VAE,Logistic,Overall,0.7056666666666667,0.5250350965419809
36,Synthetic_60_50,Binary,Train,0,Test,50,VAE,Logistic,Fit,0.8993333333333333,0.2909444403741825
37,Synthetic_60_50,Binary,Train,0,Test,50,VAE,Logistic,Impute,0.8686666666666667,0.33042937436072733
38,Synthetic_60_50,Binary,Train,0,Test,50,VAE,Logistic,Overall,0.884,0.3106869073674549
39,Synthetic_60_50,Binary,Train,0,Test,60,VAE,Logistic,Fit,0.8666666666666667,0.3340871075737556
40,Synthetic_60_50,Binary,Train,0,Test,60,VAE,Logistic,Impute,0.8433333333333333,0.3669199544499044
41,Synthetic_60_50,Binary,Train,0,Test,60,VAE,Logistic,Overall,0.8526666666666666,0.35378681569944487
42,Synthetic_60_50,Binary,Train,0,Test,0,VAE,Logistic,Fit,0.9876666666666667,0.1075008680731658
43,Synthetic_60_50,Binary,Train,0,Test,0,VAE,Logistic,Impute,,
44,Synthetic_60_50,Binary,Train,0,Test,0,VAE,Logistic,Overall,0.9876666666666667,0.1075008680731658
45,Synthetic_60_50,Binary,Train,0,Test,70,VAE,Logistic,Fit,0.86,0.34623873007728356
46,Synthetic_60_50,Binary,Train,0,Test,70,VAE,Logistic,Impute,0.8352380952380952,0.37628559645810755
47,Synthetic_60_50,Binary,Train,0,Test,70,VAE,Logistic,Overall,0.8426666666666667,0.36727153654386036
48,Synthetic_60_50,Binary,Train,0,Test,10,VAE,Logistic,Fit,0.957037037037037,0.18667419843282976
49,Synthetic_60_50,Binary,Train,0,Test,10,VAE,Logistic,Impute,0.9533333333333334,0.1879697070456371
50,Synthetic_60_50,Binary,Train,0,Test,10,VAE,Logistic,Overall,0.9566666666666667,0.1868037492941105
51,Synthetic_60_50,Binary,Train,20,Train,20,VAE,Logistic,Fit,0.9846875,0.14973474476141282
52,Synthetic_60_50,Binary,Train,20,Train,20,VAE,Logistic,Impute,0.9583333333333334,0.19088124186724795
53,Synthetic_60_50,Binary,Train,20,Train,20,VAE,Logistic,Overall,0.9794166666666667,0.15796404418257987
54,Synthetic_60_50,Binary,Train,20,Test,20,VAE,Logistic,Fit,0.9579166666666666,0.19407634676955923
55,Synthetic_60_50,Binary,Train,20,Test,20,VAE,Logistic,Impute,0.9416666666666667,0.22337473969267732
