,x,y
0,-2.133888,4.1808147
1,-2.2359564,3.224131
2,-1.3617446,3.658899
3,-1.3534654,4.2084517
4,-2.6399994,6.053991
6,-2.6482236,4.629386
7,-1.3658081,5.339464
8,-1.9237058,3.767045
10,-1.5031492,1.4028399
11,-1.2671661,4.7172275
13,-2.2798133,5.405757
14,-3.47027,5.8436685
15,-7.8722787,17.890635
17,-3.9425151,10.11587
18,-0.67288893,1.3336499
19,-3.2244089,6.1485424
20,-5.827955,14.841561
21,0.09144576,1.316869
22,-6.0365815,12.490559
23,-5.625248,11.161136
24,-2.1843035,2.5436037
25,-3.1283896,7.4524302
28,-1.661278,1.8487201
29,-0.19641337,3.4147701
30,-1.6059893,5.270089
31,-4.301397,9.914635
32,-4.17418,10.283438
33,-4.786936,11.01404
34,-6.35177,15.840175
35,-2.6022115,6.257786
36,-1.8310096,2.0273707
39,-1.7859783,5.646263
40,-2.5785832,4.597784
41,-3.9620807,8.275767
42,-4.191514,8.825946
43,-1.7930009,2.627159
44,-1.0613332,2.9114637
46,1.6633074,3.1634688
47,-7.3582864,17.562002
48,-5.5656567,11.23624
49,-0.84634817,3.9562156
50,-1.6575056,3.1123972
51,-3.416337,8.340166
53,-1.4224973,2.367875
54,-3.1359434,10.654054
55,-4.5833063,11.801228
56,-1.9084326,2.8054047
57,-2.6156445,5.654323
58,-0.72749704,2.7306762
59,-5.5120606,12.41538
60,21.146313,-30.637993
61,50.57315,-32.197956
62,26.22289,-28.237343
63,39.208233,-40.510715
64,19.054586,-26.286703
65,25.499619,-26.48361
66,20.579367,-28.122396
68,22.291956,-38.146263
69,51.452347,-38.23917
70,43.084618,-47.002834
72,46.71371,-39.290154
74,17.239813,-28.932203
75,26.1674,-36.53012
76,18.587732,-32.415833
79,17.221838,-29.761255
80,65.75805,-45.834602
81,23.187174,-31.469831
82,21.499676,-28.421778
83,19.129526,-28.720486
84,34.05254,-31.234964
85,13.894679,-16.721378
86,31.533693,-27.546001
88,21.116217,-32.255817
89,21.474318,-32.652542
92,12.783247,-27.856665
96,31.36131,-36.46724
99,43.609245,-30.959394
100,44.916557,-42.949657
101,25.0122,-36.161987
102,30.401367,-48.603504
104,25.78844,-41.043736
105,42.526386,-42.32099
106,21.654396,-33.502113
108,22.968313,-30.095442
109,24.401768,-32.56806
110,12.098176,-18.850405
111,38.356937,-48.495224
112,24.347002,-34.46349
113,23.83237,-34.198902
114,38.226173,-22.88874
115,26.062803,-45.232697
117,54.934532,-38.813934
118,50.23947,-43.178802
119,54.18838,-33.534943
120,-30.415548,66.686386
121,-14.291025,37.568306
123,-36.85956,74.7958
124,-3.1258917,54.46871
125,-25.343922,59.191105
127,-38.161613,76.388435
128,-28.385744,61.809486
129,-24.316708,53.20296
130,-30.788933,67.17376
131,-31.41944,65.47946
132,-23.55489,53.386463
133,-8.603476,38.250076
134,-29.448723,62.13304
135,-28.190039,61.218533
136,-23.501717,47.356926
137,-19.074902,52.31964
139,-35.406578,72.930244
140,-31.910437,68.29464
141,-32.343784,68.331825
142,-26.682013,61.53972
143,-12.657786,39.348026
144,-27.5857,61.421146
146,-28.19318,59.360527
147,-29.101694,68.14866
148,-29.48719,68.48934
149,-30.08966,64.545975
150,-35.034286,75.44206
151,-28.478205,60.042458
152,-20.19174,48.45972
153,2.3094697,31.021072
154,-35.455616,74.04923
155,-27.55248,58.781307
157,-24.904465,58.445904
159,-24.649586,53.831696
160,-32.368347,69.05837
161,-21.607779,43.37187
162,-13.912403,38.253136
164,-29.711964,68.527565
165,-30.403551,65.25165
166,-36.130882,73.46842
169,-31.414766,67.19209
170,-21.243265,44.69878
172,-28.436832,61.356842
173,-31.85112,66.92321
175,-25.305588,60.271275
176,-7.0601845,20.601225
179,-28.20693,59.87602
181,38.762684,2.0491898
182,43.938072,7.080369
183,54.141647,13.060823
184,34.05599,7.990221
185,55.320816,13.0497875
