,Dataset,Datatype,Train Set,Train Sparsity,Evaluation Set,Evaluation Sparsity,Embedding Method,Prediction Method,Task,Accuracy,RMSE
0,Synthetic_60_50,Original,Train,60,Train,60,VAE,2-Layer,Fit,0.96125,0.11136781043358758
1,Synthetic_60_50,Original,Train,60,Train,60,VAE,2-Layer,Impute,0.9434722222222223,0.1307105898293533
2,Synthetic_60_50,Original,Train,60,Train,60,VAE,2-Layer,Overall,0.9505833333333334,0.12297347807104701
3,Synthetic_60_50,Original,Train,60,Test,60,VAE,2-Layer,Fit,0.9516666666666667,0.1168509072346024
4,Synthetic_60_50,Original,Train,60,Test,60,VAE,2-Layer,Impute,0.9405555555555556,0.13173455686758775
5,Synthetic_60_50,Original,Train,60,Test,60,VAE,2-Layer,Overall,0.9450000000000001,0.1257810970143936
6,Synthetic_60_50,Original,Train,70,Train,70,VAE,2-Layer,Fit,0.9594444444444444,0.11402799027431629
7,Synthetic_60_50,Original,Train,70,Train,70,VAE,2-Layer,Impute,0.939047619047619,0.14058974057926013
8,Synthetic_60_50,Original,Train,70,Train,70,VAE,2-Layer,Overall,0.9451666666666667,0.132621215487777
9,Synthetic_60_50,Original,Train,70,Test,70,VAE,2-Layer,Fit,0.9511111111111111,0.12462601682146704
10,Synthetic_60_50,Original,Train,70,Test,70,VAE,2-Layer,Impute,0.9214285714285715,0.150013817064915
11,Synthetic_60_50,Original,Train,70,Test,70,VAE,2-Layer,Overall,0.9303333333333335,0.14239747699188063
12,Synthetic_60_50,Original,Train,10,Train,10,VAE,2-Layer,Fit,0.970462962962963,0.10872367704654544
13,Synthetic_60_50,Original,Train,10,Train,10,VAE,2-Layer,Impute,0.9641666666666666,0.11758791301115688
14,Synthetic_60_50,Original,Train,10,Train,10,VAE,2-Layer,Overall,0.9698333333333334,0.1096101006430066
15,Synthetic_60_50,Original,Train,10,Test,10,VAE,2-Layer,Fit,0.965925925925926,0.10978211355419942
16,Synthetic_60_50,Original,Train,10,Test,10,VAE,2-Layer,Impute,0.9733333333333334,0.10478197748161323
17,Synthetic_60_50,Original,Train,10,Test,10,VAE,2-Layer,Overall,0.9666666666666668,0.1092820999469408
18,Synthetic_60_50,Original,Train,0,Train,0,VAE,2-Layer,Fit,0.9698333333333333,0.10651051916268887
19,Synthetic_60_50,Original,Train,0,Train,0,VAE,2-Layer,Impute,,
20,Synthetic_60_50,Original,Train,0,Train,0,VAE,2-Layer,Overall,0.9698333333333333,0.10651051916268887
21,Synthetic_60_50,Original,Train,0,Test,20,VAE,2-Layer,Fit,0.9545833333333333,0.12511808846099873
22,Synthetic_60_50,Original,Train,0,Test,20,VAE,2-Layer,Impute,0.9483333333333334,0.13613696754464968
23,Synthetic_60_50,Original,Train,0,Test,20,VAE,2-Layer,Overall,0.9533333333333334,0.12732186427772893
24,Synthetic_60_50,Original,Train,0,Test,30,VAE,2-Layer,Fit,0.9395238095238095,0.14081578501331946
25,Synthetic_60_50,Original,Train,0,Test,30,VAE,2-Layer,Impute,0.9277777777777778,0.15280149611148677
26,Synthetic_60_50,Original,Train,0,Test,30,VAE,2-Layer,Overall,0.9359999999999999,0.14441149834276965
27,Synthetic_60_50,Original,Train,0,Test,40,VAE,2-Layer,Fit,0.9266666666666666,0.1635015461273915
28,Synthetic_60_50,Original,Train,0,Test,40,VAE,2-Layer,Impute,0.9133333333333333,0.1753296927421339
29,Synthetic_60_50,Original,Train,0,Test,40,VAE,2-Layer,Overall,0.9213333333333333,0.16823280477328845
30,Synthetic_60_50,Original,Train,0,Test,80,VAE,2-Layer,Fit,0.7483333333333333,0.29968555998788554
31,Synthetic_60_50,Original,Train,0,Test,80,VAE,2-Layer,Impute,0.74375,0.3186417188799822
32,Synthetic_60_50,Original,Train,0,Test,80,VAE,2-Layer,Overall,0.7446666666666667,0.3148504871015628
33,Synthetic_60_50,Original,Train,0,Test,90,VAE,2-Layer,Fit,0.6866666666666666,0.347297916101486
34,Synthetic_60_50,Original,Train,0,Test,90,VAE,2-Layer,Impute,0.7103703703703703,0.3368659516134521
35,Synthetic_60_50,Original,Train,0,Test,90,VAE,2-Layer,Overall,0.708,0.3379091480622555
36,Synthetic_60_50,Original,Train,0,Test,50,VAE,2-Layer,Fit,0.8886666666666667,0.19295438477720667
37,Synthetic_60_50,Original,Train,0,Test,50,VAE,2-Layer,Impute,0.8853333333333333,0.20283634602450046
38,Synthetic_60_50,Original,Train,0,Test,50,VAE,2-Layer,Overall,0.887,0.19789536540085356
39,Synthetic_60_50,Original,Train,0,Test,60,VAE,2-Layer,Fit,0.8458333333333333,0.22607687598718415
40,Synthetic_60_50,Original,Train,0,Test,60,VAE,2-Layer,Impute,0.8344444444444444,0.24006085074896316
41,Synthetic_60_50,Original,Train,0,Test,60,VAE,2-Layer,Overall,0.839,0.23446726084425157
42,Synthetic_60_50,Original,Train,0,Test,0,VAE,2-Layer,Fit,0.9673333333333334,0.10622402757696113
43,Synthetic_60_50,Original,Train,0,Test,0,VAE,2-Layer,Impute,,
44,Synthetic_60_50,Original,Train,0,Test,0,VAE,2-Layer,Overall,0.9673333333333334,0.10622402757696113
45,Synthetic_60_50,Original,Train,0,Test,70,VAE,2-Layer,Fit,0.8022222222222222,0.2699204212121842
46,Synthetic_60_50,Original,Train,0,Test,70,VAE,2-Layer,Impute,0.7952380952380953,0.27960497210941865
47,Synthetic_60_50,Original,Train,0,Test,70,VAE,2-Layer,Overall,0.7973333333333333,0.2766996068402483
48,Synthetic_60_50,Original,Train,0,Test,10,VAE,2-Layer,Fit,0.9644444444444444,0.11354814876632659
49,Synthetic_60_50,Original,Train,0,Test,10,VAE,2-Layer,Impute,0.9733333333333334,0.1101791225311632
50,Synthetic_60_50,Original,Train,0,Test,10,VAE,2-Layer,Overall,0.9653333333333334,0.11321124614281025
51,Synthetic_60_50,Original,Train,20,Train,20,VAE,2-Layer,Fit,0.9665625,0.11350052569464533
52,Synthetic_60_50,Original,Train,20,Train,20,VAE,2-Layer,Impute,0.9633333333333334,0.12064505910127293
53,Synthetic_60_50,Original,Train,20,Train,20,VAE,2-Layer,Overall,0.9659166666666666,0.11492943237597086
54,Synthetic_60_50,Original,Train,20,Test,20,VAE,2-Layer,Fit,0.965,0.1135530451370856
55,Synthetic_60_50,Original,Train,20,Test,20,VAE,2-Layer,Impute,0.9533333333333334,0.12000942871437933
56,Synthetic_60_50,Original,Train,20,Test,20,VAE,2-Layer,Overall,0.9626666666666667,0.11484432185254435
57,Synthetic_60_50,Original,Train,30,Train,30,VAE,2-Layer,Fit,0.9655952380952381,0.10819411867798208
58,Synthetic_60_50,Original,Train,30,Train,30,VAE,2-Layer,Impute,0.9586111111111111,0.11929836522098154
59,Synthetic_60_50,Original,Train,30,Train,30,VAE,2-Layer,Overall,0.9634999999999999,0.1115253926408819
60,Synthetic_60_50,Original,Train,30,Test,30,VAE,2-Layer,Fit,0.9647619047619047,0.11129484531408027
61,Synthetic_60_50,Original,Train,30,Test,30,VAE,2-Layer,Impute,0.9511111111111111,0.11620867712739533
62,Synthetic_60_50,Original,Train,30,Test,30,VAE,2-Layer,Overall,0.9606666666666666,0.11276899485807478
63,Synthetic_60_50,Original,Train,40,Train,40,VAE,2-Layer,Fit,0.9636111111111111,0.11260903253954478
64,Synthetic_60_50,Original,Train,40,Train,40,VAE,2-Layer,Impute,0.9560416666666667,0.12469901694568145
65,Synthetic_60_50,Original,Train,40,Train,40,VAE,2-Layer,Overall,0.9605833333333333,0.11744502630199945
66,Synthetic_60_50,Original,Train,40,Test,40,VAE,2-Layer,Fit,0.9655555555555555,0.11277677601095522
67,Synthetic_60_50,Original,Train,40,Test,40,VAE,2-Layer,Impute,0.9525,0.11979035798387601
68,Synthetic_60_50,Original,Train,40,Test,40,VAE,2-Layer,Overall,0.9603333333333333,0.11558220880012353
69,Synthetic_60_50,Original,Train,80,Train,80,VAE,2-Layer,Fit,0.9579166666666666,0.10867086814824417
70,Synthetic_60_50,Original,Train,80,Train,80,VAE,2-Layer,Impute,0.9184375,0.15394966660947626
