,x,y
0,1.1060202,0.83953166
1,1.1043378,1.365758
2,1.0761429,1.0142026
3,0.7066083,1.2159745
4,1.0978202,1.0126182
6,1.0762914,0.9339334
7,1.1057987,0.95826674
8,0.92073774,0.94026333
10,0.8794553,0.8346521
11,0.6982311,1.405402
13,0.76177907,1.1863648
14,0.8763124,1.1830006
15,0.7779696,1.119417
17,1.0191242,1.2022635
18,1.1849186,0.52422255
19,1.3078866,0.869918
20,0.5313015,0.9663277
21,1.2099628,0.5550449
22,0.49461985,1.387676
23,0.73696285,1.3295356
24,1.2542759,1.205444
25,0.6971339,1.2382112
28,1.1948001,0.79283786
29,1.3970085,0.5393265
30,0.76329833,1.0774703
31,0.86430866,0.7255507
32,1.0497161,0.6929346
33,1.0737147,0.856636
34,0.6973978,1.1428528
35,1.192655,1.1777207
36,0.93303144,0.954389
39,0.80678433,1.1734971
40,1.0522454,0.9716076
41,0.8408667,1.3807122
42,1.0877731,1.3342328
43,1.0549318,0.66318136
44,1.0086323,0.7218885
46,1.111652,0.63631564
47,1.0617672,0.88588685
48,0.84439296,1.1417326
49,1.083307,0.6432898
50,0.8423905,0.37651333
51,1.3349826,1.1437359
53,0.8996791,0.6815655
54,1.0730106,1.3170063
55,0.3024427,1.210031
56,0.7370014,1.3149168
57,0.84976465,0.69027114
58,1.0290135,0.6025489
59,1.071529,0.71038455
60,1.2253153,-1.2492362
61,0.8532775,-1.2148378
62,0.9748521,-1.0951737
63,1.0957687,-1.157023
64,0.896721,-0.9416172
65,0.57900083,-0.67835903
66,1.0357224,-1.0687622
68,1.4183784,-0.7588578
69,0.88246727,-1.5898136
70,1.0993044,-0.9833047
72,0.528182,-1.4422066
74,1.237675,-0.48429742
75,1.1233796,-1.055265
76,1.129991,-0.41854918
79,1.4341466,-0.8649096
80,0.4930274,-1.1571565
81,1.2973449,-1.120438
82,0.9666363,-0.92586935
83,1.014703,-0.70090574
84,0.9329027,-1.2493
85,0.70825356,-1.0145398
86,0.8148458,-1.1427599
88,0.9575399,-0.8512491
89,1.0149809,-1.0766515
92,0.8516825,-0.8906493
96,1.0601274,-1.2950854
99,0.7783462,-1.2793797
100,0.7558934,-1.4125789
101,1.213416,-1.163557
102,1.0264468,-0.9386697
104,1.0616683,-0.78126544
105,0.6525067,-1.1582144
106,1.1863675,-0.92331356
108,1.3918633,-0.9808672
109,1.2325398,-0.8979248
110,1.1411458,-0.93265504
111,1.0830101,-1.1202134
112,0.9131247,-0.86294216
113,1.2523657,-1.0560468
114,0.7993214,-1.4855849
115,1.2719051,-1.1638768
117,0.89549106,-1.1478938
118,0.9897692,-1.5848281
119,0.7489428,-1.7505273
120,-1.1783614,0.5994666
121,-0.4459344,1.1661887
123,-1.2150526,1.1372812
124,-1.4468578,0.64836824
125,-1.2395687,0.92472106
127,-1.0117562,1.1669806
128,-1.1589376,1.0750294
129,-1.0975102,0.9424105
130,-1.4833969,1.2521799
131,-1.0829431,1.0120252
132,-1.2699281,0.85894424
