,Dataset,Datatype,Train Set,Train Sparsity,Evaluation Set,Evaluation Sparsity,Embedding Method,Prediction Method,Task,Accuracy,RMSE
0,Synthetic_60_50,Original,Train,60,Train,60,VAE,Logistic,Fit,0.9872916666666667,0.08789801414342957
1,Synthetic_60_50,Original,Train,60,Train,60,VAE,Logistic,Impute,0.9638888888888889,0.10514331600530707
2,Synthetic_60_50,Original,Train,60,Train,60,VAE,Logistic,Overall,0.9732500000000001,0.09824519526055608
3,Synthetic_60_50,Original,Train,60,Test,60,VAE,Logistic,Fit,0.9316666666666666,0.14107866736071498
4,Synthetic_60_50,Original,Train,60,Test,60,VAE,Logistic,Impute,0.9161111111111111,0.1594573455567304
5,Synthetic_60_50,Original,Train,60,Test,60,VAE,Logistic,Overall,0.9223333333333333,0.15210587427832423
6,Synthetic_60_50,Original,Train,70,Train,70,VAE,Logistic,Fit,0.9819444444444444,0.097761011961305
7,Synthetic_60_50,Original,Train,70,Train,70,VAE,Logistic,Impute,0.9463095238095238,0.1316668726963359
8,Synthetic_60_50,Original,Train,70,Train,70,VAE,Logistic,Overall,0.9570000000000001,0.12149511447582663
9,Synthetic_60_50,Original,Train,70,Test,70,VAE,Logistic,Fit,0.9433333333333334,0.13562786123372692
10,Synthetic_60_50,Original,Train,70,Test,70,VAE,Logistic,Impute,0.920952380952381,0.15264801801333588
11,Synthetic_60_50,Original,Train,70,Test,70,VAE,Logistic,Overall,0.9276666666666666,0.1475419709794532
12,Synthetic_60_50,Original,Train,10,Train,10,VAE,Logistic,Fit,0.9873148148148149,0.08530899127856434
13,Synthetic_60_50,Original,Train,10,Train,10,VAE,Logistic,Impute,0.9816666666666667,0.09183577362040388
14,Synthetic_60_50,Original,Train,10,Train,10,VAE,Logistic,Overall,0.98675,0.08596166951274829
15,Synthetic_60_50,Original,Train,10,Test,10,VAE,Logistic,Fit,0.9788888888888889,0.0919312110484915
16,Synthetic_60_50,Original,Train,10,Test,10,VAE,Logistic,Impute,0.97,0.09633673996465303
17,Synthetic_60_50,Original,Train,10,Test,10,VAE,Logistic,Overall,0.978,0.09237176394010767
18,Synthetic_60_50,Original,Train,0,Train,0,VAE,Logistic,Fit,0.9914166666666666,0.08128675592123674
19,Synthetic_60_50,Original,Train,0,Train,0,VAE,Logistic,Impute,,
20,Synthetic_60_50,Original,Train,0,Train,0,VAE,Logistic,Overall,0.9914166666666666,0.08128675592123674
21,Synthetic_60_50,Original,Train,0,Test,20,VAE,Logistic,Fit,0.9533333333333334,0.11341708844391513
22,Synthetic_60_50,Original,Train,0,Test,20,VAE,Logistic,Impute,0.9483333333333334,0.13025108125403798
23,Synthetic_60_50,Original,Train,0,Test,20,VAE,Logistic,Overall,0.9523333333333334,0.11678388700593971
24,Synthetic_60_50,Original,Train,0,Test,30,VAE,Logistic,Fit,0.9285714285714286,0.14433814344769644
25,Synthetic_60_50,Original,Train,0,Test,30,VAE,Logistic,Impute,0.9155555555555556,0.1625179242343745
26,Synthetic_60_50,Original,Train,0,Test,30,VAE,Logistic,Overall,0.9246666666666667,0.14979207768369984
27,Synthetic_60_50,Original,Train,0,Test,40,VAE,Logistic,Fit,0.9072222222222223,0.17272227399349907
28,Synthetic_60_50,Original,Train,0,Test,40,VAE,Logistic,Impute,0.8833333333333333,0.19214140231372848
29,Synthetic_60_50,Original,Train,0,Test,40,VAE,Logistic,Overall,0.8976666666666666,0.18048992532159083
30,Synthetic_60_50,Original,Train,0,Test,80,VAE,Logistic,Fit,0.74,0.31631914190117133
31,Synthetic_60_50,Original,Train,0,Test,80,VAE,Logistic,Impute,0.7220833333333334,0.33793493087945564
