,x,y
0,-8.990956,-7.7353783
1,-9.458865,-7.5366635
2,-8.087465,-6.451122
3,-7.0367193,-6.5152836
4,-9.990964,-9.714531
6,-10.778453,-10.809228
7,-6.098013,-6.0848665
8,-9.921217,-9.426123
10,-9.492658,-7.788649
11,-5.0394483,-9.855305
13,-6.7724214,-9.735093
14,-6.594786,-6.295072
15,-6.8360286,-7.3282933
17,-7.859001,-7.5972238
18,-10.840068,-5.1300645
19,-12.531123,-9.336132
20,-6.837192,-6.7043095
21,-6.1568527,-3.5497732
22,-4.2656336,-11.61158
23,-8.958277,-13.873322
24,-10.072673,-11.436644
25,-5.0098395,-10.662498
28,-10.741101,-6.9486284
29,-9.418058,-5.2738175
30,-5.050028,-6.4117994
31,-7.673018,-6.13098
32,-7.2129035,-4.436182
33,-6.281075,-5.999048
34,-5.4429226,-9.032254
35,-9.372976,-8.962061
36,-7.6390395,-6.3989754
39,-4.849751,-6.429084
40,-8.936373,-7.2792077
41,-3.980907,-8.53947
42,-7.1028867,-10.232868
43,-12.783431,-9.29701
44,-7.943823,-5.1871033
46,-11.890424,-4.3746014
47,-7.2564874,-5.727016
48,-4.9099555,-7.0848083
49,-8.271238,-7.024919
50,-4.313784,-3.0962422
51,-8.011658,-9.08165
53,-6.8072734,-3.850819
54,-6.7261057,-10.789188
55,-2.7913306,-5.220246
56,-6.463948,-9.33825
57,-7.58293,-5.423301
58,-6.361559,-3.6294813
59,-6.6329703,-5.1561007
60,-11.884939,2.395401
61,-7.6163864,5.05585
62,-8.654828,4.589927
63,-8.276216,4.0068755
64,-7.663053,1.5772018
65,-8.298681,2.4225228
66,-9.749506,4.8633695
68,-13.113813,0.5220084
69,-9.497268,4.9587164
70,-16.097784,4.429474
72,-7.474856,4.4874606
74,-10.611026,0.29371858
75,-7.7509756,1.987357
76,-11.582843,-1.2565397
79,-10.474458,1.2686912
80,-6.542964,4.497864
81,-10.084745,2.7277653
82,-10.576448,2.0434358
83,-8.47981,1.8118109
84,-6.469018,4.8970537
85,-8.843347,1.3179739
86,-10.62667,4.065112
88,-13.8599615,3.0680053
89,-8.197422,3.3790562
92,-10.518267,3.1226017
96,-8.425946,6.2495117
99,-14.411369,5.2773733
100,-12.710934,6.5628095
101,-12.823121,6.437941
102,-14.154792,6.1767836
104,-9.626344,3.1288354
105,-6.526416,5.278214
106,-13.00808,3.0069513
108,-11.00934,1.4134487
109,-10.652244,0.77275455
110,-8.096542,2.2019682
111,-14.096513,6.7626767
112,-8.795235,1.8170307
113,-13.053586,5.747809
114,-11.080769,7.3656087
115,-10.026004,2.5280402
117,-10.793563,6.1224957
118,-10.077148,5.4584875
119,-8.477897,9.065869
120,7.3772736,-0.90859276
121,1.6300585,-5.703814
123,5.8715143,-3.6446612
124,8.595549,-0.571044
125,4.959428,-1.9780424
127,5.1170764,-4.335314
128,5.139164,-3.3642938
129,6.4308753,-2.7892914
130,11.88441,-4.70257
131,7.0080667,-6.036816
132,3.1524384,-1.7826383
133,1.7981763,-1.4247254
134,6.236051,-3.3700476
135,3.6652117,-3.1683645
136,1.8095391,-4.698836
137,5.597101,-1.3669372
139,6.7723074,-5.213133
140,6.0888104,-5.850119
141,7.080053,-4.332667
142,4.219076,-3.307225
143,1.4391351,-2.7664692
144,5.806541,-3.9963384
146,6.5748515,-8.936978
147,6.408627,-4.043288
148,5.2991953,-2.2633116
149,10.416955,-2.8177416
150,7.169316,-6.517461
151,6.260357,-4.129171
152,3.1349232,-1.6165183
153,-0.030742481,0.37748402
154,6.2919307,-3.2475717
155,3.5017104,-5.989131
157,4.145085,-2.4129572
159,9.480909,-8.752587
160,4.33728,-7.958138
161,-1.6491077,-7.2695875
162,1.0134544,-3.348125
164,4.0779305,-1.5703756
165,5.7519236,-7.620938
166,7.6363754,-1.3881611
169,7.379597,-1.9475598
170,2.7449355,-4.843842
172,6.2614326,-1.8360521
173,8.991375,-6.559182
175,5.1976285,-5.430893
176,-0.93594396,-2.4908557
179,5.727233,-8.936255
181,-1.4100268,1.4609102
182,0.5326722,2.997987
183,2.659033,4.970094
184,2.1090991,3.872031
185,1.9866636,3.6188154
186,1.1403387,4.5875177
188,0.27591887,3.142621
189,1.7255223,3.880661
190,0.4443224,4.2410727
191,3.762641,2.4284132
192,1.2727952,8.212309
193,0.2948472,2.879502
195,3.2570753,4.194901
196,1.634731,7.227802
197,0.9532046,3.281221
199,1.7720838,2.436842
200,-0.116416335,6.4293313
201,-1.0123028,6.5483913
202,4.920813,3.0799022
203,-0.12157701,0.5058933
204,0.59962386,2.4154055
205,4.500928,3.744964
207,2.8860838,11.450553
208,-3.9823768,2.8311303
209,-1.686126,5.6808047
210,5.317933,4.9990883
211,4.6784678,6.1051283
212,-0.39126012,4.6447754
213,1.022387,3.2203696
214,2.3594558,3.1076581
215,2.8511245,3.768659
217,2.8982844,4.6722727
219,4.026795,3.8906162
221,3.3137357,3.3021038
222,3.046685,2.932769
223,-2.705804,4.3137465
225,-0.008808695,5.294033
226,-0.8803292,7.312095
227,3.5654857,6.4567437
228,3.564809,3.8905342
229,0.7994388,6.563017
230,6.2508597,16.308128
231,0.42129308,2.727497
232,3.8951683,7.2661724
233,-2.1582682,9.645555
234,0.9302297,2.7754762
235,2.8717866,4.491909
236,1.0246718,3.063039
237,0.6639261,8.628653
