,Dataset,Datatype,Train Set,Train Sparsity,Evaluation Set,Evaluation Sparsity,Embedding Method,Prediction Method,Task,Accuracy,RMSE
0,Smartvote,Original,Train,60,Train,60,Baseline,Mean,Fit,1.0,3.932886996696192e-18
1,Smartvote,Original,Train,60,Train,60,Baseline,Mean,Impute,0.6689409508151802,0.36631656439135074
2,Smartvote,Original,Train,60,Train,60,Baseline,Mean,Overall,0.8013645704891081,0.21978993863481044
3,Smartvote,Original,Train,60,Test,60,Baseline,Mean,Fit,1.0,3.822368771637023e-18
4,Smartvote,Original,Train,60,Test,60,Baseline,Mean,Impute,0.6695019157088122,0.3669850737384997
5,Smartvote,Original,Train,60,Test,60,Baseline,Mean,Overall,0.8017011494252874,0.22019104424309982
6,Smartvote,Original,Train,70,Train,70,Baseline,Mean,Fit,1.0,2.3304445278894225e-18
7,Smartvote,Original,Train,70,Train,70,Baseline,Mean,Impute,0.6690102437636347,0.36591461992897173
8,Smartvote,Original,Train,70,Train,70,Baseline,Mean,Overall,0.7705137690094535,0.2537008031507537
9,Smartvote,Original,Train,70,Test,70,Baseline,Mean,Fit,1.0,3.2773950678039327e-18
10,Smartvote,Original,Train,70,Test,70,Baseline,Mean,Impute,0.6680371352785146,0.3678420510752049
11,Smartvote,Original,Train,70,Test,70,Baseline,Mean,Overall,0.7698390804597701,0.25503715541214206
12,Smartvote,Original,Train,10,Train,10,Baseline,Mean,Fit,1.0,2.3514443959162507e-18
13,Smartvote,Original,Train,10,Train,10,Baseline,Mean,Impute,0.6751695437731196,0.36215708058184404
14,Smartvote,Original,Train,10,Train,10,Baseline,Mean,Overall,0.965351418002466,0.0386300885953967
15,Smartvote,Original,Train,10,Test,10,Baseline,Mean,Fit,1.0,2.3049750956166674e-18
16,Smartvote,Original,Train,10,Test,10,Baseline,Mean,Impute,0.6650862068965517,0.3655277929220145
17,Smartvote,Original,Train,10,Test,10,Baseline,Mean,Overall,0.9642758620689655,0.03898963124501488
18,Smartvote,Original,Train,0,Train,0,Baseline,Mean,Fit,1.0,3.91392154591318e-18
19,Smartvote,Original,Train,0,Train,0,Baseline,Mean,Impute,,
20,Smartvote,Original,Train,0,Train,0,Baseline,Mean,Overall,1.0,3.91392154591318e-18
21,Smartvote,Original,Train,0,Test,20,Baseline,Mean,Fit,1.0,3.570852063498481e-18
22,Smartvote,Original,Train,0,Test,20,Baseline,Mean,Impute,0.6622988505747127,0.3678070348712876
23,Smartvote,Original,Train,0,Test,20,Baseline,Mean,Overall,0.9324597701149426,0.07356140697425752
24,Smartvote,Original,Train,0,Test,30,Baseline,Mean,Fit,1.0,3.7126127486069434e-18
25,Smartvote,Original,Train,0,Test,30,Baseline,Mean,Impute,0.6774294670846395,0.3667574169896631
26,Smartvote,Original,Train,0,Test,30,Baseline,Mean,Overall,0.9053793103448275,0.10758217565030118
27,Smartvote,Original,Train,0,Test,40,Baseline,Mean,Fit,1.0,3.554281894908037e-18
